Username,Display Name,Team Voted Short,Team Voted,Points
billuda,𒆜 𝐁𝐈𝐋𝐋𝐔 𝐃𝐀 𒆜,MI,Mumbai Indians,1.0
crazybats_v,Casper,KKR,Kolkata Knight Riders,0
croco_boya,Croco,KKR,Kolkata Knight Riders,0
dag_21,daggr,MI,Mumbai Indians,1.0
darkwolf_newbie,Darkwolf,KKR,Kolkata Knight Riders,0
elprofesor6338,Èl Profesor™,KKR,Kolkata Knight Riders,0
emptycases,J,KKR,Kolkata Knight Riders,0
fezvaz,Vaz,KKR,Kolkata Knight Riders,0
gladiator30,Gladiator,MI,Mumbai Indians,1.0
gooffyluffyy,Luffy,MI,Mumbai Indians,1.0
hungry_wolf,HungrY_WolF,KKR,Kolkata Knight Riders,0
ind_mafia_sahil,IND_Mafia_Sahil,KKR,Kolkata Knight Riders,0
insane_dwane,Insane_Dwane,KKR,Kolkata Knight Riders,0
jadelessbarukan,jadeless,MI,Mumbai Indians,1.0
khanatfarm,KHANatFARM,KKR,Kolkata Knight Riders,0
light_itachi_op,Monkey Uzumaki,KKR,Kolkata Knight Riders,0
maverick7749,Mav,KKR,Kolkata Knight Riders,0
max._.caulfield,Max,KKR,Kolkata Knight Riders,0
reflekt_11,Reflekt,MI,Mumbai Indians,1.0
rishavmaiti,rishavmaiti,MI,Mumbai Indians,1.0
roarycat,RoaryCat,MI,Mumbai Indians,1.0
roguehunter15,RogueHunter,KKR,Kolkata Knight Riders,0
slidemaster0547,Slide Master,MI,Mumbai Indians,1.0
sriprakash,Sri Prakash,KKR,Kolkata Knight Riders,0
static_25,Static,MI,Mumbai Indians,1.0
the_mizer,DrVimp,MI,Mumbai Indians,1.0
thefarzi,Farzi,MI,Mumbai Indians,1.0
thewebshooter,TheWebShooter,KKR,Kolkata Knight Riders,0
tushar07019,,MI,Mumbai Indians,1.0
vahgar,Allen The Alien,KKR,Kolkata Knight Riders,0
