Username,Display Name,Team Voted Short,Team Voted,Points
billuda,𒆜 𝐁𝐈𝐋𝐋𝐔 𝐃𝐀 𒆜,LSG,Lucknow Super Giants,0
crazybats_v,Casper,PBKS,Punjab Kings,1.0
dag_21,daggr,PBKS,Punjab Kings,1.0
darkwolf_newbie,Darkwolf,LSG,Lucknow Super Giants,0
drunk6202,DRUNK GAMBLER 🍻,LSG,Lucknow Super Giants,0
elprofesor6338,Èl Profesor™,PBKS,Punjab Kings,1.0
emptycases,J,PBKS,Punjab Kings,1.0
fawaz4413,,PBKS,Punjab Kings,1.0
ffirsty,FIRSTY,LSG,Lucknow Super Giants,0
gane_sh,Gane_sh,PBKS,Punjab Kings,1.0
garageembark,DEFALT,PBKS,Punjab Kings,1.0
gladiator30,Gladiator,PBKS,Punjab Kings,1.0
gooffyluffyy,Luffy,LSG,Lucknow Super Giants,0
hungry_wolf,HungrY_WolF,PBKS,Punjab Kings,1.0
ind_mafia_sahil,IND_Mafia_Sahil,PBKS,Punjab Kings,1.0
insane_dwane,Insane_Dwane,LSG,Lucknow Super Giants,0
jadelessbarukan,jadeless,PBKS,Punjab Kings,1.0
khanatfarm,KHANatFARM,LSG,Lucknow Super Giants,0
light_itachi_op,Monkey Uzumaki,PBKS,Punjab Kings,1.0
maverick7749,Mav,LSG,Lucknow Super Giants,0
max._.caulfield,Max,PBKS,Punjab Kings,1.0
pkmkb6011,Sunny Paaji,LSG,Lucknow Super Giants,0
reflekt_11,Reflekt,PBKS,Punjab Kings,1.0
rishavmaiti,rishavmaiti,LSG,Lucknow Super Giants,0
roarycat,RoaryCat,PBKS,Punjab Kings,1.0
roguehunter15,RogueHunter,LSG,Lucknow Super Giants,0
sayaks05,Cold_fart10,PBKS,Punjab Kings,1.0
slidemaster0547,Slide Master,LSG,Lucknow Super Giants,0
speedsterjk,SpeedsterJK,PBKS,Punjab Kings,1.0
sriprakash,Sri Prakash,PBKS,Punjab Kings,1.0
static_25,Static,PBKS,Punjab Kings,1.0
the_mizer,DrVimp,LSG,Lucknow Super Giants,0
thefarzi,Farzi,PBKS,Punjab Kings,1.0
thewebshooter,TheWebShooter,LSG,Lucknow Super Giants,0
tushar07019,,PBKS,Punjab Kings,1.0
vahgar,Allen The Alien,PBKS,Punjab Kings,1.0
weezyf.baby_,WEEZY F. Baby,LSG,Lucknow Super Giants,0
