Username,Display Name,Team Voted Short,Team Voted,Points
1nv1nc1b1e18,Him.,RCB,Royal Challengers Bengaluru,0
_simplet0n,ZePHyR,RCB,Royal Challengers Bengaluru,0
billuda,𒆜 𝐁𝐈𝐋𝐋𝐔 𝐃𝐀 𒆜,RCB,Royal Challengers Bengaluru,0
cdgamers14,cdgamers😎,RCB,Royal Challengers Bengaluru,0
colac07,Colac,RCB,Royal Challengers Bengaluru,0
crazybats_v,Casper,GT,Gujarat Titans,1.0
darkwolf_newbie,Darkwolf,GT,Gujarat Titans,1.0
elprofesor6338,Èl Profesor™,RCB,Royal Challengers Bengaluru,0
emptycases,J,GT,Gujarat Titans,1.0
fawaz4413,,RCB,Royal Challengers Bengaluru,0
fezvaz,Vaz,RCB,Royal Challengers Bengaluru,0
gladiator30,Gladiator,RCB,Royal Challengers Bengaluru,0
gooffyluffyy,Luffy,GT,Gujarat Titans,1.0
hungry_wolf,HungrY_WolF,RCB,Royal Challengers Bengaluru,0
iamthathit,IamthatHit,RCB,Royal Challengers Bengaluru,0
ind_mafia_sahil,IND_Mafia_Sahil,RCB,Royal Challengers Bengaluru,0
insane_dwane,Insane_Dwane,RCB,Royal Challengers Bengaluru,0
jadelessbarukan,jadeless,GT,Gujarat Titans,1.0
kakashi019805,Kakashi,RCB,Royal Challengers Bengaluru,0
khanatfarm,KHANatFARM,RCB,Royal Challengers Bengaluru,0
light_itachi_op,Monkey Uzumaki,RCB,Royal Challengers Bengaluru,0
maverick7749,Mav,GT,Gujarat Titans,1.0
max._.caulfield,Max,RCB,Royal Challengers Bengaluru,0
pkmkb6011,Sunny Paaji,RCB,Royal Challengers Bengaluru,0
reflekt_11,Reflekt,RCB,Royal Challengers Bengaluru,0
rishavmaiti,rishavmaiti,GT,Gujarat Titans,1.0
roarycat,RoaryCat,GT,Gujarat Titans,1.0
roguehunter15,RogueHunter,RCB,Royal Challengers Bengaluru,0
slidemaster0547,Slide Master,RCB,Royal Challengers Bengaluru,0
static_25,Static,RCB,Royal Challengers Bengaluru,0
the_mizer,DrVimp,GT,Gujarat Titans,1.0
thefarzi,Farzi,RCB,Royal Challengers Bengaluru,0
thewebshooter,TheWebShooter,RCB,Royal Challengers Bengaluru,0
tushar07019,,RCB,Royal Challengers Bengaluru,0
vahgar,Allen The Alien,RCB,Royal Challengers Bengaluru,0
