Username,Display Name,Team Voted Short,Team Voted,Points
1nv1nc1b1e18,Him.,SRH,Sunrisers Hyderabad,0
billuda,𒆜 𝐁𝐈𝐋𝐋𝐔 𝐃𝐀 𒆜,KKR,Kolkata Knight Riders,1.0
cdgamers14,cdgamers😎,KKR,Kolkata Knight Riders,1.0
crazybats_v,Casper,SRH,Sunrisers Hyderabad,0
croco_boya,Croco,KKR,Kolkata Knight Riders,1.0
darkwolf_newbie,Darkwolf,SRH,Sunrisers Hyderabad,0
emptycases,J,SRH,Sunrisers Hyderabad,0
fawaz4413,,SRH,Sunrisers Hyderabad,0
fezvaz,Vaz,KKR,Kolkata Knight Riders,1.0
gladiator30,Gladiator,SRH,Sunrisers Hyderabad,0
gooffyluffyy,Luffy,SRH,Sunrisers Hyderabad,0
hungry_wolf,HungrY_WolF,SRH,Sunrisers Hyderabad,0
iamthathit,IamthatHit,SRH,Sunrisers Hyderabad,0
ind_mafia_sahil,IND_Mafia_Sahil,SRH,Sunrisers Hyderabad,0
insane_dwane,Insane_Dwane,SRH,Sunrisers Hyderabad,0
jadelessbarukan,jadeless,SRH,Sunrisers Hyderabad,0
khanatfarm,KHANatFARM,KKR,Kolkata Knight Riders,1.0
lelouch1806,lelouch,SRH,Sunrisers Hyderabad,0
light_itachi_op,Monkey Uzumaki,KKR,Kolkata Knight Riders,1.0
maverick7749,Mav,KKR,Kolkata Knight Riders,1.0
max._.caulfield,Max,SRH,Sunrisers Hyderabad,0
reflekt_11,Reflekt,SRH,Sunrisers Hyderabad,0
roarycat,RoaryCat,SRH,Sunrisers Hyderabad,0
roguehunter15,RogueHunter,KKR,Kolkata Knight Riders,1.0
slidemaster0547,Slide Master,SRH,Sunrisers Hyderabad,0
sriprakash,Sri Prakash,SRH,Sunrisers Hyderabad,0
static_25,Static,KKR,Kolkata Knight Riders,1.0
the_mizer,DrVimp,KKR,Kolkata Knight Riders,1.0
thefarzi,Farzi,SRH,Sunrisers Hyderabad,0
thewebshooter,TheWebShooter,SRH,Sunrisers Hyderabad,0
tushar07019,,SRH,Sunrisers Hyderabad,0
vahgar,Allen The Alien,SRH,Sunrisers Hyderabad,0
