Username,Display Name,Team Voted Short,Team Voted,Points
ashmrth,Ashmrth,LSG,Lucknow Super Giants,1.0
astrobot_7,PS_USER,LSG,Lucknow Super Giants,1.0
billuda,𒆜 𝐁𝐈𝐋𝐋𝐔 𝐃𝐀 𒆜,MI,Mumbai Indians,0
cdgamers14,cdgamers😎,LSG,Lucknow Super Giants,1.0
crazybats_v,Casper,MI,Mumbai Indians,0
croco_boya,Croco,LSG,Lucknow Super Giants,1.0
csharp21,CSharp,MI,Mumbai Indians,0
darkwolf_newbie,Darkwolf,LSG,Lucknow Super Giants,1.0
elprofesor6338,Èl Profesor™,LSG,Lucknow Super Giants,1.0
emptycases,J,LSG,Lucknow Super Giants,1.0
fawaz4413,,MI,Mumbai Indians,0
fezvaz,Vaz,MI,Mumbai Indians,0
fullmetal77,FullMetal77,MI,Mumbai Indians,0
gane_sh,Gane_sh,MI,Mumbai Indians,0
gladiator30,Gladiator,MI,Mumbai Indians,0
gooffyluffyy,Luffy,LSG,Lucknow Super Giants,1.0
hungry_wolf,HungrY_WolF,LSG,Lucknow Super Giants,1.0
iamthathit,IamthatHit,LSG,Lucknow Super Giants,1.0
ind_mafia_sahil,IND_Mafia_Sahil,MI,Mumbai Indians,0
insane_dwane,Insane_Dwane,MI,Mumbai Indians,0
jadelessbarukan,jadeless,MI,Mumbai Indians,0
khanatfarm,KHANatFARM,LSG,Lucknow Super Giants,1.0
lelouch1806,lelouch,LSG,Lucknow Super Giants,1.0
light_itachi_op,Monkey Uzumaki,MI,Mumbai Indians,0
liv4sid,Sid,LSG,Lucknow Super Giants,1.0
maverick7749,Mav,MI,Mumbai Indians,0
max._.caulfield,Max,MI,Mumbai Indians,0
reflekt_11,Reflekt,MI,Mumbai Indians,0
roarycat,RoaryCat,MI,Mumbai Indians,0
roguehunter15,RogueHunter,MI,Mumbai Indians,0
sayaks05,Cold_fart10,MI,Mumbai Indians,0
slidemaster0547,Slide Master,LSG,Lucknow Super Giants,1.0
sriprakash,Sri Prakash,LSG,Lucknow Super Giants,1.0
static_25,Static,LSG,Lucknow Super Giants,1.0
the_mizer,DrVimp,MI,Mumbai Indians,0
thefarzi,Farzi,MI,Mumbai Indians,0
thewebshooter,TheWebShooter,LSG,Lucknow Super Giants,1.0
tushar07019,,MI,Mumbai Indians,0
vader8726,vader,LSG,Lucknow Super Giants,1.0
vahgar,Allen The Alien,MI,Mumbai Indians,0
