Username,Display Name,Team Voted Short,Team Voted,Points
astrobot_7,PS_USER,RR,Rajasthan Royals,2.0
billuda,𒆜 𝐁𝐈𝐋𝐋𝐔 𝐃𝐀 𒆜,RR,Rajasthan Royals,2.0
crazybats_v,Casper,PBKS,Punjab Kings,0
croco_boya,Croco,RR,Rajasthan Royals,2.0
csharp21,CSharp,RR,Rajasthan Royals,2.0
dag_21,daggr,PBKS,Punjab Kings,0
elprofesor6338,Èl Profesor™,RR,Rajasthan Royals,2.0
emptycases,J,PBKS,Punjab Kings,0
fawaz4413,,PBKS,Punjab Kings,0
fezvaz,Vaz,PBKS,Punjab Kings,0
gane_sh,Gane_sh,RR,Rajasthan Royals,2.0
gladiator30,Gladiator,PBKS,Punjab Kings,0
gooffyluffyy,Luffy,RR,Rajasthan Royals,2.0
hungry_wolf,HungrY_WolF,PBKS,Punjab Kings,0
ind_mafia_sahil,IND_Mafia_Sahil,PBKS,Punjab Kings,0
jadelessbarukan,jadeless,PBKS,Punjab Kings,0
khanatfarm,KHANatFARM,PBKS,Punjab Kings,0
light_itachi_op,Monkey Uzumaki,PBKS,Punjab Kings,0
maverick7749,Mav,PBKS,Punjab Kings,0
max._.caulfield,Max,PBKS,Punjab Kings,0
reflekt_11,Reflekt,RR,Rajasthan Royals,2.0
rishavmaiti,rishavmaiti,RR,Rajasthan Royals,2.0
roarycat,RoaryCat,RR,Rajasthan Royals,2.0
roguehunter15,RogueHunter,PBKS,Punjab Kings,0
slidemaster0547,Slide Master,PBKS,Punjab Kings,0
sriprakash,Sri Prakash,PBKS,Punjab Kings,0
static_25,Static,RR,Rajasthan Royals,2.0
the_mizer,DrVimp,PBKS,Punjab Kings,0
thefarzi,Farzi,PBKS,Punjab Kings,0
thewebshooter,TheWebShooter,PBKS,Punjab Kings,0
tushar07019,,PBKS,Punjab Kings,0
vahgar,Allen The Alien,RR,Rajasthan Royals,2.0
