Username,Display Name,Team Voted Short,Team Voted,Points
astrobot_7,PS_USER,GT,Gujarat Titans,2.0
billuda,𒆜 𝐁𝐈𝐋𝐋𝐔 𝐃𝐀 𒆜,SRH,Sunrisers Hyderabad,0
crazybats_v,Casper,SRH,Sunrisers Hyderabad,0
croco_boya,Croco,SRH,Sunrisers Hyderabad,0
dag_21,daggr,SRH,Sunrisers Hyderabad,0
darkwolf_newbie,Darkwolf,SRH,Sunrisers Hyderabad,0
elprofesor6338,Èl Profesor™,SRH,Sunrisers Hyderabad,0
emptycases,J,SRH,Sunrisers Hyderabad,0
fezvaz,Vaz,SRH,Sunrisers Hyderabad,0
gladiator30,Gladiator,SRH,Sunrisers Hyderabad,0
gooffyluffyy,Luffy,GT,Gujarat Titans,2.0
hungry_wolf,HungrY_WolF,SRH,Sunrisers Hyderabad,0
iamthathit,IamthatHit,GT,Gujarat Titans,2.0
ind_mafia_sahil,IND_Mafia_Sahil,SRH,Sunrisers Hyderabad,0
insane_dwane,Insane_Dwane,SRH,Sunrisers Hyderabad,0
jadelessbarukan,jadeless,GT,Gujarat Titans,2.0
khanatfarm,KHANatFARM,GT,Gujarat Titans,2.0
light_itachi_op,Monkey Uzumaki,GT,Gujarat Titans,2.0
maverick7749,Mav,SRH,Sunrisers Hyderabad,0
max._.caulfield,Max,SRH,Sunrisers Hyderabad,0
nullpixel96,Nullpixel96,SRH,Sunrisers Hyderabad,0
pkmkb6011,Sunny Paaji,GT,Gujarat Titans,2.0
reflekt_11,Reflekt,GT,Gujarat Titans,2.0
rishavmaiti,rishavmaiti,SRH,Sunrisers Hyderabad,0
roarycat,RoaryCat,SRH,Sunrisers Hyderabad,0
roguehunter15,RogueHunter,GT,Gujarat Titans,2.0
slidemaster0547,Slide Master,GT,Gujarat Titans,2.0
sriprakash,Sri Prakash,GT,Gujarat Titans,2.0
static_25,Static,SRH,Sunrisers Hyderabad,0
the_mizer,DrVimp,SRH,Sunrisers Hyderabad,0
thefarzi,Farzi,GT,Gujarat Titans,2.0
thewebshooter,TheWebShooter,GT,Gujarat Titans,2.0
tushar07019,,GT,Gujarat Titans,2.0
vahgar,Allen The Alien,SRH,Sunrisers Hyderabad,0
