Username,Display Name,Team Voted Short,Team Voted,Points
apurv5411,APURV,PBKS,Punjab Kings,1.5
astrobot_7,PS_USER,CSK,Chennai Super Kings,0
billuda,𒆜 𝐁𝐈𝐋𝐋𝐔 𝐃𝐀 𒆜,CSK,Chennai Super Kings,0
cdgamers14,cdgamers😎,PBKS,Punjab Kings,1.5
crazybats_v,Casper,PBKS,Punjab Kings,1.5
croco_boya,Croco,CSK,Chennai Super Kings,0
dag_21,daggr,PBKS,Punjab Kings,1.5
elprofesor6338,Èl Profesor™,CSK,Chennai Super Kings,0
emptycases,J,PBKS,Punjab Kings,1.5
fawaz4413,,CSK,Chennai Super Kings,0
fezvaz,Vaz,PBKS,Punjab Kings,1.5
gladiator30,Gladiator,CSK,Chennai Super Kings,0
gooffyluffyy,Luffy,CSK,Chennai Super Kings,0
hungry_wolf,HungrY_WolF,PBKS,Punjab Kings,1.5
iamthathit,IamthatHit,PBKS,Punjab Kings,1.5
iamzeus,iAmZeus,PBKS,Punjab Kings,1.5
ind_mafia_sahil,IND_Mafia_Sahil,PBKS,Punjab Kings,1.5
insane_dwane,Insane_Dwane,CSK,Chennai Super Kings,0
jadelessbarukan,jadeless,PBKS,Punjab Kings,1.5
jubilant_chipmunk_76062,,PBKS,Punjab Kings,1.5
khanatfarm,KHANatFARM,PBKS,Punjab Kings,1.5
lelouch1806,lelouch,PBKS,Punjab Kings,1.5
light_itachi_op,Monkey Uzumaki,PBKS,Punjab Kings,1.5
maverick7749,Mav,PBKS,Punjab Kings,1.5
reflekt_11,Reflekt,PBKS,Punjab Kings,1.5
rishavmaiti,rishavmaiti,CSK,Chennai Super Kings,0
roarycat,RoaryCat,CSK,Chennai Super Kings,0
roguehunter15,RogueHunter,PBKS,Punjab Kings,1.5
slidemaster0547,Slide Master,PBKS,Punjab Kings,1.5
sriprakash,Sri Prakash,PBKS,Punjab Kings,1.5
static_25,Static,CSK,Chennai Super Kings,0
the_mizer,DrVimp,PBKS,Punjab Kings,1.5
thefarzi,Farzi,PBKS,Punjab Kings,1.5
thewebshooter,TheWebShooter,PBKS,Punjab Kings,1.5
tushar07019,,PBKS,Punjab Kings,1.5
vahgar,Allen The Alien,PBKS,Punjab Kings,1.5
