Username,Display Name,Team Voted Short,Team Voted,Points
apurv5411,APURV,KKR,Kolkata Knight Riders,1.0
astrobot_7,PS_USER,CSK,Chennai Super Kings,0
billuda,𒆜 𝐁𝐈𝐋𝐋𝐔 𝐃𝐀 𒆜,CSK,Chennai Super Kings,0
crazybats_v,Casper,KKR,Kolkata Knight Riders,1.0
csharp21,CSharp,CSK,Chennai Super Kings,0
elprofesor6338,Èl Profesor™,CSK,Chennai Super Kings,0
emptycases,J,KKR,Kolkata Knight Riders,1.0
fawaz4413,,KKR,Kolkata Knight Riders,1.0
fezvaz,Vaz,KKR,Kolkata Knight Riders,1.0
gamerpradosh,Gamer Pradosh,CSK,Chennai Super Kings,0
gladiator30,Gladiator,CSK,Chennai Super Kings,0
gooffyluffyy,Luffy,CSK,Chennai Super Kings,0
hungry_wolf,HungrY_WolF,KKR,Kolkata Knight Riders,1.0
ind_mafia_sahil,IND_Mafia_Sahil,KKR,Kolkata Knight Riders,1.0
insane_dwane,Insane_Dwane,KKR,Kolkata Knight Riders,1.0
jadelessbarukan,jadeless,KKR,Kolkata Knight Riders,1.0
khanatfarm,KHANatFARM,KKR,Kolkata Knight Riders,1.0
light_itachi_op,Monkey Uzumaki,KKR,Kolkata Knight Riders,1.0
maverick7749,Mav,KKR,Kolkata Knight Riders,1.0
max._.caulfield,Max,KKR,Kolkata Knight Riders,1.0
nullpixel96,Nullpixel96,KKR,Kolkata Knight Riders,1.0
reflekt_11,Reflekt,CSK,Chennai Super Kings,0
rishavmaiti,rishavmaiti,CSK,Chennai Super Kings,0
roarycat,RoaryCat,CSK,Chennai Super Kings,0
roguehunter15,RogueHunter,KKR,Kolkata Knight Riders,1.0
slidemaster0547,Slide Master,KKR,Kolkata Knight Riders,1.0
static_25,Static,CSK,Chennai Super Kings,0
the_mizer,DrVimp,KKR,Kolkata Knight Riders,1.0
thefarzi,Farzi,CSK,Chennai Super Kings,0
thewebshooter,TheWebShooter,KKR,Kolkata Knight Riders,1.0
tushar07019,,KKR,Kolkata Knight Riders,1.0
vahgar,Allen The Alien,KKR,Kolkata Knight Riders,1.0
