Username,Display Name,Team Voted Short,Team Voted,Points
apurv5411,APURV,RCB,Royal Challengers Bengaluru,2.0
astrobot_7,PS_USER,RR,Rajasthan Royals,0
billuda,𒆜 𝐁𝐈𝐋𝐋𝐔 𝐃𝐀 𒆜,RCB,Royal Challengers Bengaluru,2.0
crazybats_v,Casper,RCB,Royal Challengers Bengaluru,2.0
csharp21,CSharp,RCB,Royal Challengers Bengaluru,2.0
deadshot06.,,RCB,Royal Challengers Bengaluru,2.0
emptycases,J,RCB,Royal Challengers Bengaluru,2.0
fezvaz,Vaz,RCB,Royal Challengers Bengaluru,2.0
gladiator30,Gladiator,RCB,Royal Challengers Bengaluru,2.0
gooffyluffyy,Luffy,RR,Rajasthan Royals,0
harish_datta_,Harish_datta_,RR,Rajasthan Royals,0
hungry_wolf,HungrY_WolF,RCB,Royal Challengers Bengaluru,2.0
ind_mafia_sahil,IND_Mafia_Sahil,RCB,Royal Challengers Bengaluru,2.0
insane_dwane,Insane_Dwane,RCB,Royal Challengers Bengaluru,2.0
jadelessbarukan,jadeless,RR,Rajasthan Royals,0
jerry0_o,Jerry0_0,RCB,Royal Challengers Bengaluru,2.0
kakashi019805,Kakashi,RCB,Royal Challengers Bengaluru,2.0
khanatfarm,KHANatFARM,RCB,Royal Challengers Bengaluru,2.0
light_itachi_op,Monkey Uzumaki,RCB,Royal Challengers Bengaluru,2.0
maverick7749,Mav,RR,Rajasthan Royals,0
max._.caulfield,Max,RR,Rajasthan Royals,0
pkmkb6011,Sunny Paaji,RCB,Royal Challengers Bengaluru,2.0
reflekt_11,Reflekt,RCB,Royal Challengers Bengaluru,2.0
roarycat,RoaryCat,RR,Rajasthan Royals,0
roguehunter15,RogueHunter,RCB,Royal Challengers Bengaluru,2.0
slidemaster0547,Slide Master,RCB,Royal Challengers Bengaluru,2.0
sriprakash,Sri Prakash,RR,Rajasthan Royals,0
static_25,Static,RR,Rajasthan Royals,0
the_mizer,DrVimp,RCB,Royal Challengers Bengaluru,2.0
thefarzi,Farzi,RCB,Royal Challengers Bengaluru,2.0
thewebshooter,TheWebShooter,RCB,Royal Challengers Bengaluru,2.0
tushar07019,,RCB,Royal Challengers Bengaluru,2.0
vahgar,Allen The Alien,RR,Rajasthan Royals,0
