Username,Display Name,Team Voted Short,Team Voted,Points
apurv5411,APURV,PBKS,Punjab Kings,1.0
astrobot_7,PS_USER,PBKS,Punjab Kings,1.0
billuda,𒆜 𝐁𝐈𝐋𝐋𝐔 𝐃𝐀 𒆜,KKR,Kolkata Knight Riders,0
cdgamers14,cdgamers😎,KKR,Kolkata Knight Riders,0
crazybats_v,Casper,PBKS,Punjab Kings,1.0
csharp21,CSharp,KKR,Kolkata Knight Riders,0
dag_21,daggr,KKR,Kolkata Knight Riders,0
darkwolf_newbie,Darkwolf,KKR,Kolkata Knight Riders,0
elprofesor6338,Èl Profesor™,KKR,Kolkata Knight Riders,0
emptycases,J,KKR,Kolkata Knight Riders,0
fezvaz,Vaz,KKR,Kolkata Knight Riders,0
fullmetal77,FullMetal77,PBKS,Punjab Kings,1.0
gamerpradosh,Gamer Pradosh,PBKS,Punjab Kings,1.0
gandalf_the_wizard,,KKR,Kolkata Knight Riders,0
gane_sh,Gane_sh,PBKS,Punjab Kings,1.0
gladiator30,Gladiator,PBKS,Punjab Kings,1.0
gooffyluffyy,Luffy,KKR,Kolkata Knight Riders,0
harish_datta_,Harish_datta_,KKR,Kolkata Knight Riders,0
hungry_wolf,HungrY_WolF,PBKS,Punjab Kings,1.0
ind_mafia_sahil,IND_Mafia_Sahil,PBKS,Punjab Kings,1.0
insane_dwane,Insane_Dwane,KKR,Kolkata Knight Riders,0
jadelessbarukan,jadeless,PBKS,Punjab Kings,1.0
khanatfarm,KHANatFARM,KKR,Kolkata Knight Riders,0
light_itachi_op,Monkey Uzumaki,PBKS,Punjab Kings,1.0
maverick7749,Mav,PBKS,Punjab Kings,1.0
max._.caulfield,Max,KKR,Kolkata Knight Riders,0
reflekt_11,Reflekt,PBKS,Punjab Kings,1.0
rishavmaiti,rishavmaiti,PBKS,Punjab Kings,1.0
roarycat,RoaryCat,PBKS,Punjab Kings,1.0
roguehunter15,RogueHunter,KKR,Kolkata Knight Riders,0
samarp30,Samarp30,PBKS,Punjab Kings,1.0
slidemaster0547,Slide Master,KKR,Kolkata Knight Riders,0
soul_999.,SOUL_999,PBKS,Punjab Kings,1.0
sriprakash,Sri Prakash,PBKS,Punjab Kings,1.0
static_25,Static,PBKS,Punjab Kings,1.0
the_mizer,DrVimp,KKR,Kolkata Knight Riders,0
thefarzi,Farzi,KKR,Kolkata Knight Riders,0
thewebshooter,TheWebShooter,PBKS,Punjab Kings,1.0
tushar07019,,PBKS,Punjab Kings,1.0
vahgar,Allen The Alien,PBKS,Punjab Kings,1.0
