Username,Display Name,Team Voted Short,Team Voted,Points
albinopanda.,AlbinoPanda,MI,Mumbai Indians,1.0
apurv5411,APURV,SRH,Sunrisers Hyderabad,0
astrobot_7,PS_USER,MI,Mumbai Indians,1.0
billuda,𒆜 𝐁𝐈𝐋𝐋𝐔 𝐃𝐀 𒆜,MI,Mumbai Indians,1.0
craniaxx_,⑉¢͢͢͢尺αηιαχ⑉,MI,Mumbai Indians,1.0
crazybats_v,Casper,SRH,Sunrisers Hyderabad,0
csharp21,CSharp,SRH,Sunrisers Hyderabad,0
dag_21,daggr,SRH,Sunrisers Hyderabad,0
eldiablo1701,El Diablo,MI,Mumbai Indians,1.0
elprofesor6338,Èl Profesor™,MI,Mumbai Indians,1.0
emptycases,J,SRH,Sunrisers Hyderabad,0
fezvaz,Vaz,MI,Mumbai Indians,1.0
fullmetal77,FullMetal77,MI,Mumbai Indians,1.0
gamerpradosh,Gamer Pradosh,MI,Mumbai Indians,1.0
gane_sh,Gane_sh,SRH,Sunrisers Hyderabad,0
gladiator30,Gladiator,MI,Mumbai Indians,1.0
gooffyluffyy,Luffy,SRH,Sunrisers Hyderabad,0
hungry_wolf,HungrY_WolF,SRH,Sunrisers Hyderabad,0
ind_mafia_sahil,IND_Mafia_Sahil,SRH,Sunrisers Hyderabad,0
insane_dwane,Insane_Dwane,SRH,Sunrisers Hyderabad,0
jadelessbarukan,jadeless,MI,Mumbai Indians,1.0
khanatfarm,KHANatFARM,MI,Mumbai Indians,1.0
light_itachi_op,Monkey Uzumaki,MI,Mumbai Indians,1.0
maverick7749,Mav,MI,Mumbai Indians,1.0
reflekt_11,Reflekt,MI,Mumbai Indians,1.0
rishavmaiti,rishavmaiti,MI,Mumbai Indians,1.0
roarycat,RoaryCat,SRH,Sunrisers Hyderabad,0
roguehunter15,RogueHunter,SRH,Sunrisers Hyderabad,0
samarp30,Samarp30,SRH,Sunrisers Hyderabad,0
slidemaster0547,Slide Master,MI,Mumbai Indians,1.0
sriprakash,Sri Prakash,SRH,Sunrisers Hyderabad,0
static_25,Static,MI,Mumbai Indians,1.0
the_mizer,DrVimp,MI,Mumbai Indians,1.0
thefarzi,Farzi,MI,Mumbai Indians,1.0
thewebshooter,TheWebShooter,MI,Mumbai Indians,1.0
tushar07019,,SRH,Sunrisers Hyderabad,0
vahgar,Allen The Alien,MI,Mumbai Indians,1.0
