Username,Display Name,Team Voted Short,Team Voted,Points
_simplet0n,ZePHyR,RCB,Royal Challengers Bengaluru,0
aaryangupta23,Aaryan,RCB,Royal Challengers Bengaluru,0
abhilashsp,Abhilash SP,PBKS,Punjab Kings,1.0
apurv5411,APURV,RCB,Royal Challengers Bengaluru,0
astrobot_7,PS_USER,PBKS,Punjab Kings,1.0
billuda,𒆜 𝐁𝐈𝐋𝐋𝐔 𝐃𝐀 𒆜,RCB,Royal Challengers Bengaluru,0
crazybats_v,Casper,RCB,Royal Challengers Bengaluru,0
csharp21,CSharp,PBKS,Punjab Kings,1.0
dag_21,daggr,PBKS,Punjab Kings,1.0
darkwolf_newbie,Darkwolf,PBKS,Punjab Kings,1.0
elprofesor6338,Èl Profesor™,RCB,Royal Challengers Bengaluru,0
emptycases,J,PBKS,Punjab Kings,1.0
fezvaz,Vaz,RCB,Royal Challengers Bengaluru,0
fullmetal77,FullMetal77,RCB,Royal Challengers Bengaluru,0
gane_sh,Gane_sh,RCB,Royal Challengers Bengaluru,0
gladiator30,Gladiator,RCB,Royal Challengers Bengaluru,0
gooffyluffyy,Luffy,PBKS,Punjab Kings,1.0
harish_datta_,Harish_datta_,PBKS,Punjab Kings,1.0
hungry_wolf,HungrY_WolF,PBKS,Punjab Kings,1.0
ind_mafia_sahil,IND_Mafia_Sahil,RCB,Royal Challengers Bengaluru,0
insane_dwane,Insane_Dwane,RCB,Royal Challengers Bengaluru,0
jadelessbarukan,jadeless,PBKS,Punjab Kings,1.0
jerry0_o,Jerry0_0,RCB,Royal Challengers Bengaluru,0
khanatfarm,KHANatFARM,RCB,Royal Challengers Bengaluru,0
lelouch1806,lelouch,RCB,Royal Challengers Bengaluru,0
light_itachi_op,Monkey Uzumaki,RCB,Royal Challengers Bengaluru,0
maverick7749,Mav,PBKS,Punjab Kings,1.0
max._.caulfield,Max,RCB,Royal Challengers Bengaluru,0
pkmkb6011,Sunny Paaji,RCB,Royal Challengers Bengaluru,0
reflekt_11,Reflekt,RCB,Royal Challengers Bengaluru,0
rishavmaiti,rishavmaiti,PBKS,Punjab Kings,1.0
roarycat,RoaryCat,PBKS,Punjab Kings,1.0
roguehunter15,RogueHunter,RCB,Royal Challengers Bengaluru,0
slidemaster0547,Slide Master,RCB,Royal Challengers Bengaluru,0
static_25,Static,PBKS,Punjab Kings,1.0
the_mizer,DrVimp,RCB,Royal Challengers Bengaluru,0
thefarzi,Farzi,RCB,Royal Challengers Bengaluru,0
thewebshooter,TheWebShooter,PBKS,Punjab Kings,1.0
tushar07019,,PBKS,Punjab Kings,1.0
vahgar,Allen The Alien,PBKS,Punjab Kings,1.0
