Username,Display Name,Team Voted Short,Team Voted,Points
apurv5411,APURV,DC,Delhi Capitals,0
astrobot_7,PS_USER,GT,Gujarat Titans,2.0
billuda,𒆜 𝐁𝐈𝐋𝐋𝐔 𝐃𝐀 𒆜,GT,Gujarat Titans,2.0
crazybats_v,Casper,GT,Gujarat Titans,2.0
dag_21,daggr,GT,Gujarat Titans,2.0
darkwolf_newbie,Darkwolf,DC,Delhi Capitals,0
elprofesor6338,Èl Profesor™,GT,Gujarat Titans,2.0
emptycases,J,DC,Delhi Capitals,0
fezvaz,Vaz,DC,Delhi Capitals,0
fullmetal77,FullMetal77,DC,Delhi Capitals,0
gamerpradosh,Gamer Pradosh,DC,Delhi Capitals,0
gladiator30,Gladiator,DC,Delhi Capitals,0
gooffyluffyy,Luffy,DC,Delhi Capitals,0
harish_datta_,Harish_datta_,GT,Gujarat Titans,2.0
hungry_wolf,HungrY_WolF,DC,Delhi Capitals,0
ind_mafia_sahil,IND_Mafia_Sahil,DC,Delhi Capitals,0
insane_dwane,Insane_Dwane,GT,Gujarat Titans,2.0
jadelessbarukan,jadeless,GT,Gujarat Titans,2.0
khanatfarm,KHANatFARM,GT,Gujarat Titans,2.0
light_itachi_op,Monkey Uzumaki,DC,Delhi Capitals,0
maverick7749,Mav,GT,Gujarat Titans,2.0
max._.caulfield,Max,DC,Delhi Capitals,0
reflekt_11,Reflekt,DC,Delhi Capitals,0
rishavmaiti,rishavmaiti,GT,Gujarat Titans,2.0
roarycat,RoaryCat,GT,Gujarat Titans,2.0
roguehunter15,RogueHunter,DC,Delhi Capitals,0
slidemaster0547,Slide Master,DC,Delhi Capitals,0
sriprakash,Sri Prakash,DC,Delhi Capitals,0
static_25,Static,GT,Gujarat Titans,2.0
the_mizer,DrVimp,DC,Delhi Capitals,0
thefarzi,Farzi,GT,Gujarat Titans,2.0
thewebshooter,TheWebShooter,GT,Gujarat Titans,2.0
tushar07019,,DC,Delhi Capitals,0
vahgar,Allen The Alien,GT,Gujarat Titans,2.0
