Username,Display Name,Team Voted Short,Team Voted,Points
apurv5411,APURV,LSG,Lucknow Super Giants,2.0
astrobot_7,PS_USER,RR,Rajasthan Royals,0
billuda,𒆜 𝐁𝐈𝐋𝐋𝐔 𝐃𝐀 𒆜,RR,Rajasthan Royals,0
crazybats_v,Casper,RR,Rajasthan Royals,0
dag_21,daggr,LSG,Lucknow Super Giants,2.0
darkwolf_newbie,Darkwolf,LSG,Lucknow Super Giants,2.0
elprofesor6338,Èl Profesor™,RR,Rajasthan Royals,0
emptycases,J,RR,Rajasthan Royals,0
fezvaz,Vaz,LSG,Lucknow Super Giants,2.0
fullmetal77,FullMetal77,LSG,Lucknow Super Giants,2.0
gamerpradosh,Gamer Pradosh,LSG,Lucknow Super Giants,2.0
gane_sh,Gane_sh,LSG,Lucknow Super Giants,2.0
gladiator30,Gladiator,LSG,Lucknow Super Giants,2.0
gooffyluffyy,Luffy,LSG,Lucknow Super Giants,2.0
harish_datta_,Harish_datta_,RR,Rajasthan Royals,0
hungry_wolf,HungrY_WolF,LSG,Lucknow Super Giants,2.0
ind_mafia_sahil,IND_Mafia_Sahil,LSG,Lucknow Super Giants,2.0
insane_dwane,Insane_Dwane,RR,Rajasthan Royals,0
jadelessbarukan,jadeless,LSG,Lucknow Super Giants,2.0
khanatfarm,KHANatFARM,LSG,Lucknow Super Giants,2.0
light_itachi_op,Monkey Uzumaki,LSG,Lucknow Super Giants,2.0
maverick7749,Mav,RR,Rajasthan Royals,0
max._.caulfield,Max,RR,Rajasthan Royals,0
reflekt_11,Reflekt,RR,Rajasthan Royals,0
rishavmaiti,rishavmaiti,RR,Rajasthan Royals,0
roarycat,RoaryCat,LSG,Lucknow Super Giants,2.0
roguehunter15,RogueHunter,LSG,Lucknow Super Giants,2.0
samarp30,Samarp30,LSG,Lucknow Super Giants,2.0
slidemaster0547,Slide Master,LSG,Lucknow Super Giants,2.0
static_25,Static,RR,Rajasthan Royals,0
the_mizer,DrVimp,LSG,Lucknow Super Giants,2.0
thefarzi,Farzi,LSG,Lucknow Super Giants,2.0
thewebshooter,TheWebShooter,LSG,Lucknow Super Giants,2.0
tushar07019,,LSG,Lucknow Super Giants,2.0
vahgar,Allen The Alien,RR,Rajasthan Royals,0
