Username,Display Name,Team Voted Short,Team Voted,Points
aaryangupta23,Aaryan,RCB,Royal Challengers Bengaluru,2.0
apurv5411,APURV,RCB,Royal Challengers Bengaluru,2.0
astrobot_7,PS_USER,PBKS,Punjab Kings,0
billuda,𒆜 𝐁𝐈𝐋𝐋𝐔 𝐃𝐀 𒆜,RCB,Royal Challengers Bengaluru,2.0
crazybats_v,Casper,RCB,Royal Challengers Bengaluru,2.0
csharp21,CSharp,PBKS,Punjab Kings,0
dag_21,daggr,PBKS,Punjab Kings,0
deadshot06.,,RCB,Royal Challengers Bengaluru,2.0
elprofesor6338,Èl Profesor™,RCB,Royal Challengers Bengaluru,2.0
emptycases,J,PBKS,Punjab Kings,0
fezvaz,Vaz,RCB,Royal Challengers Bengaluru,2.0
gamerpradosh,Gamer Pradosh,PBKS,Punjab Kings,0
gane_sh,Gane_sh,PBKS,Punjab Kings,0
gladiator30,Gladiator,PBKS,Punjab Kings,0
gooffyluffyy,Luffy,PBKS,Punjab Kings,0
hungry_wolf,HungrY_WolF,PBKS,Punjab Kings,0
ind_mafia_sahil,IND_Mafia_Sahil,PBKS,Punjab Kings,0
insane_dwane,Insane_Dwane,RCB,Royal Challengers Bengaluru,2.0
jadelessbarukan,jadeless,RCB,Royal Challengers Bengaluru,2.0
kakashi019805,Kakashi,RCB,Royal Challengers Bengaluru,2.0
khanatfarm,KHANatFARM,PBKS,Punjab Kings,0
levi_taicho,levi_taicho,RCB,Royal Challengers Bengaluru,2.0
light083969,Light,RCB,Royal Challengers Bengaluru,2.0
light_itachi_op,Lassi Lover,PBKS,Punjab Kings,0
maverick7749,Mav,RCB,Royal Challengers Bengaluru,2.0
reflekt_11,Reflekt,PBKS,Punjab Kings,0
rishavmaiti,rishavmaiti,RCB,Royal Challengers Bengaluru,2.0
roarycat,RoaryCat,PBKS,Punjab Kings,0
roguehunter15,RogueHunter,PBKS,Punjab Kings,0
slidemaster0547,Slide Master,PBKS,Punjab Kings,0
sriprakash,Sri Prakash,PBKS,Punjab Kings,0
static_25,Static,PBKS,Punjab Kings,0
the_mizer,DrVimp,RCB,Royal Challengers Bengaluru,2.0
thefarzi,Farzi,RCB,Royal Challengers Bengaluru,2.0
theredscorpio,HOMELANDER,PBKS,Punjab Kings,0
thewebshooter,TheWebShooter,PBKS,Punjab Kings,0
tushar07019,,PBKS,Punjab Kings,0
vahgar,Allen The Alien,RCB,Royal Challengers Bengaluru,2.0
