Username,Display Name,Team Voted Short,Team Voted,Points
aaryangupta23,Aaryan,MI,Mumbai Indians,2.0
apurv5411,APURV,MI,Mumbai Indians,2.0
astrobot_7,PS_USER,CSK,Chennai Super Kings,0
billuda,𒆜 𝐁𝐈𝐋𝐋𝐔 𝐃𝐀 𒆜,CSK,Chennai Super Kings,0
crazybats_v,Casper,CSK,Chennai Super Kings,0
csharp21,CSharp,CSK,Chennai Super Kings,0
eldiablo1701,El Diablo,CSK,Chennai Super Kings,0
elprofesor6338,Èl Profesor™,MI,Mumbai Indians,2.0
emptycases,J,MI,Mumbai Indians,2.0
fenil_fez,fenil_fez,CSK,Chennai Super Kings,0
fezvaz,Vaz,MI,Mumbai Indians,2.0
fullmetal77,FullMetal77,MI,Mumbai Indians,2.0
gamerpradosh,Gamer Pradosh,CSK,Chennai Super Kings,0
gane_sh,Gane_sh,CSK,Chennai Super Kings,0
gladiator30,Gladiator,CSK,Chennai Super Kings,0
gooffyluffyy,Luffy,CSK,Chennai Super Kings,0
hungry_wolf,HungrY_WolF,CSK,Chennai Super Kings,0
ind_mafia_sahil,IND_Mafia_Sahil,MI,Mumbai Indians,2.0
jadelessbarukan,jadeless,MI,Mumbai Indians,2.0
kakashi019805,Kakashi,MI,Mumbai Indians,2.0
khanatfarm,KHANatFARM,MI,Mumbai Indians,2.0
levi_taicho,levi_taicho,MI,Mumbai Indians,2.0
light_itachi_op,Lassi Lover,MI,Mumbai Indians,2.0
maverick7749,Mav,MI,Mumbai Indians,2.0
mightyprem,Mighty Prem,MI,Mumbai Indians,2.0
reflekt_11,Reflekt,CSK,Chennai Super Kings,0
rishavmaiti,rishavmaiti,MI,Mumbai Indians,2.0
roarycat,RoaryCat,MI,Mumbai Indians,2.0
roguehunter15,RogueHunter,CSK,Chennai Super Kings,0
slidemaster0547,Slide Master,MI,Mumbai Indians,2.0
sriprakash,Sri Prakash,CSK,Chennai Super Kings,0
static_25,Static,MI,Mumbai Indians,2.0
the_mizer,DrVimp,MI,Mumbai Indians,2.0
thefarzi,Farzi,MI,Mumbai Indians,2.0
thewebshooter,TheWebShooter,MI,Mumbai Indians,2.0
tushar07019,,MI,Mumbai Indians,2.0
vahgar,Allen The Alien,MI,Mumbai Indians,2.0
