Username,Display Name,Team Voted Short,Team Voted,Points
.antiderivative,antiderivative,CSK,Chennai Super Kings,1.0
aakashmangla,Babu Bhaiya,LSG,Lucknow Super Giants,0
apurv5411,APURV,LSG,Lucknow Super Giants,0
astrobot_7,PS_USER,CSK,Chennai Super Kings,1.0
billuda,𒆜 𝐁𝐈𝐋𝐋𝐔 𝐃𝐀 𒆜,CSK,Chennai Super Kings,1.0
cdgamers14,cdgamers😎,LSG,Lucknow Super Giants,0
crazybats_v,Casper,LSG,Lucknow Super Giants,0
csharp21,CSharp,LSG,Lucknow Super Giants,0
dag_21,daggr,LSG,Lucknow Super Giants,0
darkwolf_newbie,Darkwolf,LSG,Lucknow Super Giants,0
deadshot06.,,LSG,Lucknow Super Giants,0
elprofesor6338,Èl Profesor™,CSK,Chennai Super Kings,1.0
emptycases,J,LSG,Lucknow Super Giants,0
fullmetal77,FullMetal77,CSK,Chennai Super Kings,1.0
gamerpradosh,Gamer Pradosh,CSK,Chennai Super Kings,1.0
gandalf_the_wizard,,CSK,Chennai Super Kings,1.0
gane_sh,Gane_sh,CSK,Chennai Super Kings,1.0
garageembark,DEFALT,CSK,Chennai Super Kings,1.0
gladiator30,Gladiator,CSK,Chennai Super Kings,1.0
gooffyluffyy,Luffy,CSK,Chennai Super Kings,1.0
harish_datta_,Harish_datta_,CSK,Chennai Super Kings,1.0
hg2.0.,HG 2.0,LSG,Lucknow Super Giants,0
hungry_wolf,HungrY_WolF,LSG,Lucknow Super Giants,0
ind_mafia_sahil,IND_Mafia_Sahil,LSG,Lucknow Super Giants,0
insane_dwane,Insane_Dwane,CSK,Chennai Super Kings,1.0
izzaanaaaa,izaanaaaa,LSG,Lucknow Super Giants,0
jadelessbarukan,jadeless,LSG,Lucknow Super Giants,0
jeki4318,Jeki,LSG,Lucknow Super Giants,0
jhalayashraj,jhalayashraj,LSG,Lucknow Super Giants,0
khanatfarm,KHANatFARM,LSG,Lucknow Super Giants,0
light_itachi_op,Monkey Uzumaki,LSG,Lucknow Super Giants,0
madhavm14,maddy,LSG,Lucknow Super Giants,0
maverick7749,Mav,LSG,Lucknow Super Giants,0
max._.caulfield,Max,LSG,Lucknow Super Giants,0
pkmkb6011,Sunny Paaji,CSK,Chennai Super Kings,1.0
raj_kar,Raj,LSG,Lucknow Super Giants,0
reflekt_11,Reflekt,LSG,Lucknow Super Giants,0
rishavmaiti,rishavmaiti,CSK,Chennai Super Kings,1.0
roarycat,RoaryCat,LSG,Lucknow Super Giants,0
roguehunter15,RogueHunter,LSG,Lucknow Super Giants,0
samarp30,Samarp30,CSK,Chennai Super Kings,1.0
singh84,Singh,CSK,Chennai Super Kings,1.0
slidemaster0547,Slide Master,LSG,Lucknow Super Giants,0
sriprakash,Sri Prakash,LSG,Lucknow Super Giants,0
static_25,Static,CSK,Chennai Super Kings,1.0
the_mizer,DrVimp,LSG,Lucknow Super Giants,0
thefarzi,Farzi,LSG,Lucknow Super Giants,0
theflash5512,The Flash,CSK,Chennai Super Kings,1.0
thewebshooter,TheWebShooter,LSG,Lucknow Super Giants,0
tushar07019,,LSG,Lucknow Super Giants,0
vahgar,Allen The Alien,CSK,Chennai Super Kings,1.0
