Username,Display Name,Team Voted Short,Team Voted,Points
abdulhuq,,DC,Delhi Capitals,1.0
apurv5411,APURV,DC,Delhi Capitals,1.0
ashmrth,Ashmrth,DC,Delhi Capitals,1.0
astrobot_7,PS_USER,RR,Rajasthan Royals,0
billuda,𒆜 𝐁𝐈𝐋𝐋𝐔 𝐃𝐀 𒆜,RR,Rajasthan Royals,0
crazybats_v,Casper,DC,Delhi Capitals,1.0
csharp21,CSharp,DC,Delhi Capitals,1.0
darkwolf_newbie,Darkwolf,DC,Delhi Capitals,1.0
eldiablo1701,El Diablo,DC,Delhi Capitals,1.0
elprofesor6338,Èl Profesor™,DC,Delhi Capitals,1.0
emptycases,J,DC,Delhi Capitals,1.0
fezvaz,Vaz,DC,Delhi Capitals,1.0
fullmetal77,FullMetal77,DC,Delhi Capitals,1.0
gane_sh,Gane_sh,DC,Delhi Capitals,1.0
gladiator30,Gladiator,RR,Rajasthan Royals,0
gooffyluffyy,Luffy,DC,Delhi Capitals,1.0
hungry_wolf,HungrY_WolF,RR,Rajasthan Royals,0
ind_mafia_sahil,IND_Mafia_Sahil,DC,Delhi Capitals,1.0
insane_dwane,Insane_Dwane,RR,Rajasthan Royals,0
jadelessbarukan,jadeless,DC,Delhi Capitals,1.0
kakashi019805,Kakashi,DC,Delhi Capitals,1.0
khanatfarm,KHANatFARM,DC,Delhi Capitals,1.0
lelouch1806,lelouch,DC,Delhi Capitals,1.0
light_itachi_op,Monkey Uzumaki,DC,Delhi Capitals,1.0
maverick7749,Mav,DC,Delhi Capitals,1.0
max._.caulfield,Max,DC,Delhi Capitals,1.0
nullpixel96,Nullpixel96,RR,Rajasthan Royals,0
reflekt_11,Reflekt,DC,Delhi Capitals,1.0
rishavmaiti,rishavmaiti,DC,Delhi Capitals,1.0
roarycat,RoaryCat,RR,Rajasthan Royals,0
roguehunter15,RogueHunter,DC,Delhi Capitals,1.0
samarp30,Samarp30,DC,Delhi Capitals,1.0
singh84,Singh,DC,Delhi Capitals,1.0
slidemaster0547,Slide Master,DC,Delhi Capitals,1.0
soul_999.,SOUL_999,RR,Rajasthan Royals,0
sriprakash,Sri Prakash,DC,Delhi Capitals,1.0
static_25,Static,DC,Delhi Capitals,1.0
the_mizer,DrVimp,DC,Delhi Capitals,1.0
thefarzi,Farzi,DC,Delhi Capitals,1.0
thewebshooter,TheWebShooter,DC,Delhi Capitals,1.0
tushar07019,,DC,Delhi Capitals,1.0
vahgar,Allen The Alien,RR,Rajasthan Royals,0
