Username,Display Name,Team Voted Short,Team Voted,Points
apurv5411,APURV,GT,Gujarat Titans,1.0
astrobot_7,PS_USER,GT,Gujarat Titans,1.0
billuda,𒆜 𝐁𝐈𝐋𝐋𝐔 𝐃𝐀 𒆜,KKR,Kolkata Knight Riders,0
cdgamers14,cdgamers😎,KKR,Kolkata Knight Riders,0
crazybats_v,Casper,GT,Gujarat Titans,1.0
csharp21,CSharp,GT,Gujarat Titans,1.0
dag_21,daggr,KKR,Kolkata Knight Riders,0
elprofesor6338,Èl Profesor™,GT,Gujarat Titans,1.0
emptycases,J,GT,Gujarat Titans,1.0
fezvaz,Vaz,KKR,Kolkata Knight Riders,0
gladiator30,Gladiator,GT,Gujarat Titans,1.0
gooffyluffyy,Luffy,GT,Gujarat Titans,1.0
hungry_wolf,HungrY_WolF,GT,Gujarat Titans,1.0
iamzeus,iAmZeus,KKR,Kolkata Knight Riders,0
insane_dwane,Insane_Dwane,KKR,Kolkata Knight Riders,0
jadelessbarukan,jadeless,GT,Gujarat Titans,1.0
jubilant_chipmunk_76062,,GT,Gujarat Titans,1.0
khanatfarm,KHANatFARM,KKR,Kolkata Knight Riders,0
light_itachi_op,Lassi Sassy,GT,Gujarat Titans,1.0
maverick7749,Mav,GT,Gujarat Titans,1.0
max._.caulfield,Max,KKR,Kolkata Knight Riders,0
rishavmaiti,rishavmaiti,KKR,Kolkata Knight Riders,0
roarycat,RoaryCat,GT,Gujarat Titans,1.0
roguehunter15,RogueHunter,GT,Gujarat Titans,1.0
slidemaster0547,Slide Master,GT,Gujarat Titans,1.0
sriprakash,Sri Prakash,GT,Gujarat Titans,1.0
static_25,Static,GT,Gujarat Titans,1.0
the_mizer,DrVimp,KKR,Kolkata Knight Riders,0
thefarzi,Farzi,GT,Gujarat Titans,1.0
thewebshooter,TheWebShooter,GT,Gujarat Titans,1.0
tushar07019,,GT,Gujarat Titans,1.0
vahgar,Allen The Alien,KKR,Kolkata Knight Riders,0
weezyf.baby_,WEEZY F. Baby,KKR,Kolkata Knight Riders,0
