Username,Display Name,Team Voted Short,Team Voted,Points
apurv5411,APURV,MI,Mumbai Indians,1.0
astrobot_7,PS_USER,MI,Mumbai Indians,1.0
billuda,𒆜 𝐁𝐈𝐋𝐋𝐔 𝐃𝐀 𒆜,SRH,Sunrisers Hyderabad,0
crazybats_v,Casper,SRH,Sunrisers Hyderabad,0
csharp21,CSharp,SRH,Sunrisers Hyderabad,0
dag_21,daggr,SRH,Sunrisers Hyderabad,0
elprofesor6338,Èl Profesor™,MI,Mumbai Indians,1.0
emptycases,J,SRH,Sunrisers Hyderabad,0
fezvaz,Vaz,SRH,Sunrisers Hyderabad,0
gamerpradosh,Gamer Pradosh,MI,Mumbai Indians,1.0
gladiator30,Gladiator,MI,Mumbai Indians,1.0
gooffyluffyy,Luffy,MI,Mumbai Indians,1.0
hungry_wolf,HungrY_WolF,SRH,Sunrisers Hyderabad,0
insane_dwane,Insane_Dwane,SRH,Sunrisers Hyderabad,0
jadelessbarukan,jadeless,MI,Mumbai Indians,1.0
khanatfarm,KHANatFARM,MI,Mumbai Indians,1.0
killingintent,Killing Intent,SRH,Sunrisers Hyderabad,0
light_itachi_op,Lassi Sassy,MI,Mumbai Indians,1.0
maverick7749,Mav,MI,Mumbai Indians,1.0
max._.caulfield,Max,MI,Mumbai Indians,1.0
reflekt_11,Reflekt,MI,Mumbai Indians,1.0
rishavmaiti,rishavmaiti,MI,Mumbai Indians,1.0
roarycat,RoaryCat,SRH,Sunrisers Hyderabad,0
slidemaster0547,Slide Master,MI,Mumbai Indians,1.0
sriprakash,Sri Prakash,MI,Mumbai Indians,1.0
static_25,Static,MI,Mumbai Indians,1.0
the_mizer,DrVimp,SRH,Sunrisers Hyderabad,0
thefarzi,Farzi,SRH,Sunrisers Hyderabad,0
thewebshooter,TheWebShooter,MI,Mumbai Indians,1.0
tushar07019,,MI,Mumbai Indians,1.0
vahgar,Allen The Alien,SRH,Sunrisers Hyderabad,0
weezyf.baby_,WEEZY F. Baby,MI,Mumbai Indians,1.0
