Username,Display Name,Team Voted Short,Team Voted,Points
_simplet0n,ZePHyR,KKR,Kolkata Knight Riders,0
apurv5411,APURV,PBKS,Punjab Kings,0
astrobot_7,PS_USER,PBKS,Punjab Kings,0
billuda,𒆜 𝐁𝐈𝐋𝐋𝐔 𝐃𝐀 𒆜,KKR,Kolkata Knight Riders,0
cdgamers14,cdgamers😎,KKR,Kolkata Knight Riders,0
crazybats_v,Casper,KKR,Kolkata Knight Riders,0
csharp21,CSharp,PBKS,Punjab Kings,0
dag_21,daggr,PBKS,Punjab Kings,0
elprofesor6338,Èl Profesor™,PBKS,Punjab Kings,0
emptycases,J,KKR,Kolkata Knight Riders,0
fezvaz,Vaz,KKR,Kolkata Knight Riders,0
galaxy201294,Galaxy.,KKR,Kolkata Knight Riders,0
gladiator30,Gladiator,KKR,Kolkata Knight Riders,0
gooffyluffyy,Luffy,PBKS,Punjab Kings,0
hungry_wolf,HungrY_WolF,KKR,Kolkata Knight Riders,0
insane_dwane,Insane_Dwane,KKR,Kolkata Knight Riders,0
jadelessbarukan,jadeless,PBKS,Punjab Kings,0
kakashi019805,Kakashi,PBKS,Punjab Kings,0
khanatfarm,KHANatFARM,KKR,Kolkata Knight Riders,0
light_itachi_op,Lassi Sassy,KKR,Kolkata Knight Riders,0
maverick7749,Mav,PBKS,Punjab Kings,0
max._.caulfield,Max,KKR,Kolkata Knight Riders,0
reflekt_11,Reflekt,PBKS,Punjab Kings,0
rishavmaiti,rishavmaiti,PBKS,Punjab Kings,0
roarycat,RoaryCat,PBKS,Punjab Kings,0
roguehunter15,RogueHunter,PBKS,Punjab Kings,0
shadow0403bsr,shadow43,PBKS,Punjab Kings,0
slidemaster0547,Slide Master,PBKS,Punjab Kings,0
sriprakash,Sri Prakash,PBKS,Punjab Kings,0
static_25,Static,KKR,Kolkata Knight Riders,0
the_mizer,DrVimp,PBKS,Punjab Kings,0
thefarzi,Farzi,PBKS,Punjab Kings,0
tushar07019,,PBKS,Punjab Kings,0
vahgar,Allen The Alien,PBKS,Punjab Kings,0
