Username,Display Name,Team Voted Short,Team Voted,Points
1nv1nc1b1e18,Him.,LSG,Lucknow Super Giants,0
aaryangupta23,Aaryan,MI,Mumbai Indians,2.0
apurv5411,APURV,MI,Mumbai Indians,2.0
astrobot_7,PS_USER,LSG,Lucknow Super Giants,0
billuda,𒆜 𝐁𝐈𝐋𝐋𝐔 𝐃𝐀 𒆜,LSG,Lucknow Super Giants,0
crazybats_v,Casper,MI,Mumbai Indians,2.0
csharp21,CSharp,LSG,Lucknow Super Giants,0
dag_21,daggr,MI,Mumbai Indians,2.0
elprofesor6338,Èl Profesor™,LSG,Lucknow Super Giants,0
emptycases,J,MI,Mumbai Indians,2.0
fezvaz,Vaz,MI,Mumbai Indians,2.0
gamerpradosh,Gamer Pradosh,MI,Mumbai Indians,2.0
gladiator30,Gladiator,LSG,Lucknow Super Giants,0
gooffyluffyy,Luffy,MI,Mumbai Indians,2.0
hungry_wolf,HungrY_WolF,LSG,Lucknow Super Giants,0
insane_dwane,Insane_Dwane,MI,Mumbai Indians,2.0
jadelessbarukan,jadeless,MI,Mumbai Indians,2.0
kakashi019805,Kakashi,MI,Mumbai Indians,2.0
khanatfarm,KHANatFARM,MI,Mumbai Indians,2.0
light_itachi_op,Lassi Sassy,MI,Mumbai Indians,2.0
maverick7749,Mav,MI,Mumbai Indians,2.0
max._.caulfield,Max,MI,Mumbai Indians,2.0
pkmkb6011,Sunny Paaji,LSG,Lucknow Super Giants,0
reflekt_11,Reflekt,MI,Mumbai Indians,2.0
roarycat,RoaryCat,LSG,Lucknow Super Giants,0
roguehunter15,RogueHunter,MI,Mumbai Indians,2.0
slidemaster0547,Slide Master,LSG,Lucknow Super Giants,0
static_25,Static,MI,Mumbai Indians,2.0
the_mizer,DrVimp,LSG,Lucknow Super Giants,0
thefarzi,Farzi,LSG,Lucknow Super Giants,0
thewebshooter,TheWebShooter,MI,Mumbai Indians,2.0
tushar07019,,MI,Mumbai Indians,2.0
vahgar,Allen The Alien,LSG,Lucknow Super Giants,0
weezyf.baby_,WEEZY F. Baby,MI,Mumbai Indians,2.0
