Username,Display Name,Team Voted Short,Team Voted,Points
apurv5411,APURV,LSG,Lucknow Super Giants,0
astrobot_7,PS_USER,LSG,Lucknow Super Giants,0
billuda,𒆜 𝐁𝐈𝐋𝐋𝐔 𝐃𝐀 𒆜,LSG,Lucknow Super Giants,0
bundbaaz,sk,DC,Delhi Capitals,1.0
crazybats_v,Casper,LSG,Lucknow Super Giants,0
csharp21,CSharp,DC,Delhi Capitals,1.0
elprofesor6338,Èl Profesor™,LSG,Lucknow Super Giants,0
emptycases,J,DC,Delhi Capitals,1.0
fezvaz,Vaz,DC,Delhi Capitals,1.0
gamerpradosh,Gamer Pradosh,DC,Delhi Capitals,1.0
gane_sh,Gane_sh,DC,Delhi Capitals,1.0
gladiator30,Gladiator,DC,Delhi Capitals,1.0
gooffyluffyy,Luffy,LSG,Lucknow Super Giants,0
hungry_wolf,HungrY_WolF,LSG,Lucknow Super Giants,0
ind_mafia_sahil,IND_Mafia_Sahil,DC,Delhi Capitals,1.0
insane_dwane,Insane_Dwane,DC,Delhi Capitals,1.0
jadelessbarukan,jadeless,LSG,Lucknow Super Giants,0
jubilant_chipmunk_76062,,DC,Delhi Capitals,1.0
kakashi019805,Kakashi,LSG,Lucknow Super Giants,0
khanatfarm,KHANatFARM,DC,Delhi Capitals,1.0
maverick7749,Mav,LSG,Lucknow Super Giants,0
max._.caulfield,Max,DC,Delhi Capitals,1.0
reflekt_11,Reflekt,DC,Delhi Capitals,1.0
rishavmaiti,rishavmaiti,DC,Delhi Capitals,1.0
roarycat,RoaryCat,LSG,Lucknow Super Giants,0
roguehunter15,RogueHunter,LSG,Lucknow Super Giants,0
slidemaster0547,Slide Master,LSG,Lucknow Super Giants,0
sriprakash,Sri Prakash,LSG,Lucknow Super Giants,0
static_25,Static,DC,Delhi Capitals,1.0
the_mizer,DrVimp,LSG,Lucknow Super Giants,0
thefarzi,Farzi,DC,Delhi Capitals,1.0
tushar07019,,DC,Delhi Capitals,1.0
vahgar,Allen The Alien,DC,Delhi Capitals,1.0
