Username,Display Name,Team Voted Short,Team Voted,Points
.agentvic,agentVic,RCB,Royal Challengers Bengaluru,3.0
_simplet0n,ZePHyR,RCB,Royal Challengers Bengaluru,3.0
aaryangupta23,Aaryan,RCB,Royal Challengers Bengaluru,3.0
abhilashsp,Abhilash SP,RR,Rajasthan Royals,0
abhishek2311_2,Abhishek_5518,RCB,Royal Challengers Bengaluru,3.0
apurv5411,APURV,RCB,Royal Challengers Bengaluru,3.0
astrobot_7,PS_USER,RR,Rajasthan Royals,0
billuda,𒆜 𝐁𝐈𝐋𝐋𝐔 𝐃𝐀 𒆜,RR,Rajasthan Royals,0
crazybats_v,Casper,RCB,Royal Challengers Bengaluru,3.0
csharp21,CSharp,RR,Rajasthan Royals,0
dag_21,daggr,RR,Rajasthan Royals,0
deadshot06.,,RCB,Royal Challengers Bengaluru,3.0
emptycases,J,RCB,Royal Challengers Bengaluru,3.0
fazilbashasn,FAZILBASHASN,RCB,Royal Challengers Bengaluru,3.0
fezvaz,Vaz,RCB,Royal Challengers Bengaluru,3.0
gamerpradosh,Gamer Pradosh,RCB,Royal Challengers Bengaluru,3.0
gladiator30,Gladiator,RCB,Royal Challengers Bengaluru,3.0
gooffyluffyy,Luffy,RR,Rajasthan Royals,0
hungry_wolf,HungrY_WolF,RR,Rajasthan Royals,0
insane_dwane,Insane_Dwane,RCB,Royal Challengers Bengaluru,3.0
jadelessbarukan,jadeless,RCB,Royal Challengers Bengaluru,3.0
jerry0_o,Jerry0_0,RCB,Royal Challengers Bengaluru,3.0
jubilant_chipmunk_76062,,RCB,Royal Challengers Bengaluru,3.0
kakashi019805,Kakashi,RCB,Royal Challengers Bengaluru,3.0
khanatfarm,KHANatFARM,RCB,Royal Challengers Bengaluru,3.0
lelouch1806,lelouch,RCB,Royal Challengers Bengaluru,3.0
light_itachi_op,Lassi Sassy,RCB,Royal Challengers Bengaluru,3.0
maverick7749,Mav,RCB,Royal Challengers Bengaluru,3.0
max._.caulfield,Max,RR,Rajasthan Royals,0
pkmkb6011,Sunny Paaji,RCB,Royal Challengers Bengaluru,3.0
psycvb,Sukuna (両面),RCB,Royal Challengers Bengaluru,3.0
reflekt_11,Reflekt,RCB,Royal Challengers Bengaluru,3.0
rishavmaiti,rishavmaiti,RCB,Royal Challengers Bengaluru,3.0
roarycat,RoaryCat,RR,Rajasthan Royals,0
roguehunter15,RogueHunter,RCB,Royal Challengers Bengaluru,3.0
slidemaster0547,Slide Master,RCB,Royal Challengers Bengaluru,3.0
sriprakash,Sri Prakash,RCB,Royal Challengers Bengaluru,3.0
static_25,Static,RR,Rajasthan Royals,0
the_mizer,DrVimp,RCB,Royal Challengers Bengaluru,3.0
thefarzi,Farzi,RCB,Royal Challengers Bengaluru,3.0
thewebshooter,TheWebShooter,RR,Rajasthan Royals,0
tushar07019,,RCB,Royal Challengers Bengaluru,3.0
vahgar,Allen The Alien,RR,Rajasthan Royals,0
