Username,Display Name,Team Voted Short,Team Voted,Points
aaryangupta23,Aaryan,CSK,Chennai Super Kings,0
apurv5411,APURV,CSK,Chennai Super Kings,0
ashutoshudairaaj1894,Ashutosh udai raaj,CSK,Chennai Super Kings,0
astrobot_7,PS_USER,CSK,Chennai Super Kings,0
billuda,𒆜 𝐁𝐈𝐋𝐋𝐔 𝐃𝐀 𒆜,CSK,Chennai Super Kings,0
crazybats_v,Casper,SRH,Sunrisers Hyderabad,1.0
csharp21,CSharp,SRH,Sunrisers Hyderabad,1.0
dag_21,daggr,CSK,Chennai Super Kings,0
elprofesor6338,Èl Profesor™,CSK,Chennai Super Kings,0
emptycases,J,SRH,Sunrisers Hyderabad,1.0
fezvaz,Vaz,CSK,Chennai Super Kings,0
gane_sh,Gane_sh,CSK,Chennai Super Kings,0
gladiator30,Gladiator,CSK,Chennai Super Kings,0
gooffyluffyy,Luffy,CSK,Chennai Super Kings,0
hungry_wolf,HungrY_WolF,SRH,Sunrisers Hyderabad,1.0
insane_dwane,Insane_Dwane,SRH,Sunrisers Hyderabad,1.0
jadelessbarukan,jadeless,SRH,Sunrisers Hyderabad,1.0
jubilant_chipmunk_76062,,CSK,Chennai Super Kings,0
k1ngtrailblazer,tra1lblazerg0d,CSK,Chennai Super Kings,0
khanatfarm,KHANatFARM,CSK,Chennai Super Kings,0
killingintent,Killing Intent,SRH,Sunrisers Hyderabad,1.0
lelouch1806,lelouch,SRH,Sunrisers Hyderabad,1.0
light_itachi_op,Lassi Sassy,CSK,Chennai Super Kings,0
maverick7749,Mav,CSK,Chennai Super Kings,0
max._.caulfield,Max,CSK,Chennai Super Kings,0
prathz1109,Prathzz,CSK,Chennai Super Kings,0
reflekt_11,Reflekt,CSK,Chennai Super Kings,0
rishavmaiti,rishavmaiti,CSK,Chennai Super Kings,0
roarycat,RoaryCat,SRH,Sunrisers Hyderabad,1.0
roguehunter15,RogueHunter,CSK,Chennai Super Kings,0
slidemaster0547,Slide Master,SRH,Sunrisers Hyderabad,1.0
sriprakash,Sri Prakash,CSK,Chennai Super Kings,0
static_25,Static,CSK,Chennai Super Kings,0
the_mizer,DrVimp,SRH,Sunrisers Hyderabad,1.0
thefarzi,Farzi,CSK,Chennai Super Kings,0
thewebshooter,TheWebShooter,CSK,Chennai Super Kings,0
tushar07019,,SRH,Sunrisers Hyderabad,1.0
