Username,Display Name,Team Voted Short,Team Voted,Points
1nv1nc1b1e18,Him.,RCB,Royal Challengers Bengaluru,2.0
aaryangupta23,Aaryan,RCB,Royal Challengers Bengaluru,2.0
apurv5411,APURV,RCB,Royal Challengers Bengaluru,2.0
astrobot_7,PS_USER,DC,Delhi Capitals,0
billuda,𒆜 𝐁𝐈𝐋𝐋𝐔 𝐃𝐀 𒆜,RCB,Royal Challengers Bengaluru,2.0
crazybats_v,Casper,DC,Delhi Capitals,0
csharp21,CSharp,DC,Delhi Capitals,0
dag_21,daggr,DC,Delhi Capitals,0
deadshot06.,,RCB,Royal Challengers Bengaluru,2.0
elprofesor6338,Èl Profesor™,RCB,Royal Challengers Bengaluru,2.0
emptycases,J,DC,Delhi Capitals,0
fezvaz,Vaz,RCB,Royal Challengers Bengaluru,2.0
gladiator30,Gladiator,DC,Delhi Capitals,0
gooffyluffyy,Luffy,DC,Delhi Capitals,0
hungry_wolf,HungrY_WolF,DC,Delhi Capitals,0
insane_dwane,Insane_Dwane,RCB,Royal Challengers Bengaluru,2.0
jadelessbarukan,jadeless,RCB,Royal Challengers Bengaluru,2.0
kakashi019805,Kakashi,DC,Delhi Capitals,0
khanatfarm,KHANatFARM,DC,Delhi Capitals,0
lelouch1806,lelouch,RCB,Royal Challengers Bengaluru,2.0
light_itachi_op,Lassi Sassy,DC,Delhi Capitals,0
maverick7749,Mav,RCB,Royal Challengers Bengaluru,2.0
max._.caulfield,Max,DC,Delhi Capitals,0
oracle_priest,oracle_priest,DC,Delhi Capitals,0
reflekt_11,Reflekt,RCB,Royal Challengers Bengaluru,2.0
rishavmaiti,rishavmaiti,DC,Delhi Capitals,0
roarycat,RoaryCat,DC,Delhi Capitals,0
roguehunter15,RogueHunter,RCB,Royal Challengers Bengaluru,2.0
slidemaster0547,Slide Master,RCB,Royal Challengers Bengaluru,2.0
sriprakash,Sri Prakash,DC,Delhi Capitals,0
static_25,Static,DC,Delhi Capitals,0
the_mizer,DrVimp,DC,Delhi Capitals,0
thefarzi,Farzi,RCB,Royal Challengers Bengaluru,2.0
thewebshooter,TheWebShooter,DC,Delhi Capitals,0
tushar07019,,RCB,Royal Challengers Bengaluru,2.0
vahgar,Allen The Alien,RCB,Royal Challengers Bengaluru,2.0
weezyf.baby_,WEEZY F. Baby,DC,Delhi Capitals,0
