Username,Display Name,Margin Voted Short,Margin Voted,Points
apurv5411,APURV,1-10R,Win by 1-10 runs  OR  by 7-8 wickets,0
astrobot_7,PS_USER,11-20R,Win by 11-20 runs  OR  by 9-10 wickets,3.0
billuda,𒆜 𝐁𝐈𝐋𝐋𝐔 𝐃𝐀 𒆜,61+R,Win by 61+ runs  OR  by 5-6 wickets,0
crazybats_v,Casper,21-40R,Win by 21-40 runs  OR  by 1-2 wickets,0
csharp21,CSharp,11-20R,Win by 11-20 runs  OR  by 9-10 wickets,3.0
dag_21,daggr,21-40R,Win by 21-40 runs  OR  by 1-2 wickets,0
emptycases,J,21-40R,Win by 21-40 runs  OR  by 1-2 wickets,0
fezvaz,Vaz,21-40R,Win by 21-40 runs  OR  by 1-2 wickets,0
gane_sh,Gane_sh,11-20R,Win by 11-20 runs  OR  by 9-10 wickets,3.0
gladiator30,Gladiator,21-40R,Win by 21-40 runs  OR  by 1-2 wickets,0
gooffyluffyy,Luffy,41-60R,Win by 41-60 runs  OR  by 3-4 wickets,0
hungry_wolf,HungrY_WolF,11-20R,Win by 11-20 runs  OR  by 9-10 wickets,3.0
iamzeus,iAmZeus,21-40R,Win by 21-40 runs  OR  by 1-2 wickets,0
insane_dwane,Insane_Dwane,21-40R,Win by 21-40 runs  OR  by 1-2 wickets,0
jadelessbarukan,jadeless,1-10R,Win by 1-10 runs  OR  by 7-8 wickets,0
jubilant_chipmunk_76062,,11-20R,Win by 11-20 runs  OR  by 9-10 wickets,3.0
khanatfarm,KHANatFARM,1-10R,Win by 1-10 runs  OR  by 7-8 wickets,0
lelouch1806,lelouch,21-40R,Win by 21-40 runs  OR  by 1-2 wickets,0
light_itachi_op,Lassi Sassy,61+R,Win by 61+ runs  OR  by 5-6 wickets,0
maverick7749,Mav,11-20R,Win by 11-20 runs  OR  by 9-10 wickets,3.0
max._.caulfield,Max,41-60R,Win by 41-60 runs  OR  by 3-4 wickets,0
reflekt_11,Reflekt,41-60R,Win by 41-60 runs  OR  by 3-4 wickets,0
rishavmaiti,rishavmaiti,11-20R,Win by 11-20 runs  OR  by 9-10 wickets,3.0
roarycat,RoaryCat,61+R,Win by 61+ runs  OR  by 5-6 wickets,0
roguehunter15,RogueHunter,41-60R,Win by 41-60 runs  OR  by 3-4 wickets,0
slidemaster0547,Slide Master,21-40R,Win by 21-40 runs  OR  by 1-2 wickets,0
static_25,Static,41-60R,Win by 41-60 runs  OR  by 3-4 wickets,0
thefarzi,Farzi,61+R,Win by 61+ runs  OR  by 5-6 wickets,0
thewebshooter,TheWebShooter,21-40R,Win by 21-40 runs  OR  by 1-2 wickets,0
tushar07019,,61+R,Win by 61+ runs  OR  by 5-6 wickets,0
vahgar,Allen The Alien,41-60R,Win by 41-60 runs  OR  by 3-4 wickets,0
weezyf.baby_,WEEZY F. Baby,1-10R,Win by 1-10 runs  OR  by 7-8 wickets,0
