Username,Display Name,Margin Voted Short,Margin Voted,Points
apurv5411,APURV,4-5W,Win by 21-30 runs OR 4-5 wickets,3.0
astrobot_7,PS_USER,4-5W,Win by 21-30 runs OR 4-5 wickets,3.0
billuda,𒆜 𝐁𝐈𝐋𝐋𝐔 𝐃𝐀 𒆜,2-3W,Win by 31-40 runs OR 2-3 wickets,0
crazybats_v,Casper,2-3W,Win by 31-40 runs OR 2-3 wickets,0
csharp21,CSharp,6-7W,Win by 11-20 runs OR 6-7 wickets,0
emptycases,J,8-10W,Win by 1-10 runs OR 8-10 wickets,0
fezvaz,Vaz,2-3W,Win by 31-40 runs OR 2-3 wickets,0
gamerpradosh,Gamer Pradosh,6-7W,Win by 11-20 runs OR 6-7 wickets,0
gane_sh,Gane_sh,6-7W,Win by 11-20 runs OR 6-7 wickets,0
gladiator30,Gladiator,4-5W,Win by 21-30 runs OR 4-5 wickets,3.0
gooffyluffyy,Luffy,4-5W,Win by 21-30 runs OR 4-5 wickets,3.0
hungry_wolf,HungrY_WolF,4-5W,Win by 21-30 runs OR 4-5 wickets,3.0
insane_dwane,Insane_Dwane,6-7W,Win by 11-20 runs OR 6-7 wickets,0
jadelessbarukan,jadeless,4-5W,Win by 21-30 runs OR 4-5 wickets,3.0
khanatfarm,KHANatFARM,6-7W,Win by 11-20 runs OR 6-7 wickets,0
lelouch1806,lelouch,6-7W,Win by 11-20 runs OR 6-7 wickets,0
light_itachi_op,Lassi Sassy,4-5W,Win by 21-30 runs OR 4-5 wickets,3.0
lokim_,lokim,4-5W,Win by 21-30 runs OR 4-5 wickets,3.0
maverick7749,Mav,6-7W,Win by 11-20 runs OR 6-7 wickets,0
max._.caulfield,Max,1W,Win by 41+ runs OR 1 wicket,0
psudorandom,psudorandom,4-5W,Win by 21-30 runs OR 4-5 wickets,3.0
reflekt_11,Reflekt,6-7W,Win by 11-20 runs OR 6-7 wickets,0
rishavmaiti,rishavmaiti,4-5W,Win by 21-30 runs OR 4-5 wickets,3.0
roarycat,RoaryCat,2-3W,Win by 31-40 runs OR 2-3 wickets,0
roguehunter15,RogueHunter,4-5W,Win by 21-30 runs OR 4-5 wickets,3.0
slidemaster0547,Slide Master,4-5W,Win by 21-30 runs OR 4-5 wickets,3.0
sriprakash,Sri Prakash,4-5W,Win by 21-30 runs OR 4-5 wickets,3.0
static_25,Static,2-3W,Win by 31-40 runs OR 2-3 wickets,0
thefarzi,Farzi,6-7W,Win by 11-20 runs OR 6-7 wickets,0
thewebshooter,TheWebShooter,4-5W,Win by 21-30 runs OR 4-5 wickets,3.0
tushar07019,,6-7W,Win by 11-20 runs OR 6-7 wickets,0
vahgar,Allen The Alien,4-5W,Win by 21-30 runs OR 4-5 wickets,3.0
