Username,Display Name,Margin Voted Short,Margin Voted,Points
apurv5411,APURV,11-20R,Win by 11-20 runs OR 6-7 wickets,0
astrobot_7,PS_USER,11-20R,Win by 11-20 runs OR 6-7 wickets,0
billuda,BILLUDA,11-20R,Win by 11-20 runs OR 6-7 wickets,0
crazybats_v,Casper,41+R,Win by 41+ runs OR 1 wicket,0
csharp21,CSharp,11-20R,Win by 11-20 runs OR 6-7 wickets,0
dag_21,daggr,21-30R,Win by 21-30 runs OR 4-5 wickets,0
emptycases,J,21-30R,Win by 21-30 runs OR 4-5 wickets,0
fezvaz,Vaz,31-40R,Win by 31-40 runs OR 2-3 wickets,3.0
gane_sh,Gane_sh,21-30R,Win by 21-30 runs OR 4-5 wickets,0
gladiator30,Gladiator,11-20R,Win by 11-20 runs OR 6-7 wickets,0
gooffyluffyy,Luffy,11-20R,Win by 11-20 runs OR 6-7 wickets,0
hungry_wolf,HungrY WolF,11-20R,Win by 11-20 runs OR 6-7 wickets,0
insane_dwane,Insane_Dwane,21-30R,Win by 21-30 runs OR 4-5 wickets,0
jadelessbarukan,jadeless,11-20R,Win by 11-20 runs OR 6-7 wickets,0
joe_._mama,joe mama,41+R,Win by 41+ runs OR 1 wicket,0
jubilant_chipmunk_76062,,21-30R,Win by 21-30 runs OR 4-5 wickets,0
khanatfarm,KHANatFARM,21-30R,Win by 21-30 runs OR 4-5 wickets,0
lelouch1806,lelouch,21-30R,Win by 21-30 runs OR 4-5 wickets,0
maverick7749,Mav,11-20R,Win by 11-20 runs OR 6-7 wickets,0
max._.caulfield,Max,11-20R,Win by 11-20 runs OR 6-7 wickets,0
reflekt_11,Reflekt,21-30R,Win by 21-30 runs OR 4-5 wickets,0
rithav,Arun Rithav,21-30R,Win by 21-30 runs OR 4-5 wickets,0
roarycat,RoaryCat,21-30R,Win by 21-30 runs OR 4-5 wickets,0
roguehunter15,RogueHunter,21-30R,Win by 21-30 runs OR 4-5 wickets,0
slidemaster0547,Slide Master,21-30R,Win by 21-30 runs OR 4-5 wickets,0
sriprakash,Sri Prakash,31-40R,Win by 31-40 runs OR 2-3 wickets,3.0
static_25,Michael,21-30R,Win by 21-30 runs OR 4-5 wickets,0
thefarzi,Farzi,21-30R,Win by 21-30 runs OR 4-5 wickets,0
thewebshooter,TheWebShooter,21-30R,Win by 21-30 runs OR 4-5 wickets,0
tushar07019,,11-20R,Win by 11-20 runs OR 6-7 wickets,0
vahgar,Allen The Alien,31-40R,Win by 31-40 runs OR 2-3 wickets,3.0
