Username,Display Name,Margin Voted Short,Margin Voted,Points
apurv5411,APURV,21-40R,Win by 21-40 runs OR by 1-2 wickets,3.0
astrobot_7,PS_USER,1-10R,Win by 1-10 runs OR by 7-8 wickets,0
billuda,BILLUDA,SO,Win by Super Over (Bonus 2 points),0
crazybats_v,Casper,11-20R,Win by 11-20 runs OR by 9-10 wickets,0
csharp21,CSharp,21-40R,Win by 21-40 runs OR by 1-2 wickets,3.0
dag_21,daggr,11-20R,Win by 11-20 runs OR by 9-10 wickets,0
emptycases,J,11-20R,Win by 11-20 runs OR by 9-10 wickets,0
fezvaz,Vaz,41-60R,Win by 41-60 runs OR by 3-4 wickets,0
gane_sh,Gane_sh,11-20R,Win by 11-20 runs OR by 9-10 wickets,0
gladiator30,Gladiator,1-10R,Win by 1-10 runs OR by 7-8 wickets,0
gooffyluffyy,Luffy,SO,Win by Super Over (Bonus 2 points),0
hungry_wolf,HungrY WolF,21-40R,Win by 21-40 runs OR by 1-2 wickets,3.0
insane_dwane,Insane_Dwane,SO,Win by Super Over (Bonus 2 points),0
jadelessbarukan,jadeless,61+R,Win by 61+ runs OR by 5-6 wickets,0
khanatfarm,KHANatFARM,21-40R,Win by 21-40 runs OR by 1-2 wickets,3.0
light_itachi_op,Lassi Sassy,41-60R,Win by 41-60 runs OR by 3-4 wickets,0
maverick7749,Mav,11-20R,Win by 11-20 runs OR by 9-10 wickets,0
max._.caulfield,Max,1-10R,Win by 1-10 runs OR by 7-8 wickets,0
reflekt_11,Reflekt,1-10R,Win by 1-10 runs OR by 7-8 wickets,0
rishavmaiti,rishavmaiti,41-60R,Win by 41-60 runs OR by 3-4 wickets,0
roarycat,RoaryCat,1-10R,Win by 1-10 runs OR by 7-8 wickets,0
roguehunter15,RogueHunter,11-20R,Win by 11-20 runs OR by 9-10 wickets,0
shadow0403bsr,shadow43,11-20R,Win by 11-20 runs OR by 9-10 wickets,0
slidemaster0547,Slide Master,41-60R,Win by 41-60 runs OR by 3-4 wickets,0
sriprakash,Sri Prakash,61+R,Win by 61+ runs OR by 5-6 wickets,0
static_25,Static,21-40R,Win by 21-40 runs OR by 1-2 wickets,3.0
thefarzi,Farzi,41-60R,Win by 41-60 runs OR by 3-4 wickets,0
thewebshooter,TheWebShooter,21-40R,Win by 21-40 runs OR by 1-2 wickets,3.0
tushar07019,,1-10R,Win by 1-10 runs OR by 7-8 wickets,0
vahgar,Allen The Alien,41-60R,Win by 41-60 runs OR by 3-4 wickets,0
