Username,Display Name,Team Voted Short,Team Voted,Points
apurv5411,APURV,GT,Gujarat Titans,0
astrobot_7,PS_USER,RR,Rajasthan Royals,1.0
billuda,𒆜 𝐁𝐈𝐋𝐋𝐔 𝐃𝐀 𒆜,RR,Rajasthan Royals,1.0
crazybats_v,Casper,GT,Gujarat Titans,0
csharp21,CSharp,RR,Rajasthan Royals,1.0
dag_21,daggr,GT,Gujarat Titans,0
emptycases,J,GT,Gujarat Titans,0
fezvaz,Vaz,GT,Gujarat Titans,0
gamerpradosh,Gamer Pradosh,GT,Gujarat Titans,0
gladiator30,Gladiator,GT,Gujarat Titans,0
gooffyluffyy,Luffy,GT,Gujarat Titans,0
hungry_wolf,HungrY_WolF,RR,Rajasthan Royals,1.0
insane_dwane,Insane_Dwane,RR,Rajasthan Royals,1.0
jadelessbarukan,jadeless,RR,Rajasthan Royals,1.0
khanatfarm,KHANatFARM,GT,Gujarat Titans,0
lelouch1806,lelouch,GT,Gujarat Titans,0
light_itachi_op,Lassi Sassy,GT,Gujarat Titans,0
madhavm14,maddy,GT,Gujarat Titans,0
maverick7749,Mav,GT,Gujarat Titans,0
max._.caulfield,Max,GT,Gujarat Titans,0
reflekt_11,Reflekt,GT,Gujarat Titans,0
rishavmaiti,rishavmaiti,GT,Gujarat Titans,0
roarycat,RoaryCat,RR,Rajasthan Royals,1.0
roguehunter15,RogueHunter,GT,Gujarat Titans,0
slidemaster0547,Slide Master,GT,Gujarat Titans,0
sriprakash,Sri Prakash,GT,Gujarat Titans,0
static_25,Static,GT,Gujarat Titans,0
thefarzi,Farzi,GT,Gujarat Titans,0
thewebshooter,TheWebShooter,GT,Gujarat Titans,0
tushar07019,,GT,Gujarat Titans,0
vahgar,Allen The Alien,GT,Gujarat Titans,0
