Username,Display Name,Team Voted Short,Team Voted,Points
_yoichi_,yoichi,KKR,Kolkata Knight Riders,1.0
apurv5411,APURV,DC,Delhi Capitals,0
astrobot_7,PS_USER,DC,Delhi Capitals,0
billuda,𒆜 𝐁𝐈𝐋𝐋𝐔 𝐃𝐀 𒆜,KKR,Kolkata Knight Riders,1.0
crazybats_v,Casper,DC,Delhi Capitals,0
csharp21,CSharp,DC,Delhi Capitals,0
dag_21,daggr,KKR,Kolkata Knight Riders,1.0
emptycases,J,DC,Delhi Capitals,0
fezvaz,Vaz,DC,Delhi Capitals,0
gane_sh,Gane_sh,DC,Delhi Capitals,0
gladiator30,Gladiator,DC,Delhi Capitals,0
gooffyluffyy,Luffy,DC,Delhi Capitals,0
hungry_wolf,HungrY_WolF,DC,Delhi Capitals,0
iamzeus,iAmZeus,KKR,Kolkata Knight Riders,1.0
insane_dwane,Insane_Dwane,KKR,Kolkata Knight Riders,1.0
jadelessbarukan,jadeless,DC,Delhi Capitals,0
jubilant_chipmunk_76062,,DC,Delhi Capitals,0
khanatfarm,KHANatFARM,KKR,Kolkata Knight Riders,1.0
lelouch1806,lelouch,DC,Delhi Capitals,0
light_itachi_op,Lassi Sassy,DC,Delhi Capitals,0
maverick7749,Mav,DC,Delhi Capitals,0
max._.caulfield,Max,KKR,Kolkata Knight Riders,1.0
oracle_priest,oracle_priest,DC,Delhi Capitals,0
reflekt_11,Reflekt,DC,Delhi Capitals,0
rishavmaiti,rishavmaiti,DC,Delhi Capitals,0
roarycat,RoaryCat,DC,Delhi Capitals,0
roguehunter15,RogueHunter,DC,Delhi Capitals,0
slidemaster0547,Slide Master,DC,Delhi Capitals,0
static_25,Static,DC,Delhi Capitals,0
thefarzi,Farzi,DC,Delhi Capitals,0
thewebshooter,TheWebShooter,DC,Delhi Capitals,0
tushar07019,,DC,Delhi Capitals,0
vahgar,Allen The Alien,DC,Delhi Capitals,0
weezyf.baby_,WEEZY F. Baby,KKR,Kolkata Knight Riders,1.0
