Username,Display Name,Team Voted Short,Team Voted,Points
aaryangupta23,Aaryan,RR,Rajasthan Royals,0
apurv5411,APURV,MI,Mumbai Indians,1.0
astrobot_7,PS_USER,RR,Rajasthan Royals,0
billuda,BILLUDA,RR,Rajasthan Royals,0
crazybats_v,Casper,MI,Mumbai Indians,1.0
csharp21,CSharp,MI,Mumbai Indians,1.0
dag_21,daggr,RR,Rajasthan Royals,0
emptycases,J,MI,Mumbai Indians,1.0
fezvaz,Vaz,MI,Mumbai Indians,1.0
gladiator30,Gladiator,MI,Mumbai Indians,1.0
gooffyluffyy,Luffy,MI,Mumbai Indians,1.0
hungry_wolf,HungrY WolF,RR,Rajasthan Royals,0
insane_dwane,Insane_Dwane,RR,Rajasthan Royals,0
jadelessbarukan,jadeless,MI,Mumbai Indians,1.0
khanatfarm,KHANatFARM,MI,Mumbai Indians,1.0
lelouch1806,lelouch,MI,Mumbai Indians,1.0
light_itachi_op,Lassi Sassy,MI,Mumbai Indians,1.0
maverick7749,Mav,MI,Mumbai Indians,1.0
max._.caulfield,Max,RR,Rajasthan Royals,0
reflekt_11,Reflekt,MI,Mumbai Indians,1.0
rishavmaiti,rishavmaiti,RR,Rajasthan Royals,0
roarycat,RoaryCat,RR,Rajasthan Royals,0
roguehunter15,RogueHunter,MI,Mumbai Indians,1.0
slidemaster0547,Slide Master,MI,Mumbai Indians,1.0
sriprakash,Sri Prakash,MI,Mumbai Indians,1.0
static_25,Michael,MI,Mumbai Indians,1.0
thefarzi,Farzi,MI,Mumbai Indians,1.0
thewebshooter,TheWebShooter,MI,Mumbai Indians,1.0
tushar07019,,MI,Mumbai Indians,1.0
vahgar,Allen The Alien,RR,Rajasthan Royals,0
weezyf.baby_,WEEZY F. Baby,MI,Mumbai Indians,1.0
