Username,Display Name,Team Voted Short,Team Voted,Points
apurv5411,APURV,GT,Gujarat Titans,1.0
astrobot_7,PS_USER,GT,Gujarat Titans,1.0
billuda,BILLUDA,SRH,Sunrisers Hyderabad,0
crazybats_v,Casper,SRH,Sunrisers Hyderabad,0
csharp21,CSharp,GT,Gujarat Titans,1.0
dag_21,daggr,GT,Gujarat Titans,1.0
emptycases,J,GT,Gujarat Titans,1.0
fezvaz,Vaz,GT,Gujarat Titans,1.0
gane_sh,Gane_sh,GT,Gujarat Titans,1.0
gladiator30,Gladiator,GT,Gujarat Titans,1.0
gooffyluffyy,Luffy,GT,Gujarat Titans,1.0
hungry_wolf,HungrY WolF,GT,Gujarat Titans,1.0
insane_dwane,Insane_Dwane,SRH,Sunrisers Hyderabad,0
jadelessbarukan,jadeless,GT,Gujarat Titans,1.0
joe_._mama,joe mama,SRH,Sunrisers Hyderabad,0
jubilant_chipmunk_76062,,GT,Gujarat Titans,1.0
khanatfarm,KHANatFARM,GT,Gujarat Titans,1.0
lelouch1806,lelouch,GT,Gujarat Titans,1.0
light_itachi_op,Lassi Sassy,SRH,Sunrisers Hyderabad,0
maverick7749,Mav,SRH,Sunrisers Hyderabad,0
max._.caulfield,Max,GT,Gujarat Titans,1.0
reflekt_11,Reflekt,GT,Gujarat Titans,1.0
roarycat,RoaryCat,SRH,Sunrisers Hyderabad,0
roguehunter15,RogueHunter,GT,Gujarat Titans,1.0
slidemaster0547,Slide Master,GT,Gujarat Titans,1.0
sriprakash,Sri Prakash,GT,Gujarat Titans,1.0
static_25,Michael,GT,Gujarat Titans,1.0
thefarzi,Farzi,GT,Gujarat Titans,1.0
thewebshooter,TheWebShooter,GT,Gujarat Titans,1.0
tushar07019,,GT,Gujarat Titans,1.0
vahgar,Allen The Alien,GT,Gujarat Titans,1.0
