Username,Display Name,Team Voted Short,Team Voted,Points
.agentvic,agentVic,RCB,Royal Challengers Bengaluru,1.0
1nv1nc1b1e18,Him.,RCB,Royal Challengers Bengaluru,1.0
aaryangupta23,Aaryan,RCB,Royal Challengers Bengaluru,1.0
apurv5411,APURV,RCB,Royal Challengers Bengaluru,1.0
astrobot_7,PS_USER,CSK,Chennai Super Kings,0
billuda,BILLUDA,CSK,Chennai Super Kings,0
crazybats_v,Casper,RCB,Royal Challengers Bengaluru,1.0
csharp21,CSharp,RCB,Royal Challengers Bengaluru,1.0
dag_21,daggr,CSK,Chennai Super Kings,0
deadshot06.,,RCB,Royal Challengers Bengaluru,1.0
emptycases,J,RCB,Royal Challengers Bengaluru,1.0
fezvaz,Vaz,RCB,Royal Challengers Bengaluru,1.0
gamerpradosh,Gamer Pradosh,RCB,Royal Challengers Bengaluru,1.0
gane_sh,Gane_sh,CSK,Chennai Super Kings,0
gladiator30,Gladiator,CSK,Chennai Super Kings,0
gooffyluffyy,Luffy,CSK,Chennai Super Kings,0
hungry_wolf,HungrY WolF,RCB,Royal Challengers Bengaluru,1.0
insane_dwane,Insane_Dwane,RCB,Royal Challengers Bengaluru,1.0
jadelessbarukan,jadeless,CSK,Chennai Super Kings,0
jerry0_o,Jerry0_0,RCB,Royal Challengers Bengaluru,1.0
khanatfarm,KHANatFARM,RCB,Royal Challengers Bengaluru,1.0
lelouch1806,lelouch,RCB,Royal Challengers Bengaluru,1.0
light_itachi_op,Lassi Sassy,RCB,Royal Challengers Bengaluru,1.0
maverick7749,Mav,RCB,Royal Challengers Bengaluru,1.0
max._.caulfield,Max,RCB,Royal Challengers Bengaluru,1.0
msvvamsi,Msv Vamsi,CSK,Chennai Super Kings,0
pkmkb6011,Victor,RCB,Royal Challengers Bengaluru,1.0
reflekt_11,Reflekt,RCB,Royal Challengers Bengaluru,1.0
rishavmaiti,rishavmaiti,CSK,Chennai Super Kings,0
roarycat,RoaryCat,CSK,Chennai Super Kings,0
roguehunter15,RogueHunter,RCB,Royal Challengers Bengaluru,1.0
slidemaster0547,Slide Master,RCB,Royal Challengers Bengaluru,1.0
sriprakash,Sri Prakash,RCB,Royal Challengers Bengaluru,1.0
static_25,Michael,CSK,Chennai Super Kings,0
thefarzi,Farzi,RCB,Royal Challengers Bengaluru,1.0
thewebshooter,TheWebShooter,CSK,Chennai Super Kings,0
tushar07019,,RCB,Royal Challengers Bengaluru,1.0
vahgar,Allen The Alien,RCB,Royal Challengers Bengaluru,1.0
