Username,Display Name,Team Voted Short,Team Voted,Points
apurv5411,APURV,KKR,Kolkata Knight Riders,2.0
astrobot_7,PS_USER,KKR,Kolkata Knight Riders,2.0
billuda,BILLUDA,RR,Rajasthan Royals,0
cdgamers14,cdgamers😎,KKR,Kolkata Knight Riders,2.0
crazybats_v,Casper,KKR,Kolkata Knight Riders,2.0
csharp21,CSharp,KKR,Kolkata Knight Riders,2.0
dag_21,daggr,KKR,Kolkata Knight Riders,2.0
emptycases,J,KKR,Kolkata Knight Riders,2.0
fezvaz,Vaz,KKR,Kolkata Knight Riders,2.0
gladiator30,Gladiator,KKR,Kolkata Knight Riders,2.0
gooffyluffyy,Luffy,RR,Rajasthan Royals,0
hungry_wolf,HungrY WolF,KKR,Kolkata Knight Riders,2.0
insane_dwane,Insane_Dwane,KKR,Kolkata Knight Riders,2.0
jadelessbarukan,jadeless,RR,Rajasthan Royals,0
khanatfarm,KHANatFARM,KKR,Kolkata Knight Riders,2.0
light_itachi_op,Lassi Sassy,KKR,Kolkata Knight Riders,2.0
maverick7749,Mav,KKR,Kolkata Knight Riders,2.0
max._.caulfield,Max,KKR,Kolkata Knight Riders,2.0
reflekt_11,Reflekt,RR,Rajasthan Royals,0
rishavmaiti,rishavmaiti,KKR,Kolkata Knight Riders,2.0
roarycat,RoaryCat,RR,Rajasthan Royals,0
roguehunter15,RogueHunter,KKR,Kolkata Knight Riders,2.0
slidemaster0547,Slide Master,KKR,Kolkata Knight Riders,2.0
sriprakash,Sri Prakash,RR,Rajasthan Royals,0
static_25,Static,KKR,Kolkata Knight Riders,2.0
thefarzi,Farzi,KKR,Kolkata Knight Riders,2.0
thewebshooter,TheWebShooter,KKR,Kolkata Knight Riders,2.0
tushar07019,,KKR,Kolkata Knight Riders,2.0
vahgar,Allen The Alien,RR,Rajasthan Royals,0
