Username,Display Name,Team Voted Short,Team Voted,Points
apurv5411,APURV,PBKS,Punjab Kings,2.0
astrobot_7,PS_USER,LSG,Lucknow Super Giants,0
billuda,BILLUDA,LSG,Lucknow Super Giants,0
crazybats_v,Casper,PBKS,Punjab Kings,2.0
csharp21,CSharp,LSG,Lucknow Super Giants,0
dag_21,daggr,PBKS,Punjab Kings,2.0
emptycases,J,PBKS,Punjab Kings,2.0
fezvaz,Vaz,PBKS,Punjab Kings,2.0
gane_sh,Gane_sh,PBKS,Punjab Kings,2.0
gladiator30,Gladiator,PBKS,Punjab Kings,2.0
gooffyluffyy,Luffy,PBKS,Punjab Kings,2.0
hungry_wolf,HungrY WolF,LSG,Lucknow Super Giants,0
insane_dwane,Insane_Dwane,PBKS,Punjab Kings,2.0
jadelessbarukan,jadeless,PBKS,Punjab Kings,2.0
khanatfarm,KHANatFARM,LSG,Lucknow Super Giants,0
light_itachi_op,Lassi Sassy,PBKS,Punjab Kings,2.0
maverick7749,Mav,LSG,Lucknow Super Giants,0
max._.caulfield,Max,PBKS,Punjab Kings,2.0
reflekt_11,Reflekt,PBKS,Punjab Kings,2.0
rishavmaiti,rishavmaiti,PBKS,Punjab Kings,2.0
roarycat,RoaryCat,LSG,Lucknow Super Giants,0
roguehunter15,RogueHunter,PBKS,Punjab Kings,2.0
shadow0403bsr,shadow43,PBKS,Punjab Kings,2.0
slidemaster0547,Slide Master,LSG,Lucknow Super Giants,0
sriprakash,Sri Prakash,PBKS,Punjab Kings,2.0
static_25,Static,PBKS,Punjab Kings,2.0
thefarzi,Farzi,PBKS,Punjab Kings,2.0
thewebshooter,TheWebShooter,PBKS,Punjab Kings,2.0
tushar07019,,PBKS,Punjab Kings,2.0
vahgar,Allen The Alien,PBKS,Punjab Kings,2.0
