Username,Display Name,Margin Voted Short,Margin Voted,Points
apurv5411,APURV,21-30R,Win by 21-30 runs OR 4-5 wickets,0
ashmrth,Ashmrth,11-20R,Win by 11-20 runs OR 6-7 wickets,0
astrobot_7,PS_USER,21-30R,Win by 21-30 runs OR 4-5 wickets,0
billuda,BILLUDA,21-30R,Win by 21-30 runs OR 4-5 wickets,0
crazybats_v,Casper,41+R,Win by 41+ runs OR 1 wicket,0
csharp21,CSharp,21-30R,Win by 21-30 runs OR 4-5 wickets,0
emptycases,J,21-30R,Win by 21-30 runs OR 4-5 wickets,0
fezvaz,Vaz,21-30R,Win by 21-30 runs OR 4-5 wickets,0
gladiator30,Gladiator,1-10R,Win by 1-10 runs OR 8-10 wickets,0
gooffyluffyy,Luffy,11-20R,Win by 11-20 runs OR 6-7 wickets,0
hungry_wolf,HungrY WolF,21-30R,Win by 21-30 runs OR 4-5 wickets,0
ind_mafia_sahil,IND_Mafia_Sahil,41+R,Win by 41+ runs OR 1 wicket,0
insane_dwane,Insane_Dwane,1-10R,Win by 1-10 runs OR 8-10 wickets,0
jadelessbarukan,jadeless,21-30R,Win by 21-30 runs OR 4-5 wickets,0
khanatfarm,KHANatFARM,31-40R,Win by 31-40 runs OR 2-3 wickets,0
light_itachi_op,Lassi Sassy,41+R,Win by 41+ runs OR 1 wicket,0
maverick7749,Mav,11-20R,Win by 11-20 runs OR 6-7 wickets,0
max._.caulfield,Max,21-30R,Win by 21-30 runs OR 4-5 wickets,0
oracle_priest,oracle_priest,11-20R,Win by 11-20 runs OR 6-7 wickets,0
reflekt_11,Reflekt,31-40R,Win by 31-40 runs OR 2-3 wickets,0
rishavmaiti,rishavmaiti,11-20R,Win by 11-20 runs OR 6-7 wickets,0
roarycat,RoaryCat,21-30R,Win by 21-30 runs OR 4-5 wickets,0
roguehunter15,RogueHunter,21-30R,Win by 21-30 runs OR 4-5 wickets,0
slidemaster0547,Jason Duval,21-30R,Win by 21-30 runs OR 4-5 wickets,0
sriprakash,Sri Prakash,11-20R,Win by 11-20 runs OR 6-7 wickets,0
static_25,Static,21-30R,Win by 21-30 runs OR 4-5 wickets,0
thefarzi,Farzi,21-30R,Win by 21-30 runs OR 4-5 wickets,0
thewebshooter,TheWebShooter,31-40R,Win by 31-40 runs OR 2-3 wickets,0
tushar07019,,11-20R,Win by 11-20 runs OR 6-7 wickets,0
vahgar,Allen The Alien,31-40R,Win by 31-40 runs OR 2-3 wickets,0
vinnu7980,Vinnu,11-20R,Win by 11-20 runs OR 6-7 wickets,0
