Username,Display Name,Margin Voted Short,Margin Voted,Points
apurv5411,APURV,7-8W,Win by 1-10 runs OR by 7-8 wickets,0
astrobot_7,PS_USER,5-6W,Win by 61+ runs OR by 5-6 wickets,0
billuda,BILLUDA,1-2W,Win by 21-40 runs OR by 1-2 wickets,0
crazybats_v,Casper,9-10W,Win by 11-20 runs OR by 9-10 wickets,0
csharp21,CSharp,9-10W,Win by 11-20 runs OR by 9-10 wickets,0
dag_21,daggr,9-10W,Win by 11-20 runs OR by 9-10 wickets,0
emptycases,J,3-4W,Win by 41-60 runs OR by 3-4 wickets,3.0
fezvaz,Vaz,1-2W,Win by 21-40 runs OR by 1-2 wickets,0
gamerpradosh,Gamer Pradosh,7-8W,Win by 1-10 runs OR by 7-8 wickets,0
gane_sh,Gane_sh,7-8W,Win by 1-10 runs OR by 7-8 wickets,0
gladiator30,Gladiator,7-8W,Win by 1-10 runs OR by 7-8 wickets,0
gooffyluffyy,Luffy,3-4W,Win by 41-60 runs OR by 3-4 wickets,3.0
insane_dwane,Insane_Dwane,SO,Win by Super Over (Bonus 2 points),0
jadelessbarukan,jadeless,7-8W,Win by 1-10 runs OR by 7-8 wickets,0
khanatfarm,KHANatFARM,9-10W,Win by 11-20 runs OR by 9-10 wickets,0
light_itachi_op,Lassi Sassy,3-4W,Win by 41-60 runs OR by 3-4 wickets,3.0
maverick7749,Mav,3-4W,Win by 41-60 runs OR by 3-4 wickets,3.0
max._.caulfield,Max,9-10W,Win by 11-20 runs OR by 9-10 wickets,0
roarycat,RoaryCat,7-8W,Win by 1-10 runs OR by 7-8 wickets,0
roguehunter15,RogueHunter,3-4W,Win by 41-60 runs OR by 3-4 wickets,3.0
slidemaster0547,Jason Duval,3-4W,Win by 41-60 runs OR by 3-4 wickets,3.0
static_25,Static,3-4W,Win by 41-60 runs OR by 3-4 wickets,3.0
thefarzi,Farzi,5-6W,Win by 61+ runs OR by 5-6 wickets,0
thewebshooter,TheWebShooter,3-4W,Win by 41-60 runs OR by 3-4 wickets,3.0
tushar07019,,7-8W,Win by 1-10 runs OR by 7-8 wickets,0
vahgar,Allen The Alien,1-2W,Win by 21-40 runs OR by 1-2 wickets,0
weezyf.baby_,WEEZY F. Baby,7-8W,Win by 1-10 runs OR by 7-8 wickets,0
