Username,Display Name,Margin Voted Short,Margin Voted,Points
apurv5411,APURV,4-5W,Win by 21-30 runs OR 4-5 wickets,0
astrobot_7,PS_USER,4-5W,Win by 21-30 runs OR 4-5 wickets,0
billuda,BILLUDA,4-5W,Win by 21-30 runs OR 4-5 wickets,0
cdgamers14,cdgamers😎,2-3W,Win by 31-40 runs OR 2-3 wickets,3.0
crazybats_v,Casper,6-7W,Win by 11-20 runs OR 6-7 wickets,0
csharp21,CSharp,6-7W,Win by 11-20 runs OR 6-7 wickets,0
dhanda_,Hank Schrader,6-7W,Win by 11-20 runs OR 6-7 wickets,0
elprofesor6338,Èl Profesor™,4-5W,Win by 21-30 runs OR 4-5 wickets,0
emptycases,J,2-3W,Win by 31-40 runs OR 2-3 wickets,3.0
fezvaz,Vaz,4-5W,Win by 21-30 runs OR 4-5 wickets,0
gane_sh,Gane_sh,2-3W,Win by 31-40 runs OR 2-3 wickets,3.0
gladiator30,Gladiator,8-10W,Win by 1-10 runs OR 8-10 wickets,0
gooffyluffyy,Luffy,8-10W,Win by 1-10 runs OR 8-10 wickets,0
hungry_wolf,HungrY WolF,6-7W,Win by 11-20 runs OR 6-7 wickets,0
indianduder,boring-life,4-5W,Win by 21-30 runs OR 4-5 wickets,0
insane_dwane,Insane_Dwane,SO,Win by Super Over (Bonus 2 points),0
jadelessbarukan,jadeless,4-5W,Win by 21-30 runs OR 4-5 wickets,0
khanatfarm,KHANatFARM,6-7W,Win by 11-20 runs OR 6-7 wickets,0
light_itachi_op,Lassi Sassy,6-7W,Win by 11-20 runs OR 6-7 wickets,0
maverick7749,Mav,6-7W,Win by 11-20 runs OR 6-7 wickets,0
max._.caulfield,Max,2-3W,Win by 31-40 runs OR 2-3 wickets,3.0
reflekt_11,Reflekt,8-10W,Win by 1-10 runs OR 8-10 wickets,0
roarycat,RoaryCat,6-7W,Win by 11-20 runs OR 6-7 wickets,0
roguehunter15,RogueHunter,4-5W,Win by 21-30 runs OR 4-5 wickets,0
slidemaster0547,Jason Duval,4-5W,Win by 21-30 runs OR 4-5 wickets,0
static_25,Static,4-5W,Win by 21-30 runs OR 4-5 wickets,0
thefarzi,Farzi,4-5W,Win by 21-30 runs OR 4-5 wickets,0
thewebshooter,TheWebShooter,2-3W,Win by 31-40 runs OR 2-3 wickets,3.0
tushar07019,,6-7W,Win by 11-20 runs OR 6-7 wickets,0
vahgar,Allen The Alien,6-7W,Win by 11-20 runs OR 6-7 wickets,0
