Username,Display Name,Margin Voted Short,Margin Voted,Points
_simplet0n,ZePHyR,21-40R,Win by 21-40 runs OR by 1-2 wickets,0
apurv5411,APURV,1-10R,Win by 1-10 runs OR by 7-8 wickets,0
astrobot_7,PS_USER,61+R,Win by 61+ runs OR by 5-6 wickets,0
billuda,BILLUDA,1-10R,Win by 1-10 runs OR by 7-8 wickets,0
cdgamers14,cdgamers😎,41-60R,Win by 41-60 runs OR by 3-4 wickets,0
crazybats_v,Casper,61+R,Win by 61+ runs OR by 5-6 wickets,0
csharp21,CSharp,11-20R,Win by 11-20 runs OR by 9-10 wickets,0
darkwolf_newbie,Darkwolf,21-40R,Win by 21-40 runs OR by 1-2 wickets,0
emptycases,J,41-60R,Win by 41-60 runs OR by 3-4 wickets,0
fezvaz,Vaz,21-40R,Win by 21-40 runs OR by 1-2 wickets,0
gladiator30,Gladiator,1-10R,Win by 1-10 runs OR by 7-8 wickets,0
gooffyluffyy,Luffy,11-20R,Win by 11-20 runs OR by 9-10 wickets,0
hungry_wolf,HungrY WolF,21-40R,Win by 21-40 runs OR by 1-2 wickets,0
insane_dwane,Insane_Dwane,11-20R,Win by 11-20 runs OR by 9-10 wickets,0
jadelessbarukan,jadeless,11-20R,Win by 11-20 runs OR by 9-10 wickets,0
jerry0_o,Jerry0_0,21-40R,Win by 21-40 runs OR by 1-2 wickets,0
khanatfarm,KHANatFARM,21-40R,Win by 21-40 runs OR by 1-2 wickets,0
maverick7749,Mav,41-60R,Win by 41-60 runs OR by 3-4 wickets,0
max._.caulfield,Max,11-20R,Win by 11-20 runs OR by 9-10 wickets,0
milkanananaannanan,Milk,21-40R,Win by 21-40 runs OR by 1-2 wickets,0
pkmkb6011,Sunny Paaji,11-20R,Win by 11-20 runs OR by 9-10 wickets,0
reflekt_11,Reflekt,21-40R,Win by 21-40 runs OR by 1-2 wickets,0
roarycat,RoaryCat,SO,Win by Super Over (Bonus 2 points),0
roguehunter15,RogueHunter,41-60R,Win by 41-60 runs OR by 3-4 wickets,0
slidemaster0547,Jason Duval,1-10R,Win by 1-10 runs OR by 7-8 wickets,0
static_25,Static,41-60R,Win by 41-60 runs OR by 3-4 wickets,0
thefarzi,Farzi,41-60R,Win by 41-60 runs OR by 3-4 wickets,0
thewebshooter,TheWebShooter,41-60R,Win by 41-60 runs OR by 3-4 wickets,0
tushar07019,,1-10R,Win by 1-10 runs OR by 7-8 wickets,0
vahgar,Beluga,21-40R,Win by 21-40 runs OR by 1-2 wickets,0
