Username,Display Name,Margin Voted Short,Margin Voted,Points
aaryangupta23,Aaryan,7-8W,Win by 1-10 runs OR by 7-8 wickets,0
apurv5411,APURV,5-6W,Win by 61+ runs OR by 5-6 wickets,0
astrobot_7,PS_USER,3-4W,Win by 41-60 runs OR by 3-4 wickets,0
billuda,BILLUDA,7-8W,Win by 1-10 runs OR by 7-8 wickets,0
crazybats_v,Casper,5-6W,Win by 61+ runs OR by 5-6 wickets,0
emptycases,J,3-4W,Win by 41-60 runs OR by 3-4 wickets,0
fezvaz,Vaz,1-2W,Win by 21-40 runs OR by 1-2 wickets,0
gladiator30,Gladiator,1-2W,Win by 21-40 runs OR by 1-2 wickets,0
gooffyluffyy,Luffy,7-8W,Win by 1-10 runs OR by 7-8 wickets,0
hungry_wolf,HungrY WolF,1-2W,Win by 21-40 runs OR by 1-2 wickets,0
insane_dwane,Insane_Dwane,1-2W,Win by 21-40 runs OR by 1-2 wickets,0
jadelessbarukan,jadeless,7-8W,Win by 1-10 runs OR by 7-8 wickets,0
khanatfarm,KHANatFARM,1-2W,Win by 21-40 runs OR by 1-2 wickets,0
light_itachi_op,Lassi Sassy,3-4W,Win by 41-60 runs OR by 3-4 wickets,0
maverick7749,Mav,1-2W,Win by 21-40 runs OR by 1-2 wickets,0
max._.caulfield,Max,5-6W,Win by 61+ runs OR by 5-6 wickets,0
oracle_priest,oracle_priest,9-10W,Win by 11-20 runs OR by 9-10 wickets,3.0
pkmkb6011,Sunny Paaji,9-10W,Win by 11-20 runs OR by 9-10 wickets,3.0
reflekt_11,Reflekt,5-6W,Win by 61+ runs OR by 5-6 wickets,0
roarycat,RoaryCat,SO,Win by Super Over (Bonus 2 points),0
roguehunter15,RogueHunter,3-4W,Win by 41-60 runs OR by 3-4 wickets,0
slidemaster0547,Jason Duval,1-2W,Win by 21-40 runs OR by 1-2 wickets,0
static_25,Static,1-2W,Win by 21-40 runs OR by 1-2 wickets,0
thefarzi,Farzi,3-4W,Win by 41-60 runs OR by 3-4 wickets,0
thewebshooter,TheWebShooter,3-4W,Win by 41-60 runs OR by 3-4 wickets,0
tushar07019,,7-8W,Win by 1-10 runs OR by 7-8 wickets,0
vahgar,Beluga,1-2W,Win by 21-40 runs OR by 1-2 wickets,0
