Username,Display Name,Team Voted Short,Team Voted,Points
apurv5411,APURV,DC,Delhi Capitals,0
ashmrth,Ashmrth,DC,Delhi Capitals,0
astrobot_7,PS_USER,DC,Delhi Capitals,0
billuda,BILLUDA,SRH,Sunrisers Hyderabad,0
crazybats_v,Casper,SRH,Sunrisers Hyderabad,0
csharp21,CSharp,DC,Delhi Capitals,0
emptycases,J,DC,Delhi Capitals,0
fezvaz,Vaz,DC,Delhi Capitals,0
gladiator30,Gladiator,SRH,Sunrisers Hyderabad,0
gooffyluffyy,Luffy,SRH,Sunrisers Hyderabad,0
hungry_wolf,HungrY WolF,DC,Delhi Capitals,0
insane_dwane,Insane_Dwane,SRH,Sunrisers Hyderabad,0
jadelessbarukan,jadeless,DC,Delhi Capitals,0
khanatfarm,KHANatFARM,DC,Delhi Capitals,0
light_itachi_op,Lassi Sassy,DC,Delhi Capitals,0
maverick7749,Mav,DC,Delhi Capitals,0
max._.caulfield,Max,SRH,Sunrisers Hyderabad,0
oracle_priest,oracle_priest,DC,Delhi Capitals,0
reflekt_11,Reflekt,DC,Delhi Capitals,0
rishavmaiti,rishavmaiti,DC,Delhi Capitals,0
roarycat,RoaryCat,SRH,Sunrisers Hyderabad,0
roguehunter15,RogueHunter,DC,Delhi Capitals,0
slidemaster0547,Jason Duval,DC,Delhi Capitals,0
sriprakash,Sri Prakash,DC,Delhi Capitals,0
static_25,Static,SRH,Sunrisers Hyderabad,0
thefarzi,Farzi,DC,Delhi Capitals,0
thewebshooter,TheWebShooter,DC,Delhi Capitals,0
tushar07019,,DC,Delhi Capitals,0
vahgar,Allen The Alien,DC,Delhi Capitals,0
vinnu7980,Vinnu,DC,Delhi Capitals,0
