Username,Display Name,Team Voted Short,Team Voted,Points
apurv5411,APURV,GT,Gujarat Titans,1.0
astrobot_7,PS_USER,MI,Mumbai Indians,0
billuda,BILLUDA,GT,Gujarat Titans,1.0
crazybats_v,Casper,MI,Mumbai Indians,0
csharp21,CSharp,GT,Gujarat Titans,1.0
dag_21,daggr,MI,Mumbai Indians,0
emptycases,J,GT,Gujarat Titans,1.0
fezvaz,Vaz,MI,Mumbai Indians,0
gamerpradosh,Gamer Pradosh,MI,Mumbai Indians,0
gane_sh,Gane_sh,GT,Gujarat Titans,1.0
gladiator30,Gladiator,MI,Mumbai Indians,0
gooffyluffyy,Luffy,MI,Mumbai Indians,0
insane_dwane,Insane_Dwane,GT,Gujarat Titans,1.0
jadelessbarukan,jadeless,MI,Mumbai Indians,0
khanatfarm,KHANatFARM,MI,Mumbai Indians,0
light_itachi_op,Lassi Sassy,MI,Mumbai Indians,0
maverick7749,Mav,MI,Mumbai Indians,0
max._.caulfield,Max,GT,Gujarat Titans,1.0
reflekt_11,Reflekt,MI,Mumbai Indians,0
roarycat,RoaryCat,GT,Gujarat Titans,1.0
roguehunter15,RogueHunter,MI,Mumbai Indians,0
slidemaster0547,Jason Duval,MI,Mumbai Indians,0
sriprakash,Sri Prakash,MI,Mumbai Indians,0
static_25,Static,MI,Mumbai Indians,0
thefarzi,Farzi,MI,Mumbai Indians,0
thewebshooter,TheWebShooter,MI,Mumbai Indians,0
tushar07019,,MI,Mumbai Indians,0
vahgar,Allen The Alien,GT,Gujarat Titans,1.0
weezyf.baby_,WEEZY F. Baby,MI,Mumbai Indians,0
