Username,Display Name,Team Voted Short,Team Voted,Points
apurv5411,APURV,KKR,Kolkata Knight Riders,0
astrobot_7,PS_USER,CSK,Chennai Super Kings,1.0
billuda,BILLUDA,CSK,Chennai Super Kings,1.0
cdgamers14,cdgamers😎,KKR,Kolkata Knight Riders,0
crazybats_v,Casper,CSK,Chennai Super Kings,1.0
csharp21,CSharp,CSK,Chennai Super Kings,1.0
dhanda_,Hank Schrader,KKR,Kolkata Knight Riders,0
elprofesor6338,Èl Profesor™,CSK,Chennai Super Kings,1.0
emptycases,J,KKR,Kolkata Knight Riders,0
fezvaz,Vaz,KKR,Kolkata Knight Riders,0
gane_sh,Gane_sh,CSK,Chennai Super Kings,1.0
gladiator30,Gladiator,CSK,Chennai Super Kings,1.0
gooffyluffyy,Luffy,CSK,Chennai Super Kings,1.0
hungry_wolf,HungrY WolF,KKR,Kolkata Knight Riders,0
indianduder,boring-life,KKR,Kolkata Knight Riders,0
insane_dwane,Insane_Dwane,KKR,Kolkata Knight Riders,0
jadelessbarukan,jadeless,CSK,Chennai Super Kings,1.0
khanatfarm,KHANatFARM,KKR,Kolkata Knight Riders,0
light_itachi_op,Lassi Sassy,KKR,Kolkata Knight Riders,0
maverick7749,Mav,KKR,Kolkata Knight Riders,0
max._.caulfield,Max,KKR,Kolkata Knight Riders,0
reflekt_11,Reflekt,CSK,Chennai Super Kings,1.0
roarycat,RoaryCat,CSK,Chennai Super Kings,1.0
roguehunter15,RogueHunter,KKR,Kolkata Knight Riders,0
shieldofachielles,shield of Achielles,CSK,Chennai Super Kings,1.0
slidemaster0547,Jason Duval,KKR,Kolkata Knight Riders,0
static_25,Static,CSK,Chennai Super Kings,1.0
thefarzi,Farzi,KKR,Kolkata Knight Riders,0
thewebshooter,TheWebShooter,KKR,Kolkata Knight Riders,0
tushar07019,,KKR,Kolkata Knight Riders,0
vahgar,Allen The Alien,CSK,Chennai Super Kings,1.0
