Username,Display Name,Team Voted Short,Team Voted,Points
apurv5411,APURV,PBKS,Punjab Kings,2.0
astrobot_7,PS_USER,PBKS,Punjab Kings,2.0
billuda,BILLUDA,RR,Rajasthan Royals,0
crazybats_v,Casper,PBKS,Punjab Kings,2.0
csharp21,CSharp,PBKS,Punjab Kings,2.0
dag_21,daggr,RR,Rajasthan Royals,0
emptycases,J,PBKS,Punjab Kings,2.0
fezvaz,Vaz,PBKS,Punjab Kings,2.0
gladiator30,Gladiator,PBKS,Punjab Kings,2.0
gooffyluffyy,Luffy,RR,Rajasthan Royals,0
hungry_wolf,HungrY WolF,PBKS,Punjab Kings,2.0
insane_dwane,Insane_Dwane,PBKS,Punjab Kings,2.0
jadelessbarukan,jadeless,PBKS,Punjab Kings,2.0
khanatfarm,KHANatFARM,PBKS,Punjab Kings,2.0
maverick7749,Mav,PBKS,Punjab Kings,2.0
max._.caulfield,Max,PBKS,Punjab Kings,2.0
reflekt_11,Reflekt,PBKS,Punjab Kings,2.0
roarycat,RoaryCat,RR,Rajasthan Royals,0
roguehunter15,RogueHunter,PBKS,Punjab Kings,2.0
slidemaster0547,Jason Duval,PBKS,Punjab Kings,2.0
static_25,Static,PBKS,Punjab Kings,2.0
thefarzi,Farzi,PBKS,Punjab Kings,2.0
thewebshooter,TheWebShooter,PBKS,Punjab Kings,2.0
tushar07019,,PBKS,Punjab Kings,2.0
vahgar,Beluga,PBKS,Punjab Kings,2.0
