Username,Display Name,Team Voted Short,Team Voted,Points
aaryangupta23,Aaryan,GT,Gujarat Titans,2.0
apurv5411,APURV,DC,Delhi Capitals,0
astrobot_7,PS_USER,DC,Delhi Capitals,0
billuda,BILLUDA,DC,Delhi Capitals,0
crazybats_v,Casper,GT,Gujarat Titans,2.0
dag_21,daggr,DC,Delhi Capitals,0
emptycases,J,DC,Delhi Capitals,0
fezvaz,Vaz,GT,Gujarat Titans,2.0
gladiator30,Gladiator,GT,Gujarat Titans,2.0
gooffyluffyy,Luffy,GT,Gujarat Titans,2.0
hungry_wolf,HungrY WolF,GT,Gujarat Titans,2.0
insane_dwane,Insane_Dwane,GT,Gujarat Titans,2.0
jadelessbarukan,jadeless,DC,Delhi Capitals,0
khanatfarm,KHANatFARM,DC,Delhi Capitals,0
light_itachi_op,Lassi Sassy,GT,Gujarat Titans,2.0
maverick7749,Mav,DC,Delhi Capitals,0
max._.caulfield,Max,GT,Gujarat Titans,2.0
oracle_priest,oracle_priest,DC,Delhi Capitals,0
pkmkb6011,Sunny Paaji,GT,Gujarat Titans,2.0
reflekt_11,Reflekt,GT,Gujarat Titans,2.0
roarycat,RoaryCat,DC,Delhi Capitals,0
roguehunter15,RogueHunter,GT,Gujarat Titans,2.0
slidemaster0547,Jason Duval,GT,Gujarat Titans,2.0
static_25,Static,GT,Gujarat Titans,2.0
thefarzi,Farzi,GT,Gujarat Titans,2.0
thewebshooter,TheWebShooter,GT,Gujarat Titans,2.0
tushar07019,,GT,Gujarat Titans,2.0
vahgar,Beluga,DC,Delhi Capitals,0
