Username,Display Name,Team Voted Short,Team Voted,Points
1nv1nc1b1e18,Him.,RCB,Royal Challengers Bengaluru,1.0
ashmrth,Ashmrth,RCB,Royal Challengers Bengaluru,1.0
asterayah,Zarathon,RCB,Royal Challengers Bengaluru,1.0
astrobot_7,PS_USER,CSK,Chennai Super Kings,0
billuda,𒆜 𝐁𝐈𝐋𝐋𝐔 𝐃𝐀 𒆜,CSK,Chennai Super Kings,0
crazybats_v,Casper,RCB,Royal Challengers Bengaluru,1.0
croco_boya,Croco,CSK,Chennai Super Kings,0
emptycases,J,CSK,Chennai Super Kings,0
fezvaz,Vaz,RCB,Royal Challengers Bengaluru,1.0
gladiator30,Gladiator,RCB,Royal Challengers Bengaluru,1.0
gooffyluffyy,Luffy,CSK,Chennai Super Kings,0
hungry_wolf,HungrY_WolF,CSK,Chennai Super Kings,0
ind_mafia_sahil,IND_Mafia_Sahil,RCB,Royal Challengers Bengaluru,1.0
insane_dwane,Insane_Dwane,RCB,Royal Challengers Bengaluru,1.0
jadelessbarukan,jadeless,CSK,Chennai Super Kings,0
jayzus01,Jayan,CSK,Chennai Super Kings,0
khanatfarm,KHANatFARM,CSK,Chennai Super Kings,0
light083969,Light,RCB,Royal Challengers Bengaluru,1.0
light_itachi_op,Monkey Uzumaki,RCB,Royal Challengers Bengaluru,1.0
maverick7749,Mav,RCB,Royal Challengers Bengaluru,1.0
max._.caulfield,Max,CSK,Chennai Super Kings,0
nftprofessor,NFTProfessor,CSK,Chennai Super Kings,0
nullpixel96,Nullpixel96,RCB,Royal Challengers Bengaluru,1.0
pkmkb6011,Sunny Paaji,RCB,Royal Challengers Bengaluru,1.0
reflekt_11,Reflekt,CSK,Chennai Super Kings,0
riq9634,Riq,CSK,Chennai Super Kings,0
rishavmaiti,rishavmaiti,RCB,Royal Challengers Bengaluru,1.0
roguehunter15,RogueHunter,CSK,Chennai Super Kings,0
shieldofachielles,shield of Achielles,CSK,Chennai Super Kings,0
slidemaster0547,Slide Master,RCB,Royal Challengers Bengaluru,1.0
sriprakash,Sri Prakash,CSK,Chennai Super Kings,0
static_25,Static,CSK,Chennai Super Kings,0
the_mizer,DrVimp,CSK,Chennai Super Kings,0
thefarzi,Farzi,RCB,Royal Challengers Bengaluru,1.0
thewebshooter,TheWebShooter,CSK,Chennai Super Kings,0
tushar07019,,RCB,Royal Challengers Bengaluru,1.0
vader8726,vader,RCB,Royal Challengers Bengaluru,1.0
vahgar,Allen The Alien,CSK,Chennai Super Kings,0
