Username,Display Name,Team Voted Short,Team Voted,Points
billuda,𒆜 𝐁𝐈𝐋𝐋𝐔 𝐃𝐀 𒆜,DC,Delhi Capitals,2.0
crazybats_v,Casper,SRH,Sunrisers Hyderabad,0
croco_boya,Croco,SRH,Sunrisers Hyderabad,0
dag_21,daggr,SRH,Sunrisers Hyderabad,0
darkwolf_newbie,Darkwolf,SRH,Sunrisers Hyderabad,0
elprofesor6338,Èl Profesor™,SRH,Sunrisers Hyderabad,0
fawaz4413,,SRH,Sunrisers Hyderabad,0
fezvaz,Vaz,SRH,Sunrisers Hyderabad,0
gladiator30,Gladiator,SRH,Sunrisers Hyderabad,0
gooffyluffyy,Luffy,SRH,Sunrisers Hyderabad,0
hungry_wolf,HungrY_WolF,SRH,Sunrisers Hyderabad,0
ind_mafia_sahil,IND_Mafia_Sahil,DC,Delhi Capitals,2.0
insane_dwane,Insane_Dwane,SRH,Sunrisers Hyderabad,0
jadelessbarukan,jadeless,DC,Delhi Capitals,2.0
khanatfarm,KHANatFARM,SRH,Sunrisers Hyderabad,0
light_itachi_op,Monkey Uzumaki,DC,Delhi Capitals,2.0
maverick7749,Mav,DC,Delhi Capitals,2.0
max._.caulfield,Max,DC,Delhi Capitals,2.0
reflekt_11,Reflekt,SRH,Sunrisers Hyderabad,0
rishavmaiti,rishavmaiti,SRH,Sunrisers Hyderabad,0
roarycat,RoaryCat,SRH,Sunrisers Hyderabad,0
roguehunter15,RogueHunter,SRH,Sunrisers Hyderabad,0
slidemaster0547,Slide Master,SRH,Sunrisers Hyderabad,0
sriprakash,Sri Prakash,SRH,Sunrisers Hyderabad,0
static_25,Static,DC,Delhi Capitals,2.0
the_mizer,DrVimp,SRH,Sunrisers Hyderabad,0
thefarzi,Farzi,SRH,Sunrisers Hyderabad,0
thewebshooter,TheWebShooter,SRH,Sunrisers Hyderabad,0
tushar07019,,SRH,Sunrisers Hyderabad,0
vahgar,Allen The Alien,SRH,Sunrisers Hyderabad,0
