Username,Display Name,Team Voted Short,Team Voted,Points
astrobot_7,PS_USER,DC,Delhi Capitals,2.0
billuda,𒆜 𝐁𝐈𝐋𝐋𝐔 𝐃𝐀 𒆜,CSK,Chennai Super Kings,0
crazybats_v,Casper,DC,Delhi Capitals,2.0
croco_boya,Croco,CSK,Chennai Super Kings,0
csharp21,CSharp,DC,Delhi Capitals,2.0
dag_21,daggr,DC,Delhi Capitals,2.0
darkwolf_newbie,Darkwolf,DC,Delhi Capitals,2.0
elprofesor6338,Èl Profesor™,CSK,Chennai Super Kings,0
emptycases,J,CSK,Chennai Super Kings,0
fawaz4413,,CSK,Chennai Super Kings,0
fezvaz,Vaz,DC,Delhi Capitals,2.0
gane_sh,Gane_sh,CSK,Chennai Super Kings,0
gladiator30,Gladiator,CSK,Chennai Super Kings,0
gooffyluffyy,Luffy,CSK,Chennai Super Kings,0
hungry_wolf,HungrY_WolF,DC,Delhi Capitals,2.0
ind_mafia_sahil,IND_Mafia_Sahil,DC,Delhi Capitals,2.0
jadelessbarukan,jadeless,DC,Delhi Capitals,2.0
khanatfarm,KHANatFARM,DC,Delhi Capitals,2.0
light_itachi_op,Monkey Uzumaki,DC,Delhi Capitals,2.0
maverick7749,Mav,CSK,Chennai Super Kings,0
max._.caulfield,Max,CSK,Chennai Super Kings,0
pkmkb6011,Sunny Paaji,CSK,Chennai Super Kings,0
reflekt_11,Reflekt,CSK,Chennai Super Kings,0
roarycat,RoaryCat,DC,Delhi Capitals,2.0
roguehunter15,RogueHunter,DC,Delhi Capitals,2.0
slidemaster0547,Slide Master,DC,Delhi Capitals,2.0
sriprakash,Sri Prakash,DC,Delhi Capitals,2.0
static_25,Static,CSK,Chennai Super Kings,0
the_mizer,DrVimp,CSK,Chennai Super Kings,0
thefarzi,Farzi,DC,Delhi Capitals,2.0
thewebshooter,TheWebShooter,DC,Delhi Capitals,2.0
tushar07019,,DC,Delhi Capitals,2.0
vahgar,Allen The Alien,DC,Delhi Capitals,2.0
