Username,Display Name,Team Voted Short,Team Voted,Points
1nv1nc1b1e18,Him.,RCB,Royal Challengers Bengaluru,1.0
_simplet0n,ZePHyR,RCB,Royal Challengers Bengaluru,1.0
apurv5411,APURV,RCB,Royal Challengers Bengaluru,1.0
astrobot_7,PS_USER,MI,Mumbai Indians,0
billuda,𒆜 𝐁𝐈𝐋𝐋𝐔 𝐃𝐀 𒆜,MI,Mumbai Indians,0
crazybats_v,Casper,MI,Mumbai Indians,0
croco_boya,Croco,MI,Mumbai Indians,0
csharp21,CSharp,MI,Mumbai Indians,0
darkwolf_newbie,Darkwolf,RCB,Royal Challengers Bengaluru,1.0
elprofesor6338,Èl Profesor™,RCB,Royal Challengers Bengaluru,1.0
emptycases,J,RCB,Royal Challengers Bengaluru,1.0
fezvaz,Vaz,RCB,Royal Challengers Bengaluru,1.0
gladiator30,Gladiator,MI,Mumbai Indians,0
gooffyluffyy,Luffy,MI,Mumbai Indians,0
harish_datta_,Harish_datta_,MI,Mumbai Indians,0
hungry_wolf,HungrY_WolF,MI,Mumbai Indians,0
ind_mafia_sahil,IND_Mafia_Sahil,RCB,Royal Challengers Bengaluru,1.0
insane_dwane,Insane_Dwane,RCB,Royal Challengers Bengaluru,1.0
jadelessbarukan,jadeless,MI,Mumbai Indians,0
khanatfarm,KHANatFARM,MI,Mumbai Indians,0
light_itachi_op,Monkey Uzumaki,MI,Mumbai Indians,0
maverick7749,Mav,MI,Mumbai Indians,0
max._.caulfield,Max,RCB,Royal Challengers Bengaluru,1.0
pkmkb6011,Sunny Paaji,RCB,Royal Challengers Bengaluru,1.0
reflekt_11,Reflekt,MI,Mumbai Indians,0
roarycat,RoaryCat,MI,Mumbai Indians,0
roguehunter15,RogueHunter,MI,Mumbai Indians,0
slidemaster0547,Slide Master,RCB,Royal Challengers Bengaluru,1.0
sriprakash,Sri Prakash,MI,Mumbai Indians,0
static_25,Static,RCB,Royal Challengers Bengaluru,1.0
the_mizer,DrVimp,RCB,Royal Challengers Bengaluru,1.0
thefarzi,Farzi,RCB,Royal Challengers Bengaluru,1.0
thewebshooter,TheWebShooter,MI,Mumbai Indians,0
tushar07019,,RCB,Royal Challengers Bengaluru,1.0
vahgar,Allen The Alien,RCB,Royal Challengers Bengaluru,1.0
