Username,Display Name,Team Voted Short,Team Voted,Points
apurv5411,APURV,KKR,Kolkata Knight Riders,0
astrobot_7,PS_USER,LSG,Lucknow Super Giants,1.5
billuda,𒆜 𝐁𝐈𝐋𝐋𝐔 𝐃𝐀 𒆜,LSG,Lucknow Super Giants,1.5
cdgamers14,cdgamers😎,KKR,Kolkata Knight Riders,0
crazybats_v,Casper,KKR,Kolkata Knight Riders,0
croco_boya,Croco,KKR,Kolkata Knight Riders,0
dag_21,daggr,KKR,Kolkata Knight Riders,0
darkwolf_newbie,Darkwolf,KKR,Kolkata Knight Riders,0
emptycases,J,KKR,Kolkata Knight Riders,0
fawaz4413,,KKR,Kolkata Knight Riders,0
fezvaz,Vaz,KKR,Kolkata Knight Riders,0
gladiator30,Gladiator,LSG,Lucknow Super Giants,1.5
gooffyluffyy,Luffy,KKR,Kolkata Knight Riders,0
hungry_wolf,HungrY_WolF,KKR,Kolkata Knight Riders,0
iamzeus,iAmZeus,KKR,Kolkata Knight Riders,0
ind_mafia_sahil,IND_Mafia_Sahil,LSG,Lucknow Super Giants,1.5
insane_dwane,Insane_Dwane,KKR,Kolkata Knight Riders,0
jadelessbarukan,jadeless,LSG,Lucknow Super Giants,1.5
khanatfarm,KHANatFARM,KKR,Kolkata Knight Riders,0
light_itachi_op,Monkey Uzumaki,KKR,Kolkata Knight Riders,0
maverick7749,Mav,KKR,Kolkata Knight Riders,0
pkmkb6011,Sunny Paaji,KKR,Kolkata Knight Riders,0
reflekt_11,Reflekt,KKR,Kolkata Knight Riders,0
roguehunter15,RogueHunter,KKR,Kolkata Knight Riders,0
slidemaster0547,Slide Master,LSG,Lucknow Super Giants,1.5
sriprakash,Sri Prakash,KKR,Kolkata Knight Riders,0
static_25,Static,KKR,Kolkata Knight Riders,0
the_mizer,DrVimp,KKR,Kolkata Knight Riders,0
thefarzi,Farzi,KKR,Kolkata Knight Riders,0
thewebshooter,TheWebShooter,LSG,Lucknow Super Giants,1.5
tushar07019,,KKR,Kolkata Knight Riders,0
vahgar,Allen The Alien,KKR,Kolkata Knight Riders,0
