Username,Display Name,Team Voted Short,Team Voted,Points
apurv5411,APURV,GT,Gujarat Titans,1.0
astrobot_7,PS_USER,RR,Rajasthan Royals,0
billuda,𒆜 𝐁𝐈𝐋𝐋𝐔 𝐃𝐀 𒆜,GT,Gujarat Titans,1.0
crazybats_v,Casper,RR,Rajasthan Royals,0
dag_21,daggr,GT,Gujarat Titans,1.0
darkwolf_newbie,Darkwolf,GT,Gujarat Titans,1.0
elprofesor6338,Èl Profesor™,GT,Gujarat Titans,1.0
emptycases,J,GT,Gujarat Titans,1.0
fawaz4413,,GT,Gujarat Titans,1.0
fezvaz,Vaz,GT,Gujarat Titans,1.0
gladiator30,Gladiator,GT,Gujarat Titans,1.0
gooffyluffyy,Luffy,RR,Rajasthan Royals,0
hungry_wolf,HungrY_WolF,GT,Gujarat Titans,1.0
iamthathit,IamthatHit,GT,Gujarat Titans,1.0
ind_mafia_sahil,IND_Mafia_Sahil,GT,Gujarat Titans,1.0
insane_dwane,Insane_Dwane,GT,Gujarat Titans,1.0
jadelessbarukan,jadeless,RR,Rajasthan Royals,0
jubilant_chipmunk_76062,,GT,Gujarat Titans,1.0
khanatfarm,KHANatFARM,GT,Gujarat Titans,1.0
light_itachi_op,Monkey Uzumaki,GT,Gujarat Titans,1.0
maverick7749,Mav,RR,Rajasthan Royals,0
max._.caulfield,Max,GT,Gujarat Titans,1.0
reflekt_11,Reflekt,RR,Rajasthan Royals,0
roarycat,RoaryCat,RR,Rajasthan Royals,0
roguehunter15,RogueHunter,GT,Gujarat Titans,1.0
slidemaster0547,Slide Master,RR,Rajasthan Royals,0
sriprakash,Sri Prakash,GT,Gujarat Titans,1.0
static_25,Static,GT,Gujarat Titans,1.0
the_mizer,DrVimp,RR,Rajasthan Royals,0
thefarzi,Farzi,GT,Gujarat Titans,1.0
thewebshooter,TheWebShooter,GT,Gujarat Titans,1.0
tushar07019,,GT,Gujarat Titans,1.0
vahgar,Allen The Alien,RR,Rajasthan Royals,0
