Username,Display Name,Team Voted Short,Team Voted,Points
astrobot_7,PS_USER,DC,Delhi Capitals,1.0
billuda,𒆜 𝐁𝐈𝐋𝐋𝐔 𝐃𝐀 𒆜,RCB,Royal Challengers Bengaluru,0
crazybats_v,Casper,RCB,Royal Challengers Bengaluru,0
csharp21,CSharp,DC,Delhi Capitals,1.0
dag_21,daggr,DC,Delhi Capitals,1.0
darkwolf_newbie,Darkwolf,DC,Delhi Capitals,1.0
elprofesor6338,Èl Profesor™,RCB,Royal Challengers Bengaluru,0
emptycases,J,DC,Delhi Capitals,1.0
fawaz4413,,RCB,Royal Challengers Bengaluru,0
fezvaz,Vaz,RCB,Royal Challengers Bengaluru,0
gane_sh,Gane_sh,RCB,Royal Challengers Bengaluru,0
gladiator30,Gladiator,DC,Delhi Capitals,1.0
gooffyluffyy,Luffy,DC,Delhi Capitals,1.0
hungry_wolf,HungrY_WolF,DC,Delhi Capitals,1.0
iamthathit,IamthatHit,DC,Delhi Capitals,1.0
ind_mafia_sahil,IND_Mafia_Sahil,DC,Delhi Capitals,1.0
insane_dwane,Insane_Dwane,RCB,Royal Challengers Bengaluru,0
jadelessbarukan,jadeless,DC,Delhi Capitals,1.0
jerry0_o,Jerry0_0,RCB,Royal Challengers Bengaluru,0
khanatfarm,KHANatFARM,RCB,Royal Challengers Bengaluru,0
light_itachi_op,Monkey Uzumaki,RCB,Royal Challengers Bengaluru,0
maverick7749,Mav,DC,Delhi Capitals,1.0
max._.caulfield,Max,RCB,Royal Challengers Bengaluru,0
pkmkb6011,Sunny Paaji,RCB,Royal Challengers Bengaluru,0
reflekt_11,Reflekt,DC,Delhi Capitals,1.0
rishavmaiti,rishavmaiti,DC,Delhi Capitals,1.0
roarycat,RoaryCat,RCB,Royal Challengers Bengaluru,0
slidemaster0547,Slide Master,RCB,Royal Challengers Bengaluru,0
sriprakash,Sri Prakash,DC,Delhi Capitals,1.0
static_25,Static,RCB,Royal Challengers Bengaluru,0
the_mizer,DrVimp,RCB,Royal Challengers Bengaluru,0
thefarzi,Farzi,RCB,Royal Challengers Bengaluru,0
thewebshooter,TheWebShooter,DC,Delhi Capitals,1.0
tushar07019,,RCB,Royal Challengers Bengaluru,0
vahgar,Allen The Alien,RCB,Royal Challengers Bengaluru,0
