Username,Display Name,Team Voted Short,Team Voted,Points
apurv5411,APURV,GT,Gujarat Titans,0
astrobot_7,PS_USER,LSG,Lucknow Super Giants,1.5
billuda,𒆜 𝐁𝐈𝐋𝐋𝐔 𝐃𝐀 𒆜,LSG,Lucknow Super Giants,1.5
crazybats_v,Casper,GT,Gujarat Titans,0
elprofesor6338,Èl Profesor™,GT,Gujarat Titans,0
emptycases,J,GT,Gujarat Titans,0
fawaz4413,,GT,Gujarat Titans,0
gamerpradosh,Gamer Pradosh,GT,Gujarat Titans,0
gladiator30,Gladiator,LSG,Lucknow Super Giants,1.5
gooffyluffyy,Luffy,LSG,Lucknow Super Giants,1.5
hungry_wolf,HungrY_WolF,GT,Gujarat Titans,0
ind_mafia_sahil,IND_Mafia_Sahil,GT,Gujarat Titans,0
insane_dwane,Insane_Dwane,GT,Gujarat Titans,0
jadelessbarukan,jadeless,LSG,Lucknow Super Giants,1.5
khanatfarm,KHANatFARM,GT,Gujarat Titans,0
light_itachi_op,Monkey Uzumaki,GT,Gujarat Titans,0
maverick7749,Mav,LSG,Lucknow Super Giants,1.5
max._.caulfield,Max,GT,Gujarat Titans,0
reflekt_11,Reflekt,GT,Gujarat Titans,0
rishavmaiti,rishavmaiti,LSG,Lucknow Super Giants,1.5
roarycat,RoaryCat,LSG,Lucknow Super Giants,1.5
roguehunter15,RogueHunter,GT,Gujarat Titans,0
slidemaster0547,Slide Master,GT,Gujarat Titans,0
sriprakash,Sri Prakash,LSG,Lucknow Super Giants,1.5
static_25,Static,GT,Gujarat Titans,0
the_mizer,DrVimp,GT,Gujarat Titans,0
thefarzi,Farzi,GT,Gujarat Titans,0
thewebshooter,TheWebShooter,GT,Gujarat Titans,0
tushar07019,,GT,Gujarat Titans,0
vahgar,Allen The Alien,GT,Gujarat Titans,0
