Username,Display Name,Team Voted Short,Team Voted,Points
apurv5411,APURV,PBKS,Punjab Kings,0
astrobot_7,PS_USER,PBKS,Punjab Kings,0
billuda,𒆜 𝐁𝐈𝐋𝐋𝐔 𝐃𝐀 𒆜,SRH,Sunrisers Hyderabad,1.5
crazybats_v,Casper,SRH,Sunrisers Hyderabad,1.5
fawaz4413,,PBKS,Punjab Kings,0
fezvaz,Vaz,PBKS,Punjab Kings,0
gamerpradosh,Gamer Pradosh,PBKS,Punjab Kings,0
gladiator30,Gladiator,PBKS,Punjab Kings,0
gooffyluffyy,Luffy,PBKS,Punjab Kings,0
hungry_wolf,HungrY_WolF,PBKS,Punjab Kings,0
ind_mafia_sahil,IND_Mafia_Sahil,PBKS,Punjab Kings,0
insane_dwane,Insane_Dwane,SRH,Sunrisers Hyderabad,1.5
jadelessbarukan,jadeless,SRH,Sunrisers Hyderabad,1.5
khanatfarm,KHANatFARM,PBKS,Punjab Kings,0
light_itachi_op,Monkey Uzumaki,PBKS,Punjab Kings,0
maverick7749,Mav,SRH,Sunrisers Hyderabad,1.5
max._.caulfield,Max,PBKS,Punjab Kings,0
reflekt_11,Reflekt,PBKS,Punjab Kings,0
rishavmaiti,rishavmaiti,SRH,Sunrisers Hyderabad,1.5
roarycat,RoaryCat,SRH,Sunrisers Hyderabad,1.5
roguehunter15,RogueHunter,PBKS,Punjab Kings,0
slidemaster0547,Slide Master,PBKS,Punjab Kings,0
soul_999.,SOUL_999,PBKS,Punjab Kings,0
sriprakash,Sri Prakash,PBKS,Punjab Kings,0
static_25,Static,SRH,Sunrisers Hyderabad,1.5
the_mizer,DrVimp,PBKS,Punjab Kings,0
thefarzi,Farzi,PBKS,Punjab Kings,0
thewebshooter,TheWebShooter,PBKS,Punjab Kings,0
tushar07019,,PBKS,Punjab Kings,0
vahgar,Allen The Alien,PBKS,Punjab Kings,0
