Username,Display Name,Team Voted Short,Team Voted,Points
.agentvic,agentVic,DC,Delhi Capitals,0
apurv5411,APURV,DC,Delhi Capitals,0
astrobot_7,PS_USER,MI,Mumbai Indians,2.0
billuda,𒆜 𝐁𝐈𝐋𝐋𝐔 𝐃𝐀 𒆜,MI,Mumbai Indians,2.0
crazybats_v,Casper,MI,Mumbai Indians,2.0
csharp21,CSharp,DC,Delhi Capitals,0
elprofesor6338,Èl Profesor™,MI,Mumbai Indians,2.0
emptycases,J,DC,Delhi Capitals,0
fezvaz,Vaz,DC,Delhi Capitals,0
gladiator30,Gladiator,DC,Delhi Capitals,0
gooffyluffyy,Luffy,MI,Mumbai Indians,2.0
harish_datta_,Harish_datta_,MI,Mumbai Indians,2.0
hungry_wolf,HungrY_WolF,DC,Delhi Capitals,0
ind_mafia_sahil,IND_Mafia_Sahil,DC,Delhi Capitals,0
insane_dwane,Insane_Dwane,MI,Mumbai Indians,2.0
jadelessbarukan,jadeless,MI,Mumbai Indians,2.0
jerry0_o,Jerry0_0,DC,Delhi Capitals,0
kakashi019805,Kakashi,DC,Delhi Capitals,0
khanatfarm,KHANatFARM,DC,Delhi Capitals,0
light_itachi_op,Monkey Uzumaki,MI,Mumbai Indians,2.0
maverick7749,Mav,DC,Delhi Capitals,0
max._.caulfield,Max,DC,Delhi Capitals,0
pkmkb6011,Sunny Paaji,DC,Delhi Capitals,0
reflekt_11,Reflekt,DC,Delhi Capitals,0
rishavmaiti,rishavmaiti,MI,Mumbai Indians,2.0
roarycat,RoaryCat,MI,Mumbai Indians,2.0
roguehunter15,RogueHunter,DC,Delhi Capitals,0
slidemaster0547,Slide Master,DC,Delhi Capitals,0
sriprakash,Sri Prakash,DC,Delhi Capitals,0
static_25,Static,DC,Delhi Capitals,0
the_mizer,DrVimp,DC,Delhi Capitals,0
thefarzi,Farzi,MI,Mumbai Indians,2.0
thewebshooter,TheWebShooter,DC,Delhi Capitals,0
tushar07019,,DC,Delhi Capitals,0
