Dense Rank,Standard Rank,Username,Display Name,Match_1_Margin_Short,Match_1_Points,Match_2_Margin_Short,Match_2_Points,Match_3_Margin_Short,Match_3_Points,Match_4_Margin_Short,Match_4_Points,Match_5_Margin_Short,Match_5_Points,Match_6_Margin_Short,Match_6_Points,Match_7_Margin_Short,Match_7_Points,Match_8_Margin_Short,Match_8_Points,Match_9_Margin_Short,Match_9_Points,Match_10_Margin_Short,Match_10_Points,Match_11_Margin_Short,Match_11_Points,Match_12_Margin_Short,Match_12_Points,Match_13_Margin_Short,Match_13_Points,Total_Points
1,1,gooffyluffyy,Luffy,41-60R,0.0,4-5W,3.0,61+R,3.0,11-20R,0.0,1-10R,3.0,31-40R,0.0,SO,0.0,11-20R,0.0,3-4W,3.0,8-10W,0.0,11-20R,0.0,31-40R,0.0,7-8W,0.0,12.0
1,1,thewebshooter,TheWebShooter,21-40R,0.0,4-5W,3.0,41-60R,0.0,21-30R,0.0,41-60R,0.0,21-30R,0.0,21-40R,3.0,31-40R,0.0,3-4W,3.0,2-3W,3.0,41-60R,0.0,31-40R,0.0,3-4W,0.0,12.0
2,3,apurv5411,APURV,1-10R,0.0,4-5W,3.0,1-10R,0.0,11-20R,0.0,11-20R,0.0,11-20R,0.0,21-40R,3.0,21-30R,0.0,7-8W,0.0,4-5W,0.0,1-10R,0.0,1-10R,3.0,5-6W,0.0,9.0
2,3,astrobot_7,PS_USER,11-20R,3.0,4-5W,3.0,61+R,3.0,11-20R,0.0,21-40R,0.0,21-30R,0.0,1-10R,0.0,21-30R,0.0,5-6W,0.0,4-5W,0.0,61+R,0.0,21-30R,0.0,3-4W,0.0,9.0
2,3,csharp21,CSharp,11-20R,3.0,6-7W,0.0,61+R,3.0,11-20R,0.0,11-20R,0.0,11-20R,0.0,21-40R,3.0,21-30R,0.0,9-10W,0.0,6-7W,0.0,11-20R,0.0,21-30R,0.0,---,0.0,9.0
2,3,hungry_wolf,HungrY WolF,11-20R,3.0,4-5W,3.0,41-60R,0.0,11-20R,0.0,11-20R,0.0,21-30R,0.0,21-40R,3.0,21-30R,0.0,---,0.0,6-7W,0.0,21-40R,0.0,21-30R,0.0,1-2W,0.0,9.0
2,3,jadelessbarukan,jadeless,1-10R,0.0,4-5W,3.0,61+R,3.0,11-20R,0.0,61+R,0.0,1-10R,3.0,61+R,0.0,21-30R,0.0,7-8W,0.0,4-5W,0.0,11-20R,0.0,11-20R,0.0,7-8W,0.0,9.0
2,3,maverick7749,Mav,11-20R,3.0,6-7W,0.0,11-20R,0.0,11-20R,0.0,1-10R,3.0,21-30R,0.0,11-20R,0.0,11-20R,0.0,3-4W,3.0,6-7W,0.0,41-60R,0.0,11-20R,0.0,1-2W,0.0,9.0
2,3,roguehunter15,RogueHunter,41-60R,0.0,4-5W,3.0,61+R,3.0,21-30R,0.0,41-60R,0.0,11-20R,0.0,11-20R,0.0,21-30R,0.0,3-4W,3.0,4-5W,0.0,41-60R,0.0,21-30R,0.0,3-4W,0.0,9.0
3,10,emptycases,J,21-40R,0.0,8-10W,0.0,41-60R,0.0,21-30R,0.0,---,0.0,21-30R,0.0,11-20R,0.0,21-30R,0.0,3-4W,3.0,2-3W,3.0,41-60R,0.0,21-30R,0.0,3-4W,0.0,6.0
3,10,gane_sh,Gane_sh,11-20R,3.0,6-7W,0.0,---,0.0,21-30R,0.0,21-40R,0.0,---,0.0,11-20R,0.0,---,0.0,7-8W,0.0,2-3W,3.0,---,0.0,---,0.0,---,0.0,6.0
3,10,gladiator30,Gladiator,21-40R,0.0,4-5W,3.0,1-10R,0.0,11-20R,0.0,41-60R,0.0,11-20R,0.0,1-10R,0.0,1-10R,0.0,7-8W,0.0,8-10W,0.0,1-10R,0.0,1-10R,3.0,1-2W,0.0,6.0
3,10,light_itachi_op,Lassi Sassy,61+R,0.0,4-5W,3.0,41-60R,0.0,---,0.0,41-60R,0.0,31-40R,0.0,41-60R,0.0,41+R,0.0,3-4W,3.0,6-7W,0.0,---,0.0,---,0.0,3-4W,0.0,6.0
3,10,max._.caulfield,Max,41-60R,0.0,1W,0.0,21-40R,0.0,11-20R,0.0,1-10R,3.0,41+R,0.0,1-10R,0.0,21-30R,0.0,9-10W,0.0,2-3W,3.0,11-20R,0.0,21-30R,0.0,5-6W,0.0,6.0
3,10,rishavmaiti,rishavmaiti,11-20R,3.0,4-5W,3.0,21-40R,0.0,---,0.0,11-20R,0.0,21-30R,0.0,41-60R,0.0,11-20R,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,6.0
3,10,slidemaster0547,Slide Master,21-40R,0.0,4-5W,3.0,41-60R,0.0,21-30R,0.0,61+R,0.0,31-40R,0.0,41-60R,0.0,21-30R,0.0,3-4W,3.0,4-5W,0.0,1-10R,0.0,31-40R,0.0,1-2W,0.0,6.0
3,10,sriprakash,Sri Prakash,---,0.0,4-5W,3.0,41-60R,0.0,31-40R,3.0,41-60R,0.0,21-30R,0.0,61+R,0.0,11-20R,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,6.0
3,10,static_25,Static,41-60R,0.0,2-3W,0.0,21-40R,0.0,21-30R,0.0,41-60R,0.0,11-20R,0.0,21-40R,3.0,21-30R,0.0,3-4W,3.0,4-5W,0.0,41-60R,0.0,21-30R,0.0,1-2W,0.0,6.0
3,10,vahgar,Allen The Alien,41-60R,0.0,4-5W,3.0,41-60R,0.0,31-40R,3.0,21-40R,0.0,11-20R,0.0,41-60R,0.0,31-40R,0.0,1-2W,0.0,6-7W,0.0,21-40R,0.0,21-30R,0.0,1-2W,0.0,6.0
4,20,billuda,BILLUDA,61+R,0.0,2-3W,0.0,21-40R,0.0,11-20R,0.0,11-20R,0.0,SO,0.0,SO,0.0,21-30R,0.0,1-2W,0.0,4-5W,0.0,1-10R,0.0,1-10R,3.0,7-8W,0.0,3.0
4,20,cdgamers14,cdgamers😎,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,31-40R,0.0,---,0.0,---,0.0,---,0.0,2-3W,3.0,41-60R,0.0,---,0.0,---,0.0,3.0
4,20,fezvaz,Vaz,21-40R,0.0,2-3W,0.0,21-40R,0.0,31-40R,3.0,21-40R,0.0,31-40R,0.0,41-60R,0.0,21-30R,0.0,1-2W,0.0,4-5W,0.0,21-40R,0.0,31-40R,0.0,1-2W,0.0,3.0
4,20,insane_dwane,Insane_Dwane,21-40R,0.0,6-7W,0.0,41-60R,0.0,21-30R,0.0,1-10R,3.0,21-30R,0.0,SO,0.0,1-10R,0.0,SO,0.0,SO,0.0,11-20R,0.0,11-20R,0.0,1-2W,0.0,3.0
4,20,jubilant_chipmunk_76062,,11-20R,3.0,---,0.0,---,0.0,21-30R,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,3.0
4,20,khanatfarm,KHANatFARM,1-10R,0.0,6-7W,0.0,21-40R,0.0,21-30R,0.0,21-40R,0.0,11-20R,0.0,21-40R,3.0,31-40R,0.0,9-10W,0.0,6-7W,0.0,21-40R,0.0,11-20R,0.0,1-2W,0.0,3.0
4,20,lokim_,lokim,---,0.0,4-5W,3.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,3.0
4,20,oracle_priest,oracle_priest,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,11-20R,0.0,---,0.0,---,0.0,---,0.0,---,0.0,9-10W,3.0,3.0
4,20,pkmkb6011,Victor,---,0.0,---,0.0,---,0.0,---,0.0,21-40R,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,11-20R,0.0,---,0.0,9-10W,3.0,3.0
4,20,psudorandom,psudorandom,---,0.0,4-5W,3.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,3.0
4,20,roarycat,RoaryCat,61+R,0.0,2-3W,0.0,61+R,3.0,21-30R,0.0,21-40R,0.0,11-20R,0.0,1-10R,0.0,21-30R,0.0,7-8W,0.0,6-7W,0.0,SO,0.0,SO,0.0,SO,0.0,3.0
4,20,tushar07019,,61+R,0.0,6-7W,0.0,1-10R,0.0,11-20R,0.0,1-10R,3.0,11-20R,0.0,1-10R,0.0,11-20R,0.0,7-8W,0.0,6-7W,0.0,1-10R,0.0,11-20R,0.0,7-8W,0.0,3.0
5,32,_simplet0n,ZePHyR,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,21-40R,0.0,---,0.0,---,0.0,0.0
5,32,aaryangupta23,Aaryan,---,0.0,---,0.0,1-10R,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,7-8W,0.0,0.0
5,32,ashmrth,Ashmrth,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,11-20R,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,0.0
5,32,crazybats_v,Casper,21-40R,0.0,2-3W,0.0,41-60R,0.0,41+R,0.0,61+R,0.0,11-20R,0.0,11-20R,0.0,41+R,0.0,9-10W,0.0,6-7W,0.0,61+R,0.0,11-20R,0.0,5-6W,0.0,0.0
5,32,dag_21,daggr,21-40R,0.0,---,0.0,---,0.0,21-30R,0.0,---,0.0,21-30R,0.0,11-20R,0.0,---,0.0,9-10W,0.0,---,0.0,---,0.0,21-30R,0.0,---,0.0,0.0
5,32,darkwolf_newbie,Darkwolf,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,21-40R,0.0,---,0.0,---,0.0,0.0
5,32,deadshot06.,,---,0.0,---,0.0,---,0.0,---,0.0,11-20R,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,0.0
5,32,dhanda_,Hank Schrader,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,6-7W,0.0,---,0.0,---,0.0,---,0.0,0.0
5,32,elprofesor6338,Èl Profesor™,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,4-5W,0.0,---,0.0,---,0.0,---,0.0,0.0
5,32,gamerpradosh,Gamer Pradosh,---,0.0,6-7W,0.0,---,0.0,---,0.0,11-20R,0.0,---,0.0,---,0.0,---,0.0,7-8W,0.0,---,0.0,---,0.0,---,0.0,---,0.0,0.0
5,32,iamzeus,iAmZeus,21-40R,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,0.0
5,32,ind_mafia_sahil,IND_Mafia_Sahil,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,41+R,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,0.0
5,32,indianduder,boring-life,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,4-5W,0.0,---,0.0,---,0.0,---,0.0,0.0
5,32,jerry0_o,Jerry0_0,---,0.0,---,0.0,---,0.0,---,0.0,21-40R,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,21-40R,0.0,---,0.0,---,0.0,0.0
5,32,joe_._mama,joe mama,---,0.0,---,0.0,---,0.0,41+R,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,0.0
5,32,lelouch1806,lelouch,21-40R,0.0,6-7W,0.0,11-20R,0.0,21-30R,0.0,21-40R,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,0.0
