Sequential Rank,Competitive Rank,Username,Display Name,Week1,Total
1,1,maverick7749,Mav,7.0,7.0
2,2,max._.caulfield,Max,6.0,6.0
3,3,jadelessbarukan,jadeless,5.0,5.0
4,4,ashmrth,Ashmrth,4.0,4.0
4,4,crazybats_v,Casper,4.0,4.0
4,4,static_25,Static,4.0,4.0
4,4,thewebshooter,TheWebShooter,4.0,4.0
5,8,billuda,𒆜 𝐁𝐈𝐋𝐋𝐔 𝐃𝐀 𒆜,3.0,3.0
5,8,hungry_wolf,HungrY_WolF,3.0,3.0
5,8,ind_mafia_sahil,IND_Mafia_Sahil,3.0,3.0
5,8,khanatfarm,KHANatFARM,3.0,3.0
5,8,light_itachi_op,Monkey Uzumaki,3.0,3.0
5,8,roguehunter15,RogueHunter,3.0,3.0
5,8,thefarzi,Farzi,3.0,3.0
5,8,vader8726,vader,3.0,3.0
6,16,1nv1nc1b1e18,Him.,2.0,2.0
6,16,asterayah,Zarathon,2.0,2.0
6,16,bigshikki,BigShik,2.0,2.0
6,16,insane_dwane,Insane_Dwane,2.0,2.0
6,16,nullpixel96,Nullpixel96,2.0,2.0
6,16,pkmkb6011,Sunny Paaji,2.0,2.0
6,16,roarycat,RoaryCat,2.0,2.0
6,16,slidemaster0547,Slide Master,2.0,2.0
6,16,tushar07019,,2.0,2.0
6,16,vahgar,Allen The Alien,2.0,2.0
7,26,aayush1965070,Aayush196,1.0,1.0
7,26,amangoyal,Aman,1.0,1.0
7,26,croco_boya,Croco,1.0,1.0
7,26,darkwolf_newbie,Darkwolf,1.0,1.0
7,26,dudhwalaop69,DudhWalaOP,1.0,1.0
7,26,fawaz4413,,1.0,1.0
7,26,fezvaz,Vaz,1.0,1.0
7,26,gladiator30,Gladiator,1.0,1.0
7,26,gooffyluffyy,Luffy,1.0,1.0
7,26,itsdomtoretto,Dom,1.0,1.0
7,26,jayzus01,Jayan,1.0,1.0
7,26,light083969,Light,1.0,1.0
7,26,rishavmaiti,rishavmaiti,1.0,1.0
7,26,shieldofachielles,shield of Achielles,1.0,1.0
7,26,singh84,Singh,1.0,1.0
7,26,the_mizer,DrVimp,1.0,1.0
8,42,.selmonbhai,Tanjiro kamado,0.0,0.0
8,42,aakashmangla,Babu Bhaiya,0.0,0.0
8,42,astrobot_7,PS_USER,0.0,0.0
8,42,d3vilbring3r,d3vilbring3r,0.0,0.0
8,42,dag_21,daggr,0.0,0.0
8,42,elprofesor6338,Èl Profesor™,0.0,0.0
8,42,emptycases,J,0.0,0.0
8,42,gamerpradosh,Gamer Pradosh,0.0,0.0
8,42,jubilant_chipmunk_76062,,0.0,0.0
8,42,mrj619,MrJ619,0.0,0.0
8,42,nftprofessor,NFTProfessor,0.0,0.0
8,42,reflekt_11,Reflekt,0.0,0.0
8,42,riq9634,Riq,0.0,0.0
8,42,rithick_devaraj,rithick_devaraj,0.0,0.0
8,42,sauzz,Sauzz,0.0,0.0
8,42,sriprakash,Sri Prakash,0.0,0.0
