Sequential Rank,Competitive Rank,Username,Display Name,Week1,Week2,Total
1,1,jadelessbarukan,jadeless,5.0,7.0,12.0
2,2,static_25,Static,4.0,6.0,10.0
3,3,khanatfarm,KHANatFARM,3.0,6.0,9.0
3,3,light_itachi_op,Monkey Uzumaki,3.0,6.0,9.0
3,3,maverick7749,Mav,7.0,2.0,9.0
3,3,roarycat,RoaryCat,2.0,7.0,9.0
3,3,thefarzi,Farzi,3.0,6.0,9.0
3,3,thewebshooter,TheWebShooter,4.0,5.0,9.0
4,9,crazybats_v,Casper,4.0,4.0,8.0
4,9,gooffyluffyy,Luffy,1.0,7.0,8.0
4,9,roguehunter15,RogueHunter,3.0,5.0,8.0
4,9,slidemaster0547,Slide Master,2.0,6.0,8.0
4,9,tushar07019,,2.0,6.0,8.0
5,14,astrobot_7,PS_USER,0.0,7.0,7.0
5,14,billuda,𒆜 𝐁𝐈𝐋𝐋𝐔 𝐃𝐀 𒆜,3.0,4.0,7.0
5,14,hungry_wolf,HungrY_WolF,3.0,4.0,7.0
5,14,max._.caulfield,Max,6.0,1.0,7.0
5,14,vahgar,Allen The Alien,2.0,5.0,7.0
6,19,ind_mafia_sahil,IND_Mafia_Sahil,3.0,3.0,6.0
6,19,reflekt_11,Reflekt,0.0,6.0,6.0
6,19,sriprakash,Sri Prakash,0.0,6.0,6.0
7,22,ashmrth,Ashmrth,4.0,1.0,5.0
7,22,croco_boya,Croco,1.0,4.0,5.0
7,22,darkwolf_newbie,Darkwolf,1.0,4.0,5.0
7,22,rishavmaiti,rishavmaiti,1.0,4.0,5.0
8,26,csharp21,CSharp,0.0,4.0,4.0
8,26,dag_21,daggr,0.0,4.0,4.0
8,26,elprofesor6338,Èl Profesor™,0.0,4.0,4.0
8,26,fezvaz,Vaz,1.0,3.0,4.0
8,26,pkmkb6011,Sunny Paaji,2.0,2.0,4.0
8,26,the_mizer,DrVimp,1.0,3.0,4.0
8,26,vader8726,vader,3.0,1.0,4.0
9,33,emptycases,J,0.0,3.0,3.0
9,33,gane_sh,Gane_sh,0.0,3.0,3.0
9,33,gladiator30,Gladiator,1.0,2.0,3.0
9,33,iamthathit,IamthatHit,0.0,3.0,3.0
10,37,1nv1nc1b1e18,Him.,2.0,0.0,2.0
10,37,asterayah,Zarathon,2.0,0.0,2.0
10,37,bigshikki,BigShik,2.0,0.0,2.0
10,37,cdgamers14,cdgamers😎,0.0,2.0,2.0
10,37,fawaz4413,,1.0,1.0,2.0
10,37,insane_dwane,Insane_Dwane,2.0,0.0,2.0
10,37,nullpixel96,Nullpixel96,2.0,0.0,2.0
11,44,aayush1965070,Aayush196,1.0,0.0,1.0
11,44,amangoyal,Aman,1.0,0.0,1.0
11,44,dudhwalaop69,DudhWalaOP,1.0,0.0,1.0
11,44,garageembark,DEFALT,0.0,1.0,1.0
11,44,itsdomtoretto,Dom,1.0,0.0,1.0
11,44,jayzus01,Jayan,1.0,0.0,1.0
11,44,lelouch1806,lelouch,0.0,1.0,1.0
11,44,light083969,Light,1.0,0.0,1.0
11,44,liv4sid,Sid,0.0,1.0,1.0
11,44,sayaks05,Cold_fart10,0.0,1.0,1.0
11,44,shieldofachielles,shield of Achielles,1.0,0.0,1.0
11,44,singh84,Singh,1.0,0.0,1.0
11,44,speedsterjk,SpeedsterJK,0.0,1.0,1.0
12,57,.selmonbhai,Tanjiro kamado,0.0,0.0,0.0
12,57,_simplet0n,ZePHyR,0.0,0.0,0.0
12,57,aakashmangla,Babu Bhaiya,0.0,0.0,0.0
12,57,colac07,Colac,0.0,0.0,0.0
12,57,d3vilbring3r,d3vilbring3r,0.0,0.0,0.0
12,57,drunk6202,DRUNK GAMBLER 🍻,0.0,0.0,0.0
12,57,ffirsty,FIRSTY,0.0,0.0,0.0
12,57,fullmetal77,FullMetal77,0.0,0.0,0.0
12,57,gamerpradosh,Gamer Pradosh,0.0,0.0,0.0
12,57,jubilant_chipmunk_76062,,0.0,0.0,0.0
12,57,kakashi019805,Kakashi,0.0,0.0,0.0
12,57,mrj619,MrJ619,0.0,0.0,0.0
12,57,nftprofessor,NFTProfessor,0.0,0.0,0.0
12,57,riq9634,Riq,0.0,0.0,0.0
12,57,rithick_devaraj,rithick_devaraj,0.0,0.0,0.0
12,57,sauzz,Sauzz,0.0,0.0,0.0
12,57,weezyf.baby_,WEEZY F. Baby,0.0,0.0,0.0
