Dense Rank,Dense Rank Movement,Standard Rank,Standard Rank Movement,Username,Display Name,Winner_Week1,Total
1,N,1,N,maverick7749,Mav,7.0,7.0
2,N,2,N,max._.caulfield,Max,6.0,6.0
3,N,3,N,jadelessbarukan,jadeless,5.0,5.0
4,N,4,N,ashmrth,Ashmrth,4.0,4.0
4,N,4,N,crazybats_v,Casper,4.0,4.0
4,N,4,N,static_25,Static,4.0,4.0
4,N,4,N,thewebshooter,TheWebShooter,4.0,4.0
5,N,8,N,billuda,𒆜 𝐁𝐈𝐋𝐋𝐔 𝐃𝐀 𒆜,3.0,3.0
5,N,8,N,hungry_wolf,HungrY_WolF,3.0,3.0
5,N,8,N,ind_mafia_sahil,IND_Mafia_Sahil,3.0,3.0
5,N,8,N,khanatfarm,KHANatFARM,3.0,3.0
5,N,8,N,light_itachi_op,Monkey Uzumaki,3.0,3.0
5,N,8,N,roguehunter15,RogueHunter,3.0,3.0
5,N,8,N,thefarzi,Farzi,3.0,3.0
5,N,8,N,vader8726,vader,3.0,3.0
6,N,16,N,1nv1nc1b1e18,Him.,2.0,2.0
6,N,16,N,asterayah,Zarathon,2.0,2.0
6,N,16,N,bigshikki,BigShik,2.0,2.0
6,N,16,N,insane_dwane,Insane_Dwane,2.0,2.0
6,N,16,N,nullpixel96,Nullpixel96,2.0,2.0
6,N,16,N,pkmkb6011,Sunny Paaji,2.0,2.0
6,N,16,N,roarycat,RoaryCat,2.0,2.0
6,N,16,N,slidemaster0547,Slide Master,2.0,2.0
6,N,16,N,tushar07019,,2.0,2.0
6,N,16,N,vahgar,Allen The Alien,2.0,2.0
7,N,26,N,aayush1965070,Aayush196,1.0,1.0
7,N,26,N,amangoyal,Aman,1.0,1.0
7,N,26,N,croco_boya,Croco,1.0,1.0
7,N,26,N,darkwolf_newbie,Darkwolf,1.0,1.0
7,N,26,N,dudhwalaop69,DudhWalaOP,1.0,1.0
7,N,26,N,fawaz4413,,1.0,1.0
7,N,26,N,fezvaz,Vaz,1.0,1.0
7,N,26,N,gladiator30,Gladiator,1.0,1.0
7,N,26,N,gooffyluffyy,Luffy,1.0,1.0
7,N,26,N,itsdomtoretto,Dom,1.0,1.0
7,N,26,N,jayzus01,Jayan,1.0,1.0
7,N,26,N,light083969,Light,1.0,1.0
7,N,26,N,rishavmaiti,rishavmaiti,1.0,1.0
7,N,26,N,shieldofachielles,shield of Achielles,1.0,1.0
7,N,26,N,singh84,Singh,1.0,1.0
7,N,26,N,the_mizer,DrVimp,1.0,1.0
8,N,42,N,.selmonbhai,Tanjiro kamado,0.0,0.0
8,N,42,N,aakashmangla,Babu Bhaiya,0.0,0.0
8,N,42,N,astrobot_7,PS_USER,0.0,0.0
8,N,42,N,d3vilbring3r,d3vilbring3r,0.0,0.0
8,N,42,N,dag_21,daggr,0.0,0.0
8,N,42,N,elprofesor6338,Èl Profesor™,0.0,0.0
8,N,42,N,emptycases,J,0.0,0.0
8,N,42,N,gamerpradosh,Gamer Pradosh,0.0,0.0
8,N,42,N,jubilant_chipmunk_76062,,0.0,0.0
8,N,42,N,mrj619,MrJ619,0.0,0.0
8,N,42,N,nftprofessor,NFTProfessor,0.0,0.0
8,N,42,N,reflekt_11,Reflekt,0.0,0.0
8,N,42,N,riq9634,Riq,0.0,0.0
8,N,42,N,rithick_devaraj,rithick_devaraj,0.0,0.0
8,N,42,N,sauzz,Sauzz,0.0,0.0
8,N,42,N,sriprakash,Sri Prakash,0.0,0.0
