Dense Rank,Dense Rank Movement,Standard Rank,Standard Rank Movement,Username,Display Name,Winner_Week1,Winner_Week2,Winner_Week3,Winner_Week4,Winner_Week5,Total
1,—,1,—,jadelessbarukan,jadeless,5.0,7.0,10.0,12.0,10.0,44.0
2,↑2,2,↑2,maverick7749,Mav,7.0,2.0,6.5,10.0,9.0,34.5
3,—,3,—,thefarzi,Farzi,3.0,6.0,7.5,10.0,7.0,33.5
4,↑4,4,↑8,tushar07019,,2.0,6.0,6.5,7.0,11.0,32.5
5,↓3,5,↓3,thewebshooter,TheWebShooter,4.0,5.0,8.0,10.0,4.0,31.0
6,↓1,6,↓1,light_itachi_op,Lassi Sassy,3.0,6.0,7.5,7.0,7.0,30.5
7,↓1,7,↓1,khanatfarm,KHANatFARM,3.0,6.0,5.5,8.0,7.0,29.5
8,↓1,8,↑1,crazybats_v,Casper,4.0,4.0,8.0,6.0,7.0,29.0
8,↑1,8,↑5,slidemaster0547,Slide Master,2.0,6.0,7.0,6.0,8.0,29.0
9,↓3,10,↓4,static_25,Static,4.0,6.0,3.5,9.0,5.0,27.5
10,↓3,11,↓2,rishavmaiti,rishavmaiti,1.0,4.0,6.0,11.0,5.0,27.0
11,↑1,12,↑5,fezvaz,Vaz,1.0,3.0,6.5,8.0,8.0,26.5
12,↓6,13,↓7,billuda,𒆜 𝐁𝐈𝐋𝐋𝐔 𝐃𝐀 𒆜,3.0,4.0,9.5,6.0,2.0,24.5
12,↑4,13,↑10,insane_dwane,Insane_Dwane,2.0,0.0,8.5,5.0,9.0,24.5
12,↑3,13,↑9,roguehunter15,RogueHunter,3.0,5.0,5.5,3.0,8.0,24.5
13,↓6,16,↓7,roarycat,RoaryCat,2.0,7.0,5.0,8.0,2.0,24.0
14,↑4,17,↑8,apurv5411,APURV,0.0,0.0,6.5,8.0,9.0,23.5
14,↓4,17,↓2,vahgar,Allen The Alien,2.0,5.0,3.5,10.0,3.0,23.5
15,↑3,19,↑6,emptycases,J,0.0,3.0,7.5,4.0,8.0,22.5
15,↑4,19,↑8,reflekt_11,Reflekt,0.0,6.0,4.5,3.0,9.0,22.5
16,↓7,21,↓8,ind_mafia_sahil,IND_Mafia_Sahil,3.0,3.0,9.0,6.0,1.0,22.0
17,↓4,22,↓4,gooffyluffyy,Luffy,1.0,7.0,4.5,5.0,4.0,21.5
17,↓4,22,↓4,the_mizer,DrVimp,1.0,3.0,5.5,8.0,4.0,21.5
18,↓7,24,↓8,astrobot_7,PS_USER,0.0,7.0,6.0,6.0,2.0,21.0
18,↓4,24,↓3,elprofesor6338,Èl Profesor™,0.0,4.0,4.0,9.0,4.0,21.0
18,↓1,24,—,gladiator30,Gladiator,1.0,2.0,7.0,5.0,6.0,21.0
19,↓6,27,↓9,hungry_wolf,HungrY_WolF,3.0,4.0,6.5,4.0,2.0,19.5
20,—,28,—,sriprakash,Sri Prakash,0.0,6.0,5.0,2.0,5.0,18.0
21,↑2,29,↑2,max._.caulfield,Max,6.0,1.0,3.0,1.0,4.0,15.0
22,↓1,30,↓1,dag_21,daggr,0.0,4.0,3.5,5.0,2.0,14.5
23,↑1,31,↑1,csharp21,CSharp,0.0,4.0,3.0,2.0,3.0,12.0
23,↓1,31,↓1,darkwolf_newbie,Darkwolf,1.0,4.0,3.0,4.0,0.0,12.0
23,↑6,31,↑9,gamerpradosh,Gamer Pradosh,0.0,0.0,0.0,5.0,7.0,12.0
23,↑3,31,↑5,kakashi019805,Kakashi,0.0,0.0,2.0,5.0,5.0,12.0
24,↑6,35,↑8,aaryangupta23,Aaryan,0.0,0.0,0.0,4.0,7.0,11.0
24,↑1,35,↓2,pkmkb6011,Sunny Paaji,2.0,2.0,3.0,1.0,3.0,11.0
25,↑6,37,↑11,lelouch1806,lelouch,0.0,1.0,1.5,1.0,6.0,9.5
26,↑4,38,↑5,deadshot06.,,0.0,0.0,2.0,2.0,5.0,9.0
26,↓1,38,↓5,gane_sh,Gane_sh,0.0,3.0,0.0,5.0,1.0,9.0
27,↓2,40,↓7,fullmetal77,FullMetal77,0.0,0.0,0.0,8.0,0.0,8.0
28,↑5,41,↑13,jubilant_chipmunk_76062,,0.0,0.0,2.5,0.0,5.0,7.5
29,↓2,42,↓5,iamthathit,IamthatHit,0.0,3.0,3.5,0.0,0.0,6.5
30,↓2,43,↓5,ashmrth,Ashmrth,4.0,1.0,0.0,1.0,0.0,6.0
30,↓2,43,↓5,harish_datta_,Harish_datta_,0.0,0.0,2.0,4.0,0.0,6.0
31,↑1,45,↑5,1nv1nc1b1e18,Him.,2.0,0.0,1.0,0.0,2.0,5.0
31,↓2,45,↓5,croco_boya,Croco,1.0,4.0,0.0,0.0,0.0,5.0
31,↑3,45,↑10,jerry0_o,Jerry0_0,0.0,0.0,2.0,0.0,3.0,5.0
31,↓2,45,↓5,samarp30,Samarp30,0.0,0.0,0.0,5.0,0.0,5.0
32,↑4,49,↑13,_simplet0n,ZePHyR,0.0,0.0,1.0,0.0,3.0,4.0
32,↓2,49,↓6,fawaz4413,,1.0,1.0,2.0,0.0,0.0,4.0
32,↓2,49,↓6,levi_taicho,levi_taicho,0.0,0.0,0.0,4.0,0.0,4.0
32,↓2,49,↓6,vader8726,vader,3.0,1.0,0.0,0.0,0.0,4.0
33,↓2,53,↓5,cdgamers14,cdgamers😎,0.0,2.0,1.5,0.0,0.0,3.5
34,↑3,54,↑26,.agentvic,agentVic,0.0,0.0,0.0,0.0,3.0,3.0
34,N,54,N,abhishek2311_2,Abhishek_5518,0.0,0.0,0.0,0.0,3.0,3.0
34,N,54,N,fazilbashasn,FAZILBASHASN,0.0,0.0,0.0,0.0,3.0,3.0
34,↓2,54,↓4,light083969,Light,1.0,0.0,0.0,2.0,0.0,3.0
34,↓2,54,↓4,nullpixel96,Nullpixel96,2.0,0.0,1.0,0.0,0.0,3.0
34,N,54,N,psycvb,Sukuna (両面),0.0,0.0,0.0,0.0,3.0,3.0
34,↓2,54,↓4,singh84,Singh,1.0,0.0,0.0,2.0,0.0,3.0
34,↑3,54,↑26,weezyf.baby_,WEEZY F. Baby,0.0,0.0,0.0,0.0,3.0,3.0
35,↓1,62,↓7,asterayah,Zarathon,2.0,0.0,0.0,0.0,0.0,2.0
35,↓1,62,↓7,bigshikki,BigShik,2.0,0.0,0.0,0.0,0.0,2.0
35,↓1,62,↓7,eldiablo1701,El Diablo,0.0,0.0,0.0,2.0,0.0,2.0
35,↓1,62,↓7,garageembark,DEFALT,0.0,1.0,0.0,1.0,0.0,2.0
35,↓1,62,↓7,mightyprem,Mighty Prem,0.0,0.0,0.0,2.0,0.0,2.0
36,↓1,67,↓6,iamzeus,iAmZeus,0.0,0.0,1.5,0.0,0.0,1.5
37,↓1,68,↓6,.antiderivative,antiderivative,0.0,0.0,0.0,1.0,0.0,1.0
37,↓1,68,↓6,aayush1965070,Aayush196,1.0,0.0,0.0,0.0,0.0,1.0
37,↓1,68,↓6,abdulhuq,,0.0,0.0,0.0,1.0,0.0,1.0
37,↓1,68,↓6,abhilashsp,Abhilash SP,0.0,0.0,0.0,1.0,0.0,1.0
37,↓1,68,↓6,albinopanda.,AlbinoPanda,0.0,0.0,0.0,1.0,0.0,1.0
37,↓1,68,↓6,amangoyal,Aman,1.0,0.0,0.0,0.0,0.0,1.0
37,N,68,N,bundbaaz,sk,0.0,0.0,0.0,0.0,1.0,1.0
37,↓1,68,↓6,craniaxx_,⑉¢͢͢͢尺αηιαχ⑉,0.0,0.0,0.0,1.0,0.0,1.0
37,↓1,68,↓6,dudhwalaop69,DudhWalaOP,1.0,0.0,0.0,0.0,0.0,1.0
37,↓1,68,↓6,gandalf_the_wizard,,0.0,0.0,0.0,1.0,0.0,1.0
37,↓1,68,↓6,itsdomtoretto,Dom,1.0,0.0,0.0,0.0,0.0,1.0
37,↓1,68,↓6,jayzus01,Jayan,1.0,0.0,0.0,0.0,0.0,1.0
37,N,68,N,killingintent,Killing Intent,0.0,0.0,0.0,0.0,1.0,1.0
37,↓1,68,↓6,liv4sid,Sid,0.0,1.0,0.0,0.0,0.0,1.0
37,↓1,68,↓6,sayaks05,Cold_fart10,0.0,1.0,0.0,0.0,0.0,1.0
37,↓1,68,↓6,shieldofachielles,shield of Achielles,1.0,0.0,0.0,0.0,0.0,1.0
37,↓1,68,↓6,soul_999.,SOUL_999,0.0,0.0,0.0,1.0,0.0,1.0
37,↓1,68,↓6,speedsterjk,SpeedsterJK,0.0,1.0,0.0,0.0,0.0,1.0
37,↓1,68,↓6,theflash5512,The Flash,0.0,0.0,0.0,1.0,0.0,1.0
38,↓1,87,↓7,.selmonbhai,Tanjiro kamado,0.0,0.0,0.0,0.0,0.0,0.0
38,↓1,87,↓7,aakashmangla,Babu Bhaiya,0.0,0.0,0.0,0.0,0.0,0.0
38,N,87,N,ashutoshudairaaj1894,Ashutosh udai raaj,0.0,0.0,0.0,0.0,0.0,0.0
38,↓1,87,↓7,colac07,Colac,0.0,0.0,0.0,0.0,0.0,0.0
38,↓1,87,↓7,d3vilbring3r,d3vilbring3r,0.0,0.0,0.0,0.0,0.0,0.0
38,↓1,87,↓7,drunk6202,DRUNK GAMBLER 🍻,0.0,0.0,0.0,0.0,0.0,0.0
38,↓1,87,↓7,fenil_fez,fenil_fez,0.0,0.0,0.0,0.0,0.0,0.0
38,↓1,87,↓7,ffirsty,FIRSTY,0.0,0.0,0.0,0.0,0.0,0.0
38,N,87,N,galaxy201294,Galaxy.,0.0,0.0,0.0,0.0,0.0,0.0
38,↓1,87,↓7,hg2.0.,HG 2.0,0.0,0.0,0.0,0.0,0.0,0.0
38,↓1,87,↓7,izzaanaaaa,izaanaaaa,0.0,0.0,0.0,0.0,0.0,0.0
38,↓1,87,↓7,jeki4318,Jeki,0.0,0.0,0.0,0.0,0.0,0.0
38,↓1,87,↓7,jhalayashraj,jhalayashraj,0.0,0.0,0.0,0.0,0.0,0.0
38,N,87,N,k1ngtrailblazer,tra1lblazerg0d,0.0,0.0,0.0,0.0,0.0,0.0
38,↓1,87,↓7,madhavm14,maddy,0.0,0.0,0.0,0.0,0.0,0.0
38,↓1,87,↓7,mrj619,MrJ619,0.0,0.0,0.0,0.0,0.0,0.0
38,↓1,87,↓7,nftprofessor,NFTProfessor,0.0,0.0,0.0,0.0,0.0,0.0
38,N,87,N,oracle_priest,oracle_priest,0.0,0.0,0.0,0.0,0.0,0.0
38,N,87,N,prathz1109,Prathzz,0.0,0.0,0.0,0.0,0.0,0.0
38,↓1,87,↓7,raj_kar,Raj,0.0,0.0,0.0,0.0,0.0,0.0
