Dense Rank,Dense Rank Movement,Standard Rank,Standard Rank Movement,Username,Display Name,Winner_Week1,Winner_Week2,Winner_Week3,Winner_Week4,Winner_Week5,Winner_Week6,Margin_Week6,Total
1,—,1,—,jadelessbarukan,jadeless,5.0,7.0,10.0,12.0,10.0,5.0,9.0,58.0
2,—,2,—,maverick7749,Mav,7.0,2.0,6.5,10.0,9.0,5.0,6.0,45.5
3,↑2,3,↑2,thewebshooter,TheWebShooter,4.0,5.0,8.0,10.0,4.0,7.0,6.0,44.0
4,—,4,—,tushar07019,,2.0,6.0,6.5,7.0,11.0,8.0,3.0,43.5
5,↓2,5,↓2,thefarzi,Farzi,3.0,6.0,7.5,10.0,7.0,8.0,0.0,41.5
6,—,6,—,light_itachi_op,Lassi Sassy,3.0,6.0,7.5,7.0,7.0,7.0,3.0,40.5
7,—,7,—,khanatfarm,KHANatFARM,3.0,6.0,5.5,8.0,7.0,7.0,3.0,39.5
8,↑4,8,↑5,roguehunter15,RogueHunter,3.0,5.0,5.5,3.0,8.0,8.0,6.0,38.5
9,↑1,9,↑2,rishavmaiti,rishavmaiti,1.0,4.0,6.0,11.0,5.0,5.0,6.0,38.0
9,↓1,9,↓1,slidemaster0547,Slide Master,2.0,6.0,7.0,6.0,8.0,6.0,3.0,38.0
10,↑4,11,↑6,apurv5411,APURV,0.0,0.0,6.5,8.0,9.0,8.0,6.0,37.5
10,↑1,11,↑1,fezvaz,Vaz,1.0,3.0,6.5,8.0,8.0,8.0,3.0,37.5
11,↓2,13,↓3,static_25,Static,4.0,6.0,3.5,9.0,5.0,6.0,3.0,36.5
12,↓4,14,↓6,crazybats_v,Casper,4.0,4.0,8.0,6.0,7.0,7.0,0.0,36.0
13,↓1,15,↓2,insane_dwane,Insane_Dwane,2.0,0.0,8.5,5.0,9.0,8.0,3.0,35.5
14,↑3,16,↑6,gooffyluffyy,Luffy,1.0,7.0,4.5,5.0,4.0,4.0,9.0,34.5
14,↑5,16,↑11,hungry_wolf,HungrY WolF,3.0,4.0,6.5,4.0,2.0,6.0,9.0,34.5
14,—,16,↑1,vahgar,Allen The Alien,2.0,5.0,3.5,10.0,3.0,5.0,6.0,34.5
15,↑3,19,↑5,astrobot_7,PS_USER,0.0,7.0,6.0,6.0,2.0,4.0,9.0,34.0
16,↓1,20,↓1,emptycases,J,0.0,3.0,7.5,4.0,8.0,8.0,0.0,30.5
17,↑1,21,↑3,gladiator30,Gladiator,1.0,2.0,7.0,5.0,6.0,6.0,3.0,30.0
17,↑3,21,↑7,sriprakash,Sri Prakash,0.0,6.0,5.0,2.0,5.0,6.0,6.0,30.0
18,↓3,23,↓4,reflekt_11,Reflekt,0.0,6.0,4.5,3.0,9.0,6.0,0.0,28.5
19,↓6,24,↓8,roarycat,RoaryCat,2.0,7.0,5.0,8.0,2.0,1.0,3.0,28.0
20,↑3,25,↑6,csharp21,CSharp,0.0,4.0,3.0,2.0,3.0,6.0,9.0,27.0
21,↓9,26,↓13,billuda,BILLUDA,3.0,4.0,9.5,6.0,2.0,2.0,0.0,26.5
22,↓1,27,↑2,max._.caulfield,Max,6.0,1.0,3.0,1.0,4.0,8.0,3.0,26.0
23,↓7,28,↓7,ind_mafia_sahil,IND_Mafia_Sahil,3.0,3.0,9.0,6.0,1.0,0.0,0.0,22.0
24,↓2,29,↑1,dag_21,daggr,0.0,4.0,3.5,5.0,2.0,7.0,0.0,21.5
24,↓7,29,↓7,the_mizer,DrVimp,1.0,3.0,5.5,8.0,4.0,0.0,0.0,21.5
25,↓7,31,↓7,elprofesor6338,Èl Profesor™,0.0,4.0,4.0,9.0,4.0,0.0,0.0,21.0
26,—,32,↑6,gane_sh,Gane_sh,0.0,3.0,0.0,5.0,1.0,3.0,3.0,15.0
27,↓4,33,↓2,gamerpradosh,Gamer Pradosh,0.0,0.0,0.0,5.0,7.0,2.0,0.0,14.0
28,↓3,34,↑3,lelouch1806,lelouch,0.0,1.0,1.5,1.0,6.0,4.0,0.0,13.5
29,↓5,35,—,aaryangupta23,Aaryan,0.0,0.0,0.0,4.0,7.0,1.0,0.0,12.0
29,↓6,35,↓4,darkwolf_newbie,Darkwolf,1.0,4.0,3.0,4.0,0.0,0.0,0.0,12.0
29,↓6,35,↓4,kakashi019805,Kakashi,0.0,0.0,2.0,5.0,5.0,0.0,0.0,12.0
29,↓5,35,—,pkmkb6011,Victor,2.0,2.0,3.0,1.0,3.0,1.0,0.0,12.0
30,↓2,39,↑2,jubilant_chipmunk_76062,,0.0,0.0,2.5,0.0,5.0,1.0,3.0,11.5
31,↓5,40,↓2,deadshot06.,,0.0,0.0,2.0,2.0,5.0,1.0,0.0,10.0
32,↓5,41,↓1,fullmetal77,FullMetal77,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0
33,↓4,42,—,iamthathit,IamthatHit,0.0,3.0,3.5,0.0,0.0,0.0,0.0,6.5
34,↓3,43,↑2,1nv1nc1b1e18,Him.,2.0,0.0,1.0,0.0,2.0,1.0,0.0,6.0
34,↓4,43,—,ashmrth,Ashmrth,4.0,1.0,0.0,1.0,0.0,0.0,0.0,6.0
34,↓4,43,—,harish_datta_,Harish_datta_,0.0,0.0,2.0,4.0,0.0,0.0,0.0,6.0
34,↓3,43,↑2,jerry0_o,Jerry0_0,0.0,0.0,2.0,0.0,3.0,1.0,0.0,6.0
35,↓2,47,↑6,cdgamers14,cdgamers😎,0.0,2.0,1.5,0.0,0.0,2.0,0.0,5.5
36,↓5,48,↓3,croco_boya,Croco,1.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0
36,↓5,48,↓3,samarp30,Samarp30,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0
36,↓2,48,↑6,weezyf.baby_,WEEZY F. Baby,0.0,0.0,0.0,0.0,3.0,2.0,0.0,5.0
37,↓3,51,↑3,.agentvic,agentVic,0.0,0.0,0.0,0.0,3.0,1.0,0.0,4.0
37,↓5,51,↓2,_simplet0n,ZePHyR,0.0,0.0,1.0,0.0,3.0,0.0,0.0,4.0
37,↓5,51,↓2,fawaz4413,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0
37,↓5,51,↓2,levi_taicho,levi_taicho,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0
37,↓5,51,↓2,vader8726,vader,3.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
38,↓4,56,↓2,abhishek2311_2,Abhishek_5518,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0
38,↓4,56,↓2,fazilbashasn,FAZILBASHASN,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0
38,↓4,56,↓2,light083969,Light,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0
38,N,56,N,lokim_,lokim,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
38,↓4,56,↓2,nullpixel96,Nullpixel96,2.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0
38,N,56,N,psudorandom,psudorandom,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
38,↓4,56,↓2,psycvb,Sukuna (両面),0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0
38,↓4,56,↓2,singh84,Singh,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0
39,↓3,64,↑3,iamzeus,iAmZeus,0.0,0.0,1.5,0.0,0.0,1.0,0.0,2.5
40,↓5,65,↓3,asterayah,Zarathon,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
40,↓5,65,↓3,bigshikki,BigShik,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
40,↓5,65,↓3,eldiablo1701,El Diablo,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0
40,↓5,65,↓3,garageembark,DEFALT,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0
40,↓5,65,↓3,mightyprem,Mighty Prem,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0
40,↓2,65,↑22,shadow0403bsr,shadow43,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0
41,↓4,71,↓3,.antiderivative,antiderivative,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
41,N,71,N,_yoichi_,yoichi,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
41,↓4,71,↓3,aayush1965070,Aayush196,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
41,↓4,71,↓3,abdulhuq,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
41,↓4,71,↓3,abhilashsp,Abhilash SP,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
41,↓4,71,↓3,albinopanda.,AlbinoPanda,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
41,↓4,71,↓3,amangoyal,Aman,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
41,↓4,71,↓3,bundbaaz,sk,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
41,↓4,71,↓3,craniaxx_,⑉¢͢͢͢尺αηιαχ⑉,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
41,↓4,71,↓3,dudhwalaop69,DudhWalaOP,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
41,↓4,71,↓3,gandalf_the_wizard,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
41,↓4,71,↓3,itsdomtoretto,Dom,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
41,↓4,71,↓3,jayzus01,Jayan,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
41,↓4,71,↓3,killingintent,Killing Intent,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
41,↓4,71,↓3,liv4sid,Sid,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
41,↓4,71,↓3,sayaks05,Cold_fart10,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
41,↓4,71,↓3,shieldofachielles,shield of Achielles,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
41,↓4,71,↓3,soul_999.,SOUL_999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
41,↓4,71,↓3,speedsterjk,SpeedsterJK,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
41,↓4,71,↓3,theflash5512,The Flash,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
42,↓4,91,↓4,.selmonbhai,Tanjiro kamado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,↓4,91,↓4,aakashmangla,Babu Bhaiya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,↓4,91,↓4,ashutoshudairaaj1894,Ashutosh udai raaj,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,↓4,91,↓4,colac07,Colac,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,↓4,91,↓4,d3vilbring3r,d3vilbring3r,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,↓4,91,↓4,drunk6202,DRUNK GAMBLER 🍻,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,↓4,91,↓4,fenil_fez,fenil_fez,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,↓4,91,↓4,ffirsty,FIRSTY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,↓4,91,↓4,galaxy201294,Galaxy.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,↓4,91,↓4,hg2.0.,HG 2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,↓4,91,↓4,izzaanaaaa,izaanaaaa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,↓4,91,↓4,jeki4318,Jeki,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,↓4,91,↓4,jhalayashraj,jhalayashraj,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,N,91,N,joe_._mama,joe mama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,↓4,91,↓4,k1ngtrailblazer,tra1lblazerg0d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,↓4,91,↓4,madhavm14,maddy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,↓4,91,↓4,mrj619,MrJ619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,N,91,N,msvvamsi,Msv Vamsi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,↓4,91,↓4,nftprofessor,NFTProfessor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,↓4,91,↓4,oracle_priest,oracle_priest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,↓4,91,↓4,prathz1109,Prathzz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,↓4,91,↓4,raj_kar,Raj,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,↓4,91,↓4,riq9634,Riq,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,N,91,N,rithav,Arun Rithav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,↓4,91,↓4,rithick_devaraj,rithick_devaraj,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,↓4,91,↓4,sauzz,Sauzz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
